1. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
2. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=1
3. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
4. X
5. W|jean|fournier marsannay cuvee saint urbain|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
6. W|jean|fournier marsannay cuvee saint urbain|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
7. W|jean|fournier marsannay cuvee saint urbain|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
8. W|jean|fournier marsannay cuvee saint urbain|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=7
9. W|jean|fournier marsannay cuvee saint urbain blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
10. W|jean|fournier marsannay cuvee saint urbain rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
11. W|jean|fournier marsannay cuvee st urbain|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
12. W|jean|fournier marsannay cuvee st urbain|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=11
13. X
14. W|jean|fournier marsannay es chezots|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
15. W|jean|fournier marsannay es chezots|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
16. W|jean|fournier marsannay le chapitre|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
17. W|jean|fournier marsannay le chapitre|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
18. W|jean|fournier marsannay rose|??|p|??|??|??|2023|12.5|??|leve|carnes brancas, saladas, antepastos|seco
19. W|jean|fournier marsannay rose|??|p|??|??|??|2023|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=18
20. W|jean|fournier marsannay rose|??|p|??|??|??|2023|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=18
21. W|jean|fournier marsannay rouge clos du roy|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
22. W|jean|fournier marsannay rouge clos du roy|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=21
23. W|jean|fournier marsannay rouge le chapitre|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
24. W|jean|fournier marsannay rouge le chapitre|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
25. W|jean|fournier marsannay rouge le chapitre|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=24
26. W|jean|fournier marsannay rouge les longeroies|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
27. W|jean|fournier marsannay rouge les longeroies|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=26
