1. W|jeanneret|big fine girl riesling|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
2. W|jeanneret|big fine girl riesling clare valley australia|au|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
3. W|jeanneret|cabernet malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
4. W|jeanneret|cabernet malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=3
5. W|jeanneret|cabernet malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
6. W|jeanneret|cabernet shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
7. W|jeanneret|cabernet shiraz clare valley|au|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
8. W|jeanneret|clare valley cabernet malbec|au|r|malbec|??|??|2016|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
9. X
10. W|jeanneret|jenny gewurztraminer riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
11. W|jeanneret|rank and file shiraz clare valley australia|au|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
12. W|jeanneret|rank file shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
13. W|jeanneret|rank file shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=12
14. W|jeanneret|rank file shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
15. W|jeanneret|rank file shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
16. W|jeanneret|rank file shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
17. W|jeanneret|riesling big fine girl|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
18. W|jeanneret|rose gastronomique|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
19. W|jeanneret|stand deliver shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
20. W|jeanneret|stand deliver shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco|=19
