W|veuve du vern|icerose|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|??
W|veuve du vern|ice rose|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|??
W|veuve du vern|brut rose 3x200b|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|brut
W|veuve du cliquot|arrow|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|??
W|veuve doussot|cuvee ernestine|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|??
W|veuve doussot|champagne tradition brut|fr|s|??|champagne|??|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve doussot|champagne demi sec|fr|s|??|champagne|??|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|demi-sec
W|veuve doussot|champagne brut tradition nv|fr|s|??|champagne|??|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve doussot|brut tradition|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|brut
W|veuve doussot|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|brut
W|veuve doussot|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|brut
W|veuve devienne|veuve devienne rose nv|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|??
W|veuve devienne|rose|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|??
W|veuve devienne|french sparkling nv|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|??
W|veuve devienne|espumante brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|brut
W|veuve devienne|espumante brut|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|brut
W|veuve devienne|demisec|fr|s|??|??|??|NV|12|??|medio|aperitivos; frutos do mar; canapes|demi-sec
