W|veuve clicquot|magnum rose|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|magnum 1|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|magnum 1|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|magnum|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|magnum|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
X
X
W|veuve clicquot|le grande dame 2008|fr|s|??|champagne|reims|2008|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
X
W|veuve clicquot|lagrande|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame750|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
X
W|veuve clicquot|la grande dame yayoi kusama limited edition 2012|fr|s|??|champagne|reims|2012|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame yayoi kusama limited edition 2012|fr|s|??|champagne|reims|2012|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame yayoi kusama 2012|fr|s|??|champagne|reims|2012|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame yayoi kusama 2012|fr|s|??|champagne|reims|2012|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame yayoi kusama|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame veuve clicquot 2018|fr|s|??|champagne|reims|2018|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame veuve clicquot 2015|fr|s|??|champagne|reims|2015|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame unboxed 2018|fr|s|??|champagne|reims|2018|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame rose vintage 2015|fr|s|??|champagne|reims|2015|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame rose reims champagne france 2015|fr|s|??|champagne|reims|2015|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
X
W|veuve clicquot|la grande dame rose champagne dd 0|fr|s|??|champagne|reims|NV|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
W|veuve clicquot|la grande dame rose champagne 2015|fr|s|??|champagne|reims|2015|12|aoc|medio|aperitivos; frutos do mar; canapes|brut
