W|vernaiolo|chianti|it|r|sangiovese|toscana|chianti|2024|13.5|docg|medio|massas; carnes vermelhas; queijos curados|seco
W|vernaculum|vernaculum|??|??|??|??|??|NV|??|??|??|??|??
W|tenuta stefano graidi|vernaccia nera secca terre di serrapetrona|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|seco
W|tenuta stefano graidi|vernaccia nera dolce terre di serrapetrona|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|doce
W|quartomoro di sardegna|vernaccia valle del tirso sulle bucce|it|w|vernaccia|sardegna|valle del tirso|NV|??|??|medio|??|seco
W|remadacantina|vernaccia valle del tirso igt|it|w|vernaccia|sardegna|oristano|NV|??|igt|medio|??|seco
W|quartomoro|vernaccia valle del tirso igt orriu sulle bucce|it|w|vernaccia|sardegna|valle del tirso|2024|??|igt|medio|??|seco
W|quartomoro|vernaccia valle del tirso igt orriu sulle bucce|it|w|vernaccia|sardegna|valle del tirso|2024|??|igt|medio|??|seco
W|quartomoro|vernaccia valle del tirso igt orriu sulle bucce|it|w|vernaccia|sardegna|valle del tirso|2024|??|igt|medio|??|seco
W|quartomoro|vernaccia valle del tirso igt orriu sulle bucce|it|w|vernaccia|sardegna|valle del tirso|2024|??|igt|medio|??|seco
W|quartomoro|vernaccia valle del tirso igt orriu sulle bucce|it|w|vernaccia|sardegna|valle del tirso|2024|??|igt|medio|??|seco
W|quartomoro|vernaccia valle del tirso igt orriu sulle bucce|it|w|vernaccia|sardegna|valle del tirso|2024|??|igt|medio|??|seco
W|teruzzi puthod|isola bianca vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|teruzzi puthod|isola bianca vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|serra|it|w|vernaccia|??|??|2005|??|??|medio|??|seco
W|vernaccia|serra|it|w|vernaccia|??|??|2004|??|??|medio|??|seco
W|vernaccia|selvabianca|it|w|vernaccia|??|??|NV|??|??|medio|??|seco
W|sella mosca|vernaccia|it|d|vernaccia|sardegna|??|1968|??|??|encorpado|??|doce
W|sella mosca|vernaccia|it|d|vernaccia|sardegna|??|1968|??|??|encorpado|??|doce
W|sella mosca|vernaccia|it|d|vernaccia|sardegna|??|1968|??|??|encorpado|??|doce
W|sella mosca|vernaccia|it|d|vernaccia|sardegna|??|1968|??|??|encorpado|??|doce
W|vernaccia|sardenga|it|w|vernaccia|sardegna|??|1972|??|??|medio|??|seco
W|santa maria della scala|vernaccia|it|w|vernaccia|??|??|1958|??|??|medio|??|seco
W|santa maria della scala|vernaccia|it|w|vernaccia|??|??|1958|??|??|medio|??|seco
W|santa maria della scala|vernaccia|it|w|vernaccia|??|??|1958|??|??|medio|??|seco
W|rocca delle macie|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|serra riserva|it|w|vernaccia|??|??|2014|??|??|medio|??|seco
W|vernaccia|serra riserva|it|w|vernaccia|??|??|2014|??|??|medio|??|seco
W|vernaccia|serra riserva|it|w|vernaccia|??|??|2010|??|??|medio|??|seco
W|vernaccia|serra riserva|it|w|vernaccia|??|??|2002|??|??|medio|??|seco
W|vernaccia|riserva lalbereta|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|silvio carta|vernaccia riserva|it|w|vernaccia|sardegna|oristano|2006|16|doc|encorpado|??|seco
W|silvio carta|vernaccia riserva|it|w|vernaccia|sardegna|oristano|2004|16|doc|encorpado|??|seco
W|silvio carta|vernaccia riserva|it|w|vernaccia|sardegna|oristano|2003|16|doc|encorpado|??|seco
W|silvio carta|vernaccia riserva|it|w|vernaccia|sardegna|oristano|2001|16|doc|encorpado|??|seco
W|silvio carta|vernaccia riserva|it|w|vernaccia|sardegna|oristano|1968|16|doc|encorpado|??|seco
W|vernaccia|riserva|it|w|vernaccia|??|??|1998|??|??|medio|??|seco
W|vernaccia|riserva|it|w|vernaccia|??|??|1998|??|??|medio|??|seco
W|vernaccia|orriu sulle bucce|it|w|vernaccia|sardegna|valle del tirso|NV|??|??|medio|??|seco
W|vernaccia|one time invitation|??|??|??|??|??|NV|??|??|??|??|??
W|vernaccia nera|metodo classico rosato|it|s|vernaccia nera|marche|??|NV|11.5|??|medio|??|brut
W|vernaccia nera|pepato|it|r|vernaccia nera|marche|??|NV|??|??|medio|??|seco
W|vernaccia nera|pepato|it|r|vernaccia nera|marche|??|NV|??|??|medio|??|seco
W|fabrini|vernaccia nera di serrapetrona spumante secco selezione|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|seco
W|silvio carta|vernaccia igt|it|w|vernaccia|sardegna|??|NV|??|igt|medio|??|seco
W|vernaccia|vernaccia igt isola dei nuraghi|it|w|vernaccia|sardegna|??|NV|??|igt|medio|??|seco
W|fugnano|vernaccia|it|w|vernaccia|toscana|san gimignano|2019|12.5|docg|medio|??|seco
W|contini|vernaccia flor|it|w|vernaccia|sardegna|oristano|NV|15.5|doc|encorpado|??|seco
W|contini|vernaccia flor|it|w|vernaccia|sardegna|oristano|NV|15.5|doc|encorpado|??|seco
W|vernaccia|extra dry sardenga|it|s|vernaccia|sardegna|??|1963|??|??|medio|??|extra dry
W|vernaccia|eu|??|??|??|??|??|NV|??|??|??|??|??
W|vernaccia|vernaccia di san gimignano bio|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|silvio carta|vernaccia di oristano|it|w|vernaccia|sardegna|oristano|NV|15.5|doc|encorpado|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|1980|??|docg|medio|??|seco
W|vernaccia|vernaccia di serrapetrona spumante dolce|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|doce
W|cantina colleluce|vernaccia di serrapetrona secca|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|seco
W|cantina colleluce|vernaccia di serrapetrona dolce|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|doce
W|cantina colleluce|vernaccia di serrapetrona dolce|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|doce
W|vernaccia|vernaccia di serrapetrona spumante secco|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|seco
W|cantina rocchi|vernaccia di serrapetrona spumante dolce|it|s|vernaccia nera|marche|serrapetrona|NV|11.5|docg|medio|??|doce
W|vernaccia|vernaccia di sardegna igt isola dei nuraghi|it|w|vernaccia|sardegna|??|NV|??|igt|medio|??|seco
W|il lebbio|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2007|??|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|??|docg|medio|??|seco
W|terre di sovernaja|vernaccia di san gimignano viti sparse|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano vigna santa margherita|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
