W|cantina mesa|giunco|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantina mesa|giunco|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantina mesa|giunco|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantina mesa|giunco|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantina mesa|giunco|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantina mesa|giunco|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|tanca gioia|giancu|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|tanca gioia|giancu|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|tanca gioia|giancu|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|tanca gioia|giancu|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|filighe|vermentino di sardegna metodo classico|it|s|vermentino|sardegna|??|NV|12|doc|medio|peixes; frutos do mar; saladas|brut
W|cantina deiana|donnikalia|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|don giovanni|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|antonella corda|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2020|13|doc|medio|peixes; frutos do mar; saladas|seco
W|capo mannu|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantine di ora|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|audarya|camminera|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|santadi|cala silente|it|w|vermentino|sardegna|??|2022|13|doc|medio|peixes; frutos do mar; saladas|seco
W|billia|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|bilia|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|audarya|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|aragosta|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|antonella corda|vermentino di sardegna doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|ambat|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|podere parpinello|ala piana|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|tenute smeralda|smeralda|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|pala|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|pala|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|pala|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|pala|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|pala|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|pala|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc 2024|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc 2024|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|selezione|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|montespada|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cherchi|billia|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc 2023|it|w|vermentino|sardegna|??|2023|13|doc|medio|peixes; frutos do mar; saladas|seco
W|is aquas|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2022|13|doc|medio|peixes; frutos do mar; saladas|seco
W|is aquas|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2022|13|doc|medio|peixes; frutos do mar; saladas|seco
W|is aquas|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2022|13|doc|medio|peixes; frutos do mar; saladas|seco
W|audarya|vermentino di sardegna doc|it|w|vermentino|sardegna|??|2022|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc 2022|it|w|vermentino|sardegna|??|2022|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc 2021|it|w|vermentino|sardegna|??|2021|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc 2020|it|w|vermentino|sardegna|??|2020|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantina del mandrolisai|100 kentannos|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
