W|tenuta moraria|maremma toscana doc 2021|it|r|??|toscana|??|2021|13|doc|medio|carne vermelha; massas; queijo|seco
=1
W|tenuta moraia|rosato 2024|??|p|??|??|??|2024|12.5|??|leve|petiscos; saladas; comida asiatica|seco
W|tenuta moraia|perpiero toscana rosso 2020|it|r|??|toscana|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta moraia|perpiero toscana igt 2020|it|r|??|toscana|??|2020|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta moraia|perpiero toscana igt 2018|it|r|??|toscana|??|2018|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta moraia|perpiero toscana igt 2015|it|r|??|toscana|??|2015|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta moraia|perpiero 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
=8
=8
W|tenuta moraia|melaspina vermentino toscana|it|w|vermentino|toscana|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta moraia|il pacchia maremma toscana 2021|it|r|??|toscana|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta moraia|il pacchia doc 2021|??|r|??|??|??|2021|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta moraia|il calandrino vermentino doc 2023|??|w|vermentino|??|??|2023|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta moraia|apricaia toscana rosso 2020|it|r|??|toscana|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta moraia|apricaia toscana igt 2020|it|r|??|toscana|??|2020|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta montiani|terra greta 2020 chianti classico en vin med sjl og historie|??|r|??|chianti classico|chianti classico|2020|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta monteveglio|pignoletto colli bolognesi docg|??|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta monteti|toscana rosso 2015|it|r|??|toscana|??|2015|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta monteti|tm toscana rose igt tuscany italy 2022 case|it|p|??|tuscany|??|2022|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta monteti|tm toscana rose igt 2021|it|p|??|toscana|??|2021|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta monteti|tm rose toscana igt|it|p|??|toscana|??|NV|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta monteti|tm rose igt 2020|??|p|??|??|??|2020|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta monteti|tm rose 1 magnum igt 2020|??|p|??|??|??|2020|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta monteti|monteti toscana igt tuscany italy 2017 case|it|r|??|tuscany|??|2017|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta monteti|monteti igt 2015|??|r|??|??|??|2015|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta monteti|caburnio toscana igt tuscany italy 2018 case|it|r|??|tuscany|??|2018|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta monteti|caburnio toscana igt 2017|it|r|??|toscana|??|2017|13|igt|medio|carne vermelha; massas; queijo|seco
