W|tempera 101|karbon alu tuba kartonska kutija|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempera|tempera|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temper temper|premium handcut spheres 6pk|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temper temper|premium handcut ice cubes 8pk|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temper temper|premium handcut ice collins 6pk|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeltr te|tempeltr te|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempelton midnight|rye|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempelier verre|tempelier verre|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempelier strong|blond bottle|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=9
W|tempelier strong|amber bottle|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=11
W|tempelier strong|8|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempelier 6|tempelier 6|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempelhof spatburgunder|2020 12 075|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|zuid afrika skemerdans|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|tydsaam tempranillo 2022|??|r|tempranillo|??|??|2022|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|tydsaam tempranillo 2021|??|r|tempranillo|??|??|2021|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|tempranillo 2022|??|r|tempranillo|??|??|2022|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|sorgvry cinsault 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|skemerdans grenache 2021|??|r|grenache|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|oogwink syrah 2021|??|r|syrah|??|??|2021|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tempel wines|oogwink shiraz 2021|??|r|shiraz|??|??|2021|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tempel wines|kattemaai old vine chenin blanc 2023|??|w|chenin blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempel wines|kattemaai cheninsemillon 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel wines|kattemaai chenin blanc 2023|??|w|chenin blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempel te|grnhvid|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel sogvry|cinsaut 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel skemerdans|grenache 2021|??|r|grenache|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel skemerdans|grenache|??|r|grenache|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel oogwink|shiraz|??|r|shiraz|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tempel kattemai|white|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempel kaatemaai|chenin blanc semillon|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempel blydskap|red blend|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh wedzony|bio 275 g bio planet|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh wedzony|bio 200 g merapi|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh verde|200 grs|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh station|cotton tofu 250g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh smazony|bio 180 g merapi|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh roasted|corn flavoured chips 100g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh peri|peri chips 120g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh naturalny|bio 300 g bio planet|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh naturalny|bio 200 g merapi|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh mixto|200 grs|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh marinado|nordico 200 grs|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh marinado|asiatico 250 grs|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
