W|taittinger|champagne rose|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|seco
W|taittinger|champagne prestige rose nv|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|seco
W|taittinger|champagne prestige rose brut nv|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|brut
W|taittinger|champagne prestige rose brut|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|brut
W|taittinger|champagne prestige rose|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|seco
W|taittinger|champagne prestige rose|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|seco|=5
W|taittinger|champagne prestige rose|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|seco|=5
W|taittinger|champagne prestige rose|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|seco|=5
W|taittinger|champagne prestige cuvee 0|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne prestige brut|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne prestige brut|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut|=10
W|taittinger|champagne prestige brut|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut|=10
W|taittinger|champagne prestige brut|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut|=10
W|taittinger|champagne prestige brut|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut|=10
W|taittinger|champagne prestige brut|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut|=10
W|taittinger|champagne prelude grand cru|fr|s|??|??|??|NV|12|grand cru|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne nv|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne nocturne rose city lights|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|seco
W|taittinger|champagne nocturne|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne nocturne|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco|=19
W|taittinger|champagne in luxe geschenkdoos met twee glazen chardonnaypinot noirpinot meunier champagne|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne grand crus blanc de blancs comtes de champagne 2014|fr|s|??|??|??|2014|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne glazen van lehmann jamesse prestige|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne glazen|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne dinner salisterra|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne delivery|fr|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|taittinger|champagne comtes de champagne blanc de blancs brut 2006|fr|s|??|??|??|2006|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut rose prestige nv|fr|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; peixes|brut
W|taittinger|champagne brut reserve salmanazar|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut reserve reims|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut reserve nv france|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut reserve nv|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut reserve nv|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut|=32
W|taittinger|champagne brut reserve nebuchadnezzar|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut reserve methuselah|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut reserve gb|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
W|taittinger|champagne brut reserve france|fr|s|??|??|??|NV|12|reserve|leve|aperitivos; canapes; frutos do mar|brut
