W|stag's leap|wine cellars cask 23 cabernet sauvignon 2016|gb|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cask 23 cabernet sauvignon 2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23 cabernet sauvignon 2013|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cask 23 cabernet sauvignon 2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23 cabernet sauvignon|us|r|cabernet sauvignon|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23 cabernet sauvignon|us|r|cabernet sauvignon|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=5
W|stag|s leap wine cellars cask 23 cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23 2020|fr|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23|us|r|??|california|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cask 23|us|r|??|california|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco|=11
W|stag|s leap wine cellars cabernet sauvignon winemaker series battuello 2015|us|r|cabernet sauvignon|california|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon s l v vineyard napa valley 2022|us|r|cabernet sauvignon|california|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon s l v vineyard napa valley 2021|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon s l v vineyard napa valley 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon s l v stags leap district 2019|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon s l v stags leap district 2018|us|r|cabernet sauvignon|california|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon s l v 2021 napa valley|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon lot 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon fay vineyard stags leap district 2019|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon fay vineyard napa valley 2021|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags' leap|wine cellars cabernet sauvignon fay vineyard napa valley|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon distinguished vineyards surber vineyard 2016|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon distinguished vineyards battuello vineyard 2016|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon chase creek 2015|us|r|cabernet sauvignon|california|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon chase creek 2014|us|r|cabernet sauvignon|california|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon chase creek 2009|us|r|cabernet sauvignon|california|??|2009|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon cask 23 stags leap district 2020|us|r|cabernet sauvignon|california|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon cask 23 stags leap district 2019|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon cask 23 napa valley 2021|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon cask 23 2006|us|r|cabernet blends|california|??|2006|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon battuello vineyard st helena 2018|us|r|cabernet sauvignon|california|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon artemis napa valley 2022|us|r|cabernet sauvignon|california|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon artemis napa valley 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon artemis napa valley 2021|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon artemis 2021|za|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon artemis 2020|us|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon artemis|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon armillary 2016|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars cabernet sauvignon 1994|us|r|??|domestic wines|??|1994|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars cabernet sauvignon 1985|??|r|??|??|??|1985|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars cabernet hands of time|us|r|??|california|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars cab cask 23|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars aveta sauvignon blanc napa valley 2024|us|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars aveta sauvignon blanc napa valley 2024|us|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=46
W|stag's leap|wine cellars aveta sauvignon blanc napa valley 2024|us|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=46
W|stag's leap|wine cellars aveta sauvignon blanc napa valley 2024|us|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=46
W|stag's leap|wine cellars aveta sauvignon blanc napa valley 2023|us|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars aveta sauvignon blanc napa valley 2023|us|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=50
W|stag's leap|wine cellars aveta sauvignon blanc napa valley|us|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags|leap wine cellars aveta sauvignon blanc 2023|us|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars aveta sauvignon blanc 2023|us|w|sauvignon blanc|california|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars aveta sauvignon blanc 2023|us|w|sauvignon blanc|california|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=54
W|stag's leap|wine cellars aveta sauvignon blanc 2023|us|w|sauvignon blanc|california|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=54
