W|sicilia|lucido doc prio 2024 donnafugata|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|sicilia|insolia dop evro 2025 rallo|it|w|??|??|??|2025|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|sicilia|insolia dop evro 2023 rallo|it|w|??|??|??|2023|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|sicilia|igt shiara 2020 castellucci miano|it|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|sicilia|igt shiara 2020 castellucci miano|it|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=5
X
W|sicilia|igt rosso del soprano|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos|seco
W|sicilia|igt nero d avola masseria trajone|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos|seco
X
X
W|sicilia|grillo superiore doc senaria 2024 cantine pellegrino 1880|it|w|??|??|??|2024|12.5|superiore|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo superiore doc senaria 2024 cantine pellegrino 1880|it|w|??|??|??|2024|12.5|superiore|medio|peixes, frutos do mar, saladas|seco|=12
W|sicilia|grillo superiore doc senaria 2024 cantine pellegrino 1880|it|w|??|??|??|2024|12.5|superiore|medio|peixes, frutos do mar, saladas|seco|=12
X
W|sicilia|grillo haermosa 2024 masseria del feudo|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo haermosa 2024 masseria del feudo|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=16
W|sicilia|grillo haermosa 2024 masseria del feudo|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=16
W|sicilia|grillo haermosa 2024 masseria del feudo|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=16
W|sicilia|grillo dop bianco maggiore 2025 rallo|it|w|??|??|??|2025|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo dop bianco maggiore 2024 rallo|it|w|??|??|??|2024|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc vignaverde 2024 marco de bartoli|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc vignaverde 2024 marco de bartoli|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=22
W|sicilia|grillo doc vignaverde 2024 marco de bartoli|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=22
W|sicilia|grillo doc sursur 2025 donnafugata|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc sursur 2025 donnafugata|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=25
W|sicilia|grillo doc sursur 2025 donnafugata|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=25
W|sicilia|grillo doc sursur 2025 donnafugata|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=25
W|sicilia|grillo doc sursur 2024 donnafugata|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc salinaro 2025 cantine pellegrino 1880|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc salinaro 2025 cantine pellegrino 1880|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=30
W|sicilia|grillo doc salinaro 2025 cantine pellegrino 1880|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=30
W|sicilia|grillo doc salinaro 2025 cantine pellegrino 1880|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=30
W|sicilia|grillo doc salinaro 2024 cantine pellegrino 1880 wine outlet|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc salinaro 2024 cantine pellegrino 1880 wine outlet|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=34
W|sicilia|grillo doc salinaro 2024 cantine pellegrino 1880 wine outlet|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=34
W|sicilia|grillo doc salinaro 2024 cantine pellegrino 1880 wine outlet|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=34
W|sicilia|grillo doc passiperduti 2024 donnafugata|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc passiperduti 2024 donnafugata|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=38
W|sicilia|grillo doc la cuba 2021 rallo|it|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc la cuba 2021 rallo|it|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=40
W|sicilia|grillo doc integer 2023 marco de bartoli|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc integer 2023 marco de bartoli|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|sicilia|grillo doc integer 2023 marco de bartoli|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|sicilia|grillo doc integer 2023 marco de bartoli|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|sicilia|grillo doc grappoli del grillo 2022 marco de bartoli|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc grappoli del grillo 2022 marco de bartoli|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=46
W|sicilia|grillo doc grappoli del grillo 2022 marco de bartoli|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=46
W|sicilia|grillo doc fondo filara 2024 nicosia|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc fondo filara 2024 nicosia|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=49
W|sicilia|grillo doc fondo filara 2024 nicosia|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=49
W|sicilia|grillo doc caeles 2025 firriato|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc caeles 2025 firriato|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=52
W|sicilia|grillo doc caeles 2025 firriato|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=52
W|sicilia|grillo doc caeles 2024 firriato|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc caeles 2024 firriato|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=55
W|sicilia|grillo doc bio vegan 2024 nicosia|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc bio vegan 2024 nicosia|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=57
W|sicilia|grillo doc bio vegan 2023 sicilia nero d avola doc bio vegan 2022 nicosia|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|grillo doc bio vegan 2023 sicilia nero d avola doc bio vegan 2022 nicosia|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=59
W|sicilia|grillo doc bertolino soprano 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc bertolino soprano 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=61
W|sicilia|grillo doc bertolino soprano 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=61
W|sicilia|grillo doc bertolino soprano 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=61
W|sicilia|grillo doc bertolino soprano 2022 magnum mandrarossa|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc bertolino soprano 2022 magnum mandrarossa|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=65
W|sicilia|grillo doc bertolino soprano 2019 magnum mandrarossa|it|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc bertolino soprano 2019 magnum mandrarossa|it|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=67
W|sicilia|grillo doc autentici 2025 duca di salaparuta|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc autentici 2025 duca di salaparuta|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=69
W|sicilia|grillo doc autentici 2025 duca di salaparuta|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=69
W|sicilia|grillo doc autentici 2025 duca di salaparuta|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=69
W|sicilia|grillo doc altavilla della corte 2025 firriato|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc altavilla della corte 2025 firriato|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=73
W|sicilia|grillo doc altavilla della corte 2025 firriato|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=73
W|sicilia|grillo doc altavilla della corte 2024 firriato|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc altavilla della corte 2024 firriato|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=76
W|sicilia|grillo doc 4 filari 2024 case alte|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc 4 filari 2024 case alte|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=78
W|sicilia|grillo doc 4 filari 2024 case alte|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=78
W|sicilia|grillo doc 4 filari 2024 case alte|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=78
W|sicilia|grillo doc 4 filari 2024 case alte|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=78
W|sicilia|grillo doc 2025 mandrarossa|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo doc 2025 mandrarossa|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=83
W|sicilia|grillo doc 2025 mandrarossa|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=83
W|sicilia|grillo doc 2025 mandrarossa|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=83
