W|pinot grigio|doc rivoli cantina roeno|??|w|pinot grigio|??|??|NV|??|??|??|??|??
W|pinot grigio|doc kossler|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc grave friuli|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc grave friuli|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli terre magre piera martellozzo|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli jermann|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli isonzo lis neris|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli isonzo gris lis neris|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli isonzo borgo dei vassalli|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli grave 0 6st|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli grave|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc friuli colli orientali 2022|??|w|pinot grigio|??|??|2022|??|??|??|??|??
W|pinot grigio|doc friuli bio 2023|??|w|pinot grigio|??|??|2023|??|??|??|??|??
W|pinot grigio|doc friuli|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie organic|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie blush 2023 italian rose wine|??|p|pinot grigio, rose|??|??|2023|??|??|??|??|??
W|pinot grigio|doc delle venezie blush|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie blush|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie blush|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie azienda agricola passarini 3 litri|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie 2024 italo cescon|??|w|pinot grigio|??|??|2024|??|??|??|??|??
W|pinot grigio|doc delle venezie 2024 italo cescon|??|w|pinot grigio|??|??|2024|??|??|??|??|??|=21
W|pinot grigio|doc delle venezie|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc delle venezie|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc collio bio halbe flasche|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc collio bio|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc collio 2022 135 vol|??|w|pinot grigio|??|??|2022|??|??|??|??|??|=12
W|pinot grigio|doc collio 0|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc collio|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc collio|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc colli orientali friuli bio gigante 2024|??|w|pinot grigio|??|??|2024|??|??|??|??|??|=21
W|pinot grigio|doc colli euganei|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc cantina tramin 2024|??|w|pinot grigio|??|??|2024|??|??|??|??|??|=21
W|pinot grigio|doc bio madallena 0|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc bennati|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc bastianich 2024|??|w|pinot grigio|??|??|2024|??|??|??|??|??|=21
W|pinot grigio|doc aristos valle isarco|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
W|pinot grigio|doc aristos valle isarco|??|w|pinot grigio|??|??|NV|??|??|??|??|??|=1
