W|15|minute test pots pinot noir|??|r|grenache syrah pinot noir, pinot noir, syrah, grenache|??|??|2024|14|??|encorpado|carne vermelha, queijo|seco
W|mon tout|cherry picking|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, queijo|seco
W|mon tout|cherry picking|??|w|chardonnay|??|??|2024|12.5|do|leve|peixes, frutos do mar|seco
W|mon tout|cherry picking|??|w|chardonnay|??|??|2024|12.5|do|leve|peixes, frutos do mar|seco|=3
W|mon tout|cherry picking|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|mon tout|cherry picking|??|r|syrah, grenache|??|??|2024|14|??|encorpado|carne vermelha, queijo|seco
W|mon tout|cherry picking|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon tout|cherry picking|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=7
W|mon|tempranillo|??|r|tempranillo|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco
W|mon|tempranillo|??|r|tempranillo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|casanova|fr corse secret rose|??|p|??|??|??|2021|12.5|??|leve|saladas, frutos do mar|seco
W|jean|francois ganevat mon rouge|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|jean|francois ganevat mon rouge|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|domaine rouge|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco
W|mon|domaine rouge|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco|=14
W|mon|domaine rouge|??|r|??|??|??|2021|13.5|do|medio|carne vermelha, queijo|seco
W|jean|francois ganevat mon rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=13
W|mon|domaine rouge|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|mon|domaine rouge|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=18
W|mon|domaine rouge|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=18
W|domaine|mon reve ruffes salagou rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco
W|domaine|mon reve ruffes salagou rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco|=21
W|domaine|mon reve ruffes salagou rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco|=21
W|domaine|mon reve ruffes salagou rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco|=21
W|mon roc|vermentino colombard|??|w|vermentino, colombard|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|campagne|rose cinsault|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco
W|foncalieu|bastille carignan merlot|??|r|merlot, carignan|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|domaine|mon reve biologique blanc|??|w|??|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|mon reve|vie cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|14|??|encorpado|carne vermelha, queijo|seco
W|domaine|mon reve biologique blanc|??|w|chardonnay, chenin blanc|??|??|2020|12.5|do|leve|peixes, frutos do mar|seco
W|chateau|simian mon ptit camion blanc|it|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|chateau|simian mon ptit camion blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=31
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=35
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|olivier|pithon mon ptit pithon blanc|??|w|??|??|??|2013|12.5|igp|leve|peixes, frutos do mar|seco
W|olivier|pithon mon ptit pithon blanc|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco
W|olivier|pithon mon ptit pithon blanc|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=41
W|olivier|pithon mon ptit pithon blanc|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco
W|olivier|pithon mon ptit pithon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|olivier|pithon mon ptit pithon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=44
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=35
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=35
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|olivier|pithon mon ptit pithon rouge|fr|r|??|languedoc|??|2023|13.5|doc|medio|carne vermelha, queijo|seco|=37
W|olivier|pithon mon ptit pithon blanc|fr|w|??|languedoc|??|2023|12.5|doc|leve|peixes, frutos do mar|seco|=43
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|2021|13.5|do|medio|carne vermelha, queijo|seco|=33
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=34
W|olivier|pithon mon ptit pithon rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=34
W|chateau|simian mon ptit camion blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=31
W|chateau|simian mon ptit camion blanc|??|w|??|??|??|2025|12.5|??|leve|peixes, frutos do mar|seco
W|chateau|simian mon ptit camion rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|chateau|simian mon ptit camion rouge|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, queijo|seco
W|chateau|simian mon ptit camion blanc|??|p|??|??|??|2025|12.5|??|leve|saladas, frutos do mar|seco
W|chateau|simian mon ptit camion blanc|??|w|??|??|??|2025|12.5|??|leve|peixes, frutos do mar|seco|=56
W|chateau|simian mon ptit camion blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=31
W|chateau|simian mon ptit camion blanc|??|w|??|??|??|2025|12.5|??|leve|peixes, frutos do mar|seco|=56
W|dumol|russian river valley chardonnay|us|w|chardonnay|russian river valley|??|NV|12.5|do|leve|peixes, frutos do mar|seco
X
W|mon|poulain pommard|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|mon|poulain|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|mon|poulain|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|mon|plaisir vellee sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|aop|leve|peixes, frutos do mar|seco
W|mon|plaisir vellee sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=68
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=70
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=70
W|mon|cheval mon petit pinot noir|nz|r|pinot noir|canterbury|??|2015|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cheval mon petit pinot noir|nz|r|pinot noir|canterbury|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=73
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=73
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=73
X
W|oliveda|mon perdut rosat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|oliveda|mon perdut rosat|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco
W|oliveda|mon perdut rosat|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
X
W|vinyes|convent mon pare tinto|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco
W|vinyes|convent mon pare tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
