W|michele|portoghese fettucine 500gr|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|michele|portoghese farfalle 500g|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|michele|portoghese bucatini 500gr|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|bartolo|mascarello barolo|??|r|??|??|??|1971|13.5|??|medio|carne vermelha, queijo|seco
W|bartolo|mascarello barolo|??|r|??|??|??|1965|13.5|??|medio|carne vermelha, queijo|seco
W|bartolo|mascarello barolo|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco
W|bartolo|mascarello barolo|??|r|??|??|??|1959|13.5|??|medio|carne vermelha, queijo|seco
W|bartolo|mascarello barolo|??|r|??|??|??|1974|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
W|michele|lorenzetti massimo riesling|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar|seco
W|elena|walch ludwig pinot nero|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco
X
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
