1. W|christian bellang et fils|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
2. W|burgundy chardonnay|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
3. W|meursault branco|meursault|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
4. W|meursault branco|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
5. W|bourgogne rouge|meursault|fr|r|pinot noir|bourgogne|meursault|NV|13|AOC|medio|carne vermelha, queijos|seco
6. W|domaine des comtes lafon|meursault boucheres 1er cru aoc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
7. W|domaine des comtes lafon|meursault boucheres 1er cru aoc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco|=6
8. W|domaine des comtes lafon|meursault boucheres 1er cru aoc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco|=6
9. W|domaine des comtes lafon|meursault boucheres 1er cru aoc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco|=6
10. W|domaine des comtes lafon|meursault boucheres 1er cru aoc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco|=6
11. W|bouchard pere et fils|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
12. W|bouchard half|meursault|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
13. W|boisson pierre|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
14. W|boisson pierre|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=13
15. W|comtesse de cherisey|meursault bois de blagny|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
16. W|la velle|meursault blanc sous|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
17. W|pierre morey|meursault blanc premier cru perrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
18. W|pierrevincent girardin|meursault blanc premier cru les charmes|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
19. W|pierrevincent girardin|meursault blanc premier cru les charmes|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=18
20. W|pierre morey|meursault blanc perrieres 1er cru|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
21. W|pierre morey|meursault blanc perrieres 1er cru|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=20
22. W|pierre morey|meursault blanc perrieres 1er cru|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=20
23. W|domaine henri germain et fils|meursault blanc limozin|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
24. W|pierre morey|meursault blanc les tessons|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
25. W|pierre morey|meursault blanc les tessons|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=24
26. W|pierre morey|meursault blanc les tessons|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=24
27. W|pierre morey|meursault blanc les tessons|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=24
28. W|domaine michel bouzereau et fils|meursault blanc les tessons|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
29. W|domaine michel bouzereau et fils|meursault blanc les tessons|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
30. W|les narvaux|meursault blanc|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
31. W|domaine jeanmarc pillot|meursault blanc les grands charrons|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
32. W|domaine jeanmarc pillot|meursault blanc les grands charrons|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
33. W|grands charrons|meursault blanc les|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
34. W|domaine heitzlochardet|meursault blanc la barre|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
35. W|domaine roulot|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
36. W|phlilippe bouzereau|meursault blanc domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
37. W|philippe bouzereau|meursault blanc domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
