W|lecole no 41|cabernet sauvignon walla walla washington 750|us|r|cabernet sauvignon|walla walla|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon walla walla valley|us|r|cabernet sauvignon|walla walla|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon walla walla valley|us|r|cabernet sauvignon|walla walla|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon walla walla|us|r|cabernet sauvignon|walla walla|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon wa half bottle drag fly delivery|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon ferguson vineyard walla walla valley|us|r|cabernet sauvignon|walla walla|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon columbia valley washington 750|us|r|cabernet sauvignon|columbia valley|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon columbia valley|us|r|cabernet sauvignon|columbia valley|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon columbia valley|us|r|cabernet sauvignon|columbia valley|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon columbia valley|us|r|cabernet sauvignon|columbia valley|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|apogee walla walla washington 750|us|r|??|walla walla|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole no 41|40th anniversary walla walla valley|us|r|??|walla walla|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole no 41|columba valley syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|columbia valley syrah|us|r|syrah|columbia valley|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|chenin blanc old vines yakima valley|us|w|chenin blanc|yakima valley|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
