W|latour|red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|puligny montrachet|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|puligny montrachet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pouilly fuisse|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pouilly fuisse|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pouilly fuisse|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=5
W|latour|pomerol|fr|r|??|pomerol|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac grand cru owc12 6|??|r|??|??|??|2009|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac exchateau|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac exchateau|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac exchateau|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac capsule damage|??|r|??|??|??|1971|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|1971|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac eunicolas label label damage|??|r|??|??|??|1959|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac cut capsule|??|r|??|??|??|1945|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac cut capsule|??|r|??|??|??|1945|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=21
W|latour|pauillac label damage|??|r|??|??|??|1940|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac label damage|??|r|??|??|??|1940|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=23
W|latour|pauillac|??|r|??|??|??|1928|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|1928|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=25
W|latour|pauillac|??|r|??|??|??|1926|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac|??|r|??|??|??|1926|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=27
W|latour|pauillac 1899 christies label|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1899 christies label|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=29
