W|las|vino the pirate blend|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino sun on your skin chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|vino sun on your skin chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|vino portuguese pirate blend|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|las|vino pirate blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino pirate blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=5
W|las|vino pirate blend|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino pirate blend|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=7
W|las|vino pirate blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino pirate blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=9
W|las|vino petillant naturel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino grenache granite|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino grenache chilled red|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino granite grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino granite grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=15
W|las|vino granite grenache|??|r|grenache|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino granite grenache|??|r|grenache|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=17
W|las|vino granite grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino fuck him cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|vino franco cabernet franc|??|r|cabernet franc|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|las|vino f him petillant naturel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|vino chenin blanc dynamic blend cbdb|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|vino chenin blanc|??|w|chenin blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|las|vino chenin blanc|??|w|chenin blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco|=24
W|las|vino chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
