W|las|jaras wines nouveau old vines mendocino county|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wines nouveau old vines mendocino county|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wines guided wine tasting february 13th|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wines glou glou red mendocino co california usa|us|r|??|california|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wines glou glou red blend california|us|r|??|california|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wines glou glou red blend california|us|r|??|california|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=5
W|las|jaras wines glou glou mendocino|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wines charbono amphora|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wine pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras white waves can|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves white wine cans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves white wine can 8oz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves white wine can 8oz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=13
W|las|jaras waves white mendocino county california|us|r|??|california|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves white mendocino county california|us|r|??|california|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=15
W|las|jaras waves white blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves white|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=19
W|las|jaras waves rose wine cans|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|jaras waves rose|??|p|??|??|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|jaras waves rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|jaras waves red can 125 abv|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves red can|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves red can|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=25
W|las|jaras waves red california|us|r|??|california|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=28
W|las|jaras waves red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=28
W|las|jaras waves botanical spritzer can|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves botanical spritzer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras waves botanical spritzer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=32
W|las|jaras waves|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry wine california red blend of 3 grapes natural wine|us|r|??|california|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry wine|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry wine|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=36
W|las|jaras sweet berry wine|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry wine|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=40
W|las|jaras sweet berry wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=40
W|las|jaras sweet berry red|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|las|jaras sweet berry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=44
W|las|jaras superbloom rose california usa|us|p|??|california|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|las|jaras superbloom rose|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
