W|larousse|gastronomique en espanol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larose|trintaudon|??|p|??|??|??|1975|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|stonyridge waiheke island 3000 waiheke island nieuw zeeland|??|p|??|??|??|2004|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|stonyridge waiheke island 1500 waiheke island nieuw zeeland|??|p|??|??|??|2004|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|stonyridge waiheke island 1500 waiheke island nieuw zeeland|??|p|??|??|??|2003|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|stonyridge waiheke island 1500 waiheke island nieuw zeeland|??|p|??|??|??|2002|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|saint laurent|??|p|??|??|??|1990|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|saint laurent|??|p|??|??|??|1990|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=7
W|larose|saint laurent|??|p|??|??|??|1990|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=7
W|larose|magnum ep|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|magnum|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|magnum|??|p|??|??|??|2022|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|magnum|??|p|??|??|??|2021|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|magnum|??|p|??|??|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|magnum|??|p|??|??|??|2019|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|ep larose vip club en primeur 9 bottles international only|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|ep larose vip club en primeur 6 bottles international|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|ep larose vip club en primeur 6 bottles|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|ep larose vip club en primeur 3 bottles|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|ep larose vip club en primeur 15 bottles international only|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|ep larose vip club en primeur 12 bottles|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
