W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=1
W|lapostolle|grand selection chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|grand selection chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=8
W|lapostolle|grand selection carmenere valle del rapel|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere valle del rapel|??|r|carmenere|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere een heerlijke carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=14
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=16
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
