W|languedoc|syrah domaine baume rg|fr|r|syrah|languedoc|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|strate clos constantin|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|strate clos constantin|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|strate clos constantin|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|strate clos constantin|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|strate clos constantin|fr|r|??|languedoc|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|st jacques maxime magnon|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|sommieres les gres mas granier rood|fr|r|??|languedoc|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|solen domaine les aurelles|fr|r|??|languedoc|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|sauvignon domaine baume bl|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|saturne blanc domaine de virgile joly|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|sans plus attendre domaine modat|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|saintchinian domaine la madura classic rouge rouge|fr|r|??|languedoc|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|saint christol selection domaine costemoynier bio|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rozeta maxime magnon|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon white wines|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon red wines|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon mariatinto sang bleu rosado 12|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|roussillon mariatinto sang bleu 12|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon maison castel merlot 6|fr|r|merlot|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon maison castel chardonnay 6|fr|w|chardonnay|languedoc|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|languedoc|roussillon maison castel cabernet sauvignon 6|fr|r|cabernet sauvignon|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon lyv rose 6|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|roussillon georges duboeuf sauvignon blanc 12|fr|w|sauvignon blanc|languedoc|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|languedoc|roussillon georges duboeuf pinot noir rose 12|fr|p|pinot noir|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|roussillon georges duboeuf merlot 12|fr|r|merlot|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon georges duboeuf chardonnay 12|fr|w|chardonnay|languedoc|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|languedoc|roussillon georges duboeuf cabernet sauvignon 12|fr|r|cabernet sauvignon|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon castelmaure corbieres 6|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon calvet merlot 6|fr|r|merlot|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon calvet merlot 6|fr|r|merlot|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=30
W|languedoc|roussillon calvet cabernet 6|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon barton guestier reserve pinot noir 6|fr|r|pinot noir|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon barton guestier reserve merlot 12|fr|r|merlot|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
