W|langlois|cremant de loire vintage|fr|s|??|loire|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant de loire vintage|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant de loire vintage|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=2
W|langlois|cremant de loire vintage|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=2
W|langlois|cremant de loire rose nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant de loire rose brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire rose brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=6
W|langlois|cremant de loire rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant de loire rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=8
W|langlois|cremant de loire rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=8
W|langlois|cremant de loire rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=8
W|langlois|cremant de loire reserve brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire quadrille extra brut|fr|s|??|loire|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|langlois|cremant de loire cuvee brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire cuvee brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=14
W|langlois|cremant de loire cuvee brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=14
W|langlois|cremant de loire cuvee brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=14
W|langlois|cremant de loire cadence extra brut|fr|s|??|loire|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|langlois|cremant de loire cadence extra brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|langlois|cremant de loire cadence extra brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=19
W|langlois|cremant de loire brut vintage cl 75|fr|s|??|loire|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut vintage|fr|s|??|loire|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut vintage|fr|s|??|loire|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|brut|=22
W|langlois|cremant de loire brut vintage|fr|s|??|loire|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|brut|=22
W|langlois|cremant de loire brut vintage|fr|s|??|loire|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut vintage|fr|s|??|loire|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut|=25
W|langlois|cremant de loire brut rose nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut rose cl 75|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=29
W|langlois|cremant de loire brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=29
W|langlois|cremant de loire brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=29
W|langlois|cremant de loire brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=29
W|langlois|cremant de loire brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=29
W|langlois|cremant de loire brut reserve cl 75|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
W|langlois|cremant de loire brut reserve|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=36
