W|langhe|nebbiolo doc la spinetta rivetti|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc la spinetta|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc la spinetta|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=2
W|langhe|nebbiolo doc la spinetta|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=2
W|langhe|nebbiolo doc la spinetta|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=2
W|langhe|nebbiolo doc la spinetta|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=2
W|langhe|nebbiolo doc la spinetta|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=2
W|langhe|nebbiolo doc gd vajra|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc gd vajra|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=8
W|langhe|nebbiolo doc gd vajra|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=8
W|langhe|nebbiolo doc elio grasso|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc elio grasso|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=11
W|langhe|nebbiolo doc elio grasso|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=11
W|langhe|nebbiolo doc elio grasso|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=11
W|langhe|nebbiolo doc elio grasso|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=11
W|langhe|nebbiolo doc diego pressenda|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc castello di verduno|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc castello di verduno|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=17
W|langhe|nebbiolo doc castello di verduno|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=17
W|langhe|nebbiolo doc castello di verduno|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=17
W|langhe|nebbiolo doc castello di verduno|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=17
W|langhe|nebbiolo doc burlotto|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc borgogno rivata|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc belcolle|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc baldissero|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=26
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=26
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=26
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=26
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=26
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=26
W|langhe|nebbiolo doc 20232024 cristian boffa|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc trediberri|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc stefano porro|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc selezione giacomo fenocchio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc selezione giacomo fenocchio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=36
W|langhe|nebbiolo doc selezione giacomo fenocchio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=36
W|langhe|nebbiolo doc selezione giacomo fenocchio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=36
W|langhe|nebbiolo doc selezione giacomo fenocchio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=36
W|langhe|nebbiolo doc scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=41
W|langhe|nebbiolo doc scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=41
W|langhe|nebbiolo doc scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=41
W|langhe|nebbiolo doc scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=41
W|langhe|nebbiolo doc roccheviberti|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc rocche dei manzoni|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc roccalini|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc punset|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc punset|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=49
W|langhe|nebbiolo doc punset|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=49
W|langhe|nebbiolo doc punset|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=49
W|langhe|nebbiolo doc punset|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=49
W|langhe|nebbiolo doc produttori del barbaresco wine outlet|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc produttori del barbaresco wine outlet|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=54
W|langhe|nebbiolo doc produttori del barbaresco wine outlet|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=54
W|langhe|nebbiolo doc principiano|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc poderi luigi einaudi|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc poderi fogliati|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc poderi fogliati|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=59
W|langhe|nebbiolo doc pira luigi|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc pio cesare|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc pio cesare|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=62
W|langhe|nebbiolo doc pio cesare|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=62
W|langhe|nebbiolo doc pio cesare|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=62
W|langhe|nebbiolo doc pico maccario|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc paolo scavino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc paolo scavino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=67
W|langhe|nebbiolo doc paolo scavino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=67
W|langhe|nebbiolo doc paolo scavino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=67
W|langhe|nebbiolo doc paolo scavino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=67
W|langhe|nebbiolo doc nadia curto|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc monchiero|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc moccagatta|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc mauro marengo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc mauro marengo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=75
W|langhe|nebbiolo doc mauro marengo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=75
W|langhe|nebbiolo doc mauro marengo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=75
W|langhe|nebbiolo doc mauro marengo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=75
W|langhe|nebbiolo doc massolino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc massolino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=80
W|langhe|nebbiolo doc massolino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=80
W|langhe|nebbiolo doc massolino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=80
W|langhe|nebbiolo doc massolino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=80
W|langhe|nebbiolo doc marengo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum trediberri|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=87
