W|langhe|doc freisa lice adriano marco e vittorio|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa lamorrina voerzio martini|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa kye|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa biologico borgogno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa rabino luigi|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa prandi|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa cascina fontana|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa kologisk rdvin pa tilbud|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa cascina albano|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc freisa cascina albano|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=9
W|langhe|doc freisa|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita servaj deltetto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita onorata angelo negro|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita cascina chicco 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita by cantina tibaldi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita antica cascina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita rabino luigi|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita la trava|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita 0|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=20
W|langhe|doc dolcetto teresa soria|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc dolcetto retro|??|r|dolcetto|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc dolcetto giaro|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc dolcetto ancum borgogno|??|r|dolcetto|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc dolcetto ancum cantina borgogno|??|r|dolcetto|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc dolcetto demarie|??|r|dolcetto|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc dolcetto alessandro rivetto|??|r|dolcetto|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc da uva merlot roberto voerzio|??|r|merlot|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc cinerino marziano abbona|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc cinerino marziano abbona|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc chardonnay suasi deltetto|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay suasi deltetto|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay sermine|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay piodilei pio cesare|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay piodilei magnum pio cesare|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay lorens walter lodali|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay i patriarchi|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay grilli bianchi hilberg pasquero|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay gd damilano|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay dellerose|??|p|chardonnay|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|langhe|doc chardonnay de la belcolle tre bicchieri gambero rosso|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay bel colle|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay bel ami|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay asso di fiori serra dei fiori braida|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay ampelio fontanafredda|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay ampelio fontanafredda|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay ampelio fontanafredda|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=47
W|langhe|doc chardonnay ampelio fontanafredda|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=47
W|langhe|doc chardonnay rusel|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay rabino luigi|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay enzo boglietti|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay enzo boglietti|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay marco capra|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay marchesi di gresy|it|w|chardonnay|marche|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay ettore germano|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay ettore germano|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco|=57
W|langhe|doc chardonnay azienda agricola roccasanta|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay 0|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=61
W|langhe|doc cabernet enzo boglietti|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bussiador poderi aldo conterno|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc buio enzo boglietti|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bricco manzoni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bricco del drago|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bricco del drago poderi colla|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bricco del drago|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
