W|lan|culmen x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|culmen tinto|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|culmen reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lan|culmen reserva|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lan|culmen reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lan|culmen reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=5
W|lan|culmen reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=5
W|lan|culmen reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=5
W|lan|culmen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza tempranillo x|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lan|crianza rioja doc|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza rioja|es|r|??|rioja|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza rioja spain|es|r|??|rioja|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=14
W|lan|crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=14
W|lan|crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=14
W|lan|crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=14
W|lan|crianza red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza doca|??|r|??|??|??|NV|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza d12|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza d12|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=22
W|lan|crianza magnum|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=25
W|lan|crianza|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=25
W|lan|crianza|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=25
W|lan|crianza|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza|??|r|??|??|??|1986|13.5|??|medio|carnes vermelhas; massas; queijos|seco
