W|lammidia|miscela bianco 20 abruzzo|it|r|??|abruzzo|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|miscela abruzzo rose|it|p|??|abruzzo|??|2017|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lammidia|miscela|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|mezcla rosada|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|heritage|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|frekt vino bianco|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|frekt vdt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|frekt|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|frekt|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|frekt|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=9
W|lammidia|flamingo vdt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|flamingo rose abruzzo italy|it|p|??|abruzzo|??|2021|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lammidia|flamingo rosato|??|p|??|??|??|2021|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lammidia|flamingo field blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|flamingo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|flamingo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|ddubbott|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|code|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|coco orange wine|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|coco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|casanova rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|casanova|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|carbo bianco|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco carbo abruzzo white|it|r|??|abruzzo|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco carbo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco aromatico|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco anfora abruzzo white|it|r|??|abruzzo|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco anfora|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco anfora|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=28
W|lammidia|bianco anfora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco anfora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=30
W|lammidia|bianco|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianchetto vdt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianchetto trebbiano|??|w|trebbiano|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lammidia|bianchetto bianco|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianchetto abruzzo|it|r|??|abruzzo|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianchetto|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
