W|blanco|lambrusco dell emilia sarsitano|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|rosso|lambrusco dell emilia|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosso|lambrusco dell emilia|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosato|lambrusco dell emilia|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|cantinieri|lambrusco dell emilia maestri|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|igt|lambrusco dell emilia il mio chiarli tinto amabile|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|igt|lambrusco dell emilia il mio chiarli rosado amabile|it|p|lambrusco|??|??|NV|11.5|IGT|leve|saladas, peixes|seco
W|igt|lambrusco dell emilia il mio chiarli blanco amabile|it|w|lambrusco|??|??|NV|11.5|IGT|medio|peixe, frutos do mar|seco
W|rosso|lambrusco dell emilia dolce|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|branco|lambrusco dell emilia dolce|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|dolce|lambrusco dell emilia|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|tinto|lambrusco dell emilia caldirola|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosado|lambrusco dell emilia caldirola|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|blanco|lambrusco dell emilia caldirola|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|amabile|lambrusco dell emilia branco|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|bianco|lambrusco dell emilia|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|emilia|lambrusco dell|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
