1. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2022|13.0|igt|medio|frutos do mar, peixe, salada|seco
2. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2022|13.0|igt|medio|frutos do mar, peixe, salada|seco|=1
3. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2024|13.0|igt|medio|frutos do mar, peixe, salada|seco
4. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2024|13.0|igt|medio|frutos do mar, peixe, salada|seco|=3
5. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2023|13.0|igt|medio|frutos do mar, peixe, salada|seco
6. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2022|13.0|igt|medio|frutos do mar, peixe, salada|seco
7. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2021|13.0|igt|medio|frutos do mar, peixe, salada|seco
8. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|NV|13.0|igt|medio|frutos do mar, peixe, salada|seco
9. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|NV|13.0|igt|medio|frutos do mar, peixe, salada|seco|=8
10. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco
11. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco|=10
12. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2020|14.0|igt|medio|carne vermelha, massas, queijo|seco
13. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2017|14.0|igt|medio|carne vermelha, massas, queijo|seco
14. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2023|14.0|igt|medio|carne vermelha, massas, queijo|seco
15. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2023|14.0|igt|medio|carne vermelha, massas, queijo|seco|=14
16. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2023|14.0|igt|medio|carne vermelha, massas, queijo|seco|=14
17. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2022|14.0|igt|medio|carne vermelha, massas, queijo|seco
18. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2021|14.0|igt|medio|carne vermelha, massas, queijo|seco
19. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2020|14.0|igt|medio|carne vermelha, massas, queijo|seco
20. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|2000|14.0|igt|medio|carne vermelha, massas, queijo|seco
21. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco
22. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco|=21
23. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco|=21
24. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco|=21
25. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco|=21
26. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco|=21
27. W|gaja|ca marcanda promis|it|r|??|toscana|bolgheri|NV|14.0|igt|medio|carne vermelha, massas, queijo|seco|=21
28. W|gaja|ca marcanda magari|it|r|??|toscana|bolgheri|2022|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
29. W|gaja|ca marcanda magari|it|r|??|toscana|bolgheri|2021|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
30. W|gaja|ca marcanda magari|it|r|??|toscana|bolgheri|2021|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco|=29
31. W|gaja|ca marcanda magari|it|r|??|toscana|bolgheri|2019|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
32. W|gaja|ca marcanda magari|it|r|??|toscana|bolgheri|NV|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
33. W|gaja|ca marcanda magari|it|r|??|toscana|bolgheri|NV|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco|=32
34. W|gaja|ca marcanda magari|it|r|??|toscana|bolgheri|NV|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco|=32
35. W|gaja|ca marcanda camarcanda|it|r|??|toscana|bolgheri|2021|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
36. W|gaja|ca marcanda camarcanda|it|r|??|toscana|bolgheri|2021|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco|=35
37. W|gaja|ca marcanda camarcanda|it|r|??|toscana|bolgheri|2020|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
38. W|gaja|ca marcanda camarcanda|it|r|??|toscana|bolgheri|2018|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
39. W|gaja|ca marcanda camarcanda|it|r|??|toscana|bolgheri|2017|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
40. W|gaja|ca marcanda camarcanda|it|r|??|toscana|bolgheri|2015|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
41. W|gaja|ca marcanda camarcanda|it|r|??|toscana|bolgheri|NV|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
42. W|gaja|ca marcanda ca marcanda|it|r|??|toscana|bolgheri|2012|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
43. W|gaja|ca marcanda bolgheri rosso|it|r|??|toscana|bolgheri|2017|14.0|doc|medio|carne vermelha, massas, queijo|seco
44. W|gaja|ca marcanda bolgheri|it|r|??|toscana|bolgheri|2018|14.0|doc|medio|carne vermelha, massas, queijo|seco
45. W|gaja|ca marcanda bolgheri|it|r|??|toscana|bolgheri|NV|14.0|doc|medio|carne vermelha, massas, queijo|seco
46. W|gaja|ca marcanda|it|r|??|toscana|bolgheri|NV|??|??|??|??|seco
47. W|gaja|brunello pieve santa retituta|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
48. W|gaja|brunello pieve santa retituta|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=47
49. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
50. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2018|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
51. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2016|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
52. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2016|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=51
53. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2013|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
54. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2013|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=53
55. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2013|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=53
56. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2013|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=53
57. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|2004|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
58. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|1993|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
59. W|gaja|brunello di montalcino sugarille|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
60. W|gaja|brunello di montalcino restituta|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
61. W|gaja|brunello di montalcino rennina pieve santa restituta|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
62. W|gaja|brunello di montalcino rennina|it|r|sangiovese|toscana|montalcino|2020|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
63. W|gaja|brunello di montalcino rennina|it|r|sangiovese|toscana|montalcino|2016|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
