W|valdespino|la especial miraflores 2016|es|f|palomino|andalucia|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|jerez quina nv|es|f|palomino|andalucia|jerez|NV|15|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|isabela cream sherry 075|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|isabela cream sherry|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|isabela cream sherry|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=8
W|valdespino|isabela cream sherry|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=8
W|valdespino|isabela cream|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|doce
W|valdespino|isabela cream|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|doce|=11
W|valdespino|inocente single vineyard fino sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente sherry fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente sherry fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=14
W|valdespino|inocente pago de macharnudo fino sherry|es|f|palomino|andalucia|macharnudo alto|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino single vineyard macharnudo alto|es|f|palomino|andalucia|macharnudo alto|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino single vineyard dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino sherry jerez spain 15|es|f|palomino|andalucia|jerez|15|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=20
W|valdespino|inocente fino sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=20
W|valdespino|inocente fino sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=20
W|valdespino|inocente fino sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=20
W|valdespino|inocente fino sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=20
W|valdespino|inocente fino pago de macharnudo|es|f|palomino|andalucia|macharnudo alto|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=27
W|valdespino|inocente fino dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
