render_wine_id,channel,candidate_rank,candidate_universe,candidate_id,candidate_nome,candidate_produtor,candidate_safra,candidate_tipo,raw_score,top1_top2_gap,batch_id
1741000,render_nome_produtor,1,render,20181,echezeaux grand cru,domaine de la romaneeconti,,tinto,0.5687,0.0812,1
1741000,render_nome_produtor,2,render,20177,la tache grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741000,render_nome_produtor,3,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741000,render_nome,1,render,20181,echezeaux grand cru,domaine de la romaneeconti,,tinto,0.5687,0.0812,1
1741000,render_nome,2,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741000,render_nome,3,render,292698,echezeaux grand cru,domaine de la truffiere,,tinto,0.4875,0.0812,1
1741000,render_produtor,1,render,20181,echezeaux grand cru,domaine de la romaneeconti,,tinto,0.5687,0.0812,1
1741000,render_produtor,2,render,20177,la tache grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741000,render_produtor,3,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741001,render_nome_produtor,1,render,20177,la tache grand cru,domaine de la romaneeconti,,tinto,0.5687,0.0812,1
1741001,render_nome_produtor,2,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741001,render_nome_produtor,3,render,20179,richebourg grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741001,render_nome,1,render,20177,la tache grand cru,domaine de la romaneeconti,,tinto,0.5687,0.0812,1
1741001,render_nome,2,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741001,render_nome,3,render,24415,clos de la roche grand cru,domaine dujac,,tinto,0.4062,0.0812,1
1741001,render_produtor,1,render,20177,la tache grand cru,domaine de la romaneeconti,,tinto,0.5687,0.0812,1
1741001,render_produtor,2,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741001,render_produtor,3,render,20179,richebourg grand cru,domaine de la romaneeconti,,tinto,0.4875,0.0812,1
1741002,render_nome_produtor,1,render,20184,romaneesaintvivant grand cru mareymonge,domaine de la romaneeconti,,tinto,0.5778,0.1445,1
1741002,render_nome_produtor,2,render,20177,la tache grand cru,domaine de la romaneeconti,,tinto,0.4333,0.1445,1
1741002,render_nome_produtor,3,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4333,0.1445,1
1741002,render_nome,1,render,20184,romaneesaintvivant grand cru mareymonge,domaine de la romaneeconti,,tinto,0.5778,0.1445,1
1741002,render_nome,2,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4333,0.1445,1
1741002,render_nome,3,render,160925,domaine roux naef dezaley marsens de la tour grand cru,les tourelles,,branco,0.3611,0.1445,1
1741002,render_produtor,1,render,20184,romaneesaintvivant grand cru mareymonge,domaine de la romaneeconti,,tinto,0.5778,0.1445,1
1741002,render_produtor,2,render,20177,la tache grand cru,domaine de la romaneeconti,,tinto,0.4333,0.1445,1
1741002,render_produtor,3,render,20178,romaneeconti grand cru,domaine de la romaneeconti,,tinto,0.4333,0.1445,1
1741003,render_nome_produtor,1,render,37069,alpilles rouge,domaine de trevallon,,tinto,0.3714,0.0,1
1741003,render_nome_produtor,2,render,847570,bouchesdurhone red,domaine de trevallon,,tinto,0.3714,0.0,1
