render_wine_id,channel,candidate_rank,candidate_universe,candidate_id,candidate_nome,candidate_produtor,candidate_safra,candidate_tipo,raw_score,top1_top2_gap,batch_id
2202634,render_nome_produtor,1,render,713435,classic crisp rose,jacobs creek,,rose,0.8,0.13,4
2202634,render_nome_produtor,2,render,351456,classic shiraz rose,jacobs creek,,rose,0.67,0.13,4
2202634,render_nome_produtor,3,render,714660,crisp rose,jacobs creek,,rose,0.67,0.13,4
2202634,render_nome,1,render,713435,classic crisp rose,jacobs creek,,rose,0.8,0.13,4
2202634,render_nome,2,render,351456,classic shiraz rose,jacobs creek,,rose,0.67,0.13,4
2202634,render_nome,3,render,714660,crisp rose,jacobs creek,,rose,0.67,0.13,4
2202634,render_produtor,1,render,351456,classic shiraz rose,jacobs creek,,rose,0.67,0.13,4
2202634,render_produtor,2,render,1365,three vines shiraz grenache sangiovese rose,jacobs creek,,rose,0.54,0.13,4
2202634,render_produtor,3,render,159466,moscato rose,jacobs creek,,rose,0.54,0.13,4
2202634,import_nome,1,import,2500515,Classic Collection Veltlínské Zelené,Cisarske Sklepy Horak,,Branco,0.13,0.0,4
2202634,import_nome,2,import,4827913,Classic Reserve Shiraz,Angove,,Tinto,0.13,0.0,4
2202634,import_nome,3,import,6039432,Classic Merlot,Lascar,,Tinto,0.13,0.0,4
2340900,render_nome_produtor,1,render,68254,italian red,marks spencer,,tinto,0.2167,0.0,4
2340900,render_nome_produtor,2,render,105412,moscato,secco italian bubbles,,espumante,0.2167,0.0,4
2340900,render_nome_produtor,3,render,106044,prosecco,jamies italian,,espumante,0.2167,0.0,4
2340900,render_nome,1,render,68254,italian red,marks spencer,,tinto,0.2167,0.0,4
2340900,render_nome,2,render,131608,italian red semi dry,tontitown,,tinto,0.2167,0.0,4
2340900,render_nome,3,render,209127,riesling italian sec,pietroasa,,branco,0.2167,0.0,4
2340900,render_produtor,1,render,66858,pinot noir,sugar loaf,,tinto,0.0,0.0,4
2340900,render_produtor,2,render,91007,moscato,sugar plum,,branco,0.0,0.0,4
2340900,render_produtor,3,render,91686,cabernet sauvignon,sugar plum,,tinto,0.0,0.0,4
2526595,render_nome_produtor,1,render,1400859,forbidden dry sparkling,noisy water,,espumante,0.4333,0.0,4
2526595,render_nome_produtor,2,render,1659331,bubbly sparkling rose,hampton water,,Espumante,0.4333,0.0,4
2526595,render_nome_produtor,3,render,5448,sparkling shiraz,wattle creek,,espumante,0.2167,0.0,4
2526595,render_nome,1,render,1145332,giggle water sparkling blush,blind tiger vineyards,,espumante,0.4333,0.2166,4
2526595,render_nome,2,render,25792,sparkling,bird in hand,,espumante,0.2167,0.2166,4
2526595,render_nome,3,render,29881,sparkling,rolling,,espumante,0.2167,0.2166,4
2526595,render_produtor,1,render,25033,cabernet sauvignon,kelham,,tinto,0.0,0.0,4
2526595,render_produtor,2,render,25034,reserve cabernet sauvignon,kelham,,tinto,0.0,0.0,4
2526595,render_produtor,3,render,25035,sauvignon blanc,kelham,,branco,0.0,0.0,4
2526595,import_nome,1,import,2500714,Sparkling Rosé,Pink Elephant,,Espumante,0.2167,0.0,4
2526595,import_nome,2,import,2808623,Winkipop Sparkling Shiraz,Bellbrae Estate,,Espumante,0.2167,0.0,4
2526595,import_nome,3,import,6244431,Sparkling Merlot,Chateau Yaldara - 1847,,Espumante,0.2167,0.0,4
2462671,render_nome_produtor,1,render,50224,flute extra dry,riondo,,espumante,0.0813,0.0,4
2462671,render_nome_produtor,2,render,53629,weisser burgunder extra brut,spaterveit,,espumante,0.0813,0.0,4
2462671,render_nome_produtor,3,render,108268,reserve cuvee extra brut,gloria ferrer,,espumante,0.0813,0.0,4
2462671,render_nome,1,render,1225635,appetite collection beef steak,villa krim,,tinto,0.1625,0.0812,4
2462671,render_nome,2,render,33910,trumpeter extra brut,rutini,,espumante,0.0813,0.0812,4
2462671,render_nome,3,render,35720,traiser weissburgunder extra brut,dr crusius,,espumante,0.0813,0.0812,4
2462671,render_produtor,1,render,446691,merlot cabernet sauvignon,boeuf beef,,tinto,0.1813,0.0,4
2462671,render_produtor,2,render,457737,california zinfandel,pizza steak,,tinto,0.1813,0.0,4
2462671,render_produtor,3,render,630410,penedes gaudiana,el torito steak,,,0.1813,0.0,4
2462671,import_produtor,1,import,9241290,Beef & Liberty Malbec,The Beefsteak Club,,Tinto,0.0813,0.0813,4
2158482,render_nome_produtor,1,render,242656,kimi vino generoso,el vesubio,,tinto,0.2167,0.0,4
2158482,render_nome_produtor,2,render,267545,milonas,el vesubio,,tinto,0.2167,0.0,4
2158482,render_nome_produtor,3,render,713494,brut grapa,artium,,espumante,0.2167,0.0,4
2158482,render_nome,1,render,713494,brut grapa,artium,,espumante,0.2167,0.0,4
2158482,render_nome,2,render,846644,grapa,rutini,,Sobremesa,0.2167,0.0,4
2158482,render_nome,3,render,914199,grappa miel,narbona,,Sobremesa,0.2167,0.0,4
2158482,render_produtor,1,render,258551,dvcatena la libertad rivadavia mendoza,grapa,,tinto,0.3667,0.3667,4
2158482,render_produtor,2,render,12242,ue cabernet franc cru,grappa nonino,,Sobremesa,0.0,0.3667,4
2158482,render_produtor,3,render,16399,etna rosso,graci,,tinto,0.0,0.3667,4
2416828,render_nome_produtor,1,render,1403160,bouquet of vines cuvee brut,vin de luxe,,espumante,0.165,0.1,4
2416828,render_nome_produtor,2,render,33608,noble selection,alpha domus,,branco,0.065,0.1,4
2416828,render_nome_produtor,3,render,86348,croix bouquie touraine sauvignon,alpha loire,,branco,0.065,0.1,4
2416828,render_nome,1,render,161358,the velvet collection,marilyn,,tinto,0.065,0.0,4
2416828,render_nome,2,render,325809,velvet limited edition,dominio lubiano,,tinto,0.065,0.0,4
2416828,render_nome,3,render,615679,velvet rhapsody,vintners cellar,,tinto,0.065,0.0,4
2416828,render_produtor,1,render,1320375,shiraz,aus luxe,,tinto,0.265,0.1,4
2416828,render_produtor,2,render,869701,chardonnay,aus luxe,,branco,0.165,0.1,4
2416828,render_produtor,3,render,913150,chardonnay,luxe,,branco,0.09,0.1,4
