source_wine_id,canonical_wine_id,lane,confidence,review_state,recommended_action,score,gap,source_stratum,source_nome,source_produtor,source_safra,source_tipo,canonical_nome,canonical_produtor,canonical_safra,canonical_tipo,channels,evidence_reason,source_wine_sources_count,source_stores_count,y2_status_set,y2_match_score_max,y2_any_not_wine_or_spirit,qa_required,qa_sample_rate,qa_verdict,qa_notes,reviewer
2346787,1178265,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8500,0.2625,S2_NO_SOURCE,Sea Sun | Pinot Noir,Sea Sun |,,,pinot noir,sea sun,,tinto,stripped_name,stripped_name,0,0,new,,0,1,0.05,,,
2351394,1238080,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5025,0.5025,S2_NO_SOURCE,Risata Raven Semi-Sweet Red,Risata Raven Semi-Sweet,,tinto,raven semisweet red,risata,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
2366637,117854,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5417,0.5417,S2_NO_SOURCE,Nebbiolo Langhe DOC - Frales - Silvano Bolmida,,,tinto,frales langhe nebbiolo,silvano bolmida,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
2366671,89850,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5200,0.5200,S2_NO_SOURCE,Nebbiolo Langhe DOC - Canebbio - Cagliero,,,tinto,canebbio langhe nebbiolo,cagliero,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
2326116,2693,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6714,0.6714,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,"Tenuta San Guido, Guidalberto, Tuscany, Italy, 2022","Tenuta San Guido, Guidalberto,",2022,tinto,guidalberto,tenuta san guido,2022,tinto,token_index,strong_name_and_producer_overlap,1,1,duplicate|new,,0,1,0.05,,,
2353473,1276531,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.8833,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Ribeiro Santo Bastardo,Ribeiro Santo Bastardo,,tinto,bastardo,ribeiro santo,,tinto,token_index|y2_1.300,y2_plus_text_evidence,1,1,matched|new,1.3,0,1,0.05,,,
2354793,464998,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8000,0.8000,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,"Ramon do Casar, Treixadura",Ramon,,branco,treixadura,ramon do casar,,branco,token_index,strong_name_and_producer_overlap,2,2,duplicate|new,,0,1,0.05,,,
2362092,1610829,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5067,0.5067,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Nozeco Alcohol Free Sparkling Wine,Nozeco Alcohol Free,,branco,alcohol free chardonnay,nozeco,,Branco,token_index,strong_name_token_overlap>=2,1,1,new,,0,1,0.05,,,
2326209,2689,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7700,0.7700,S5_SOURCE_RICH_STRUCTURED,"Tenuta San Guido, Difese, 2023","Tenuta San Guido, Difese,",2023,tinto,le difese,tenuta san guido,2018,tinto,token_index,strong_name_and_producer_overlap,3,3,new,,0,1,0.05,,,
2352853,1374716,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6500,0.6500,S5_SOURCE_RICH_STRUCTURED,Riesling de Gitana,,,branco,riesling de gitana,gitana,,branco,exact_name|stripped_name,exact_name,4,2,new,,0,1,0.05,,,
2373206,431919,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9500,0.1300,S5_SOURCE_RICH_STRUCTURED,Mount Langi Ghiran Hollows Shiraz,Mount Langi Ghiran,,tinto,shiraz the hollows vineyard,mount langi ghiran,,tinto,token_index,strong_name_token_overlap>=2,3,3,new,,0,1,0.05,,,
2317972,401749,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7183,0.7183,S6_GENERAL_REMAINDER,William Fevre Chablis Grand Cru Bougros Cote Bouguerots Domaine 2018,William Fevre Chablis,2018,,chablis grand cru bougros cote bouguerots,domaine william fevre,,branco,token_index,strong_name_token_overlap>=2,1,1,new,,0,1,0.05,,,
2318318,1394217,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5067,0.5067,S6_GENERAL_REMAINDER,Wildeberg Coterie Cinsault Rose 2025,Wildeberg Coterie Cinsault,2025,rose,coterie cinsault,wildeberg,,rose,token_index,strong_name_token_overlap>=2,1,1,new,,0,1,0.05,,,
2318324,1394217,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6042,0.6042,S6_GENERAL_REMAINDER,Wildeberg Coterie Cinsault Rosé,Wildeberg Coterie Cinsault,,rose,coterie cinsault,wildeberg,,rose,token_index,strong_name_token_overlap>=2,2,2,new,,0,1,0.05,,,
