pair_id,source_wine_id,canonical_wine_id,verdict,source_vivino_ids,canonical_vivino_ids,shared_vivino_ids,source_top_producer,canonical_top_producer,reason
,1757746,61703,CONFIRMA,1169877,1169877,1169877,Rocca di Montegrossi,Rocca di Montegrossi,Mesmo wine id Vivino 1169877 nas duas buscas
,1757941,189959,CONFIRMA,1585483|9306455|88154,1585483,1585483,Château Plaisance,Château Plaisance,Mesmo wine id Vivino 1585483 nas duas buscas
,1758373,299143,CONFIRMA,1938871|2443358,1938871|2443358,1938871|2443358,Domaine du Penlois,Domaine du Penlois,Mesmo wine id Vivino 1938871 nas duas buscas
,1758521,1093475,CONFIRMA,7421220,7421220,7421220,Domaine Les Gryphées,Domaine Les Gryphées,Mesmo wine id Vivino 7421220 nas duas buscas
,1758547,212395,INCONCLUSIVO,5016326,1661712|1128239|1419236|8859730|1646023,,Domaine Rostaing,Domaine Rostaing,"Mesmo produtor, mas buscas trazem ids Vivino diferentes"
,1758944,1070114,CONFIRMA,7303030|2032226,7303030,7303030,Jérémie Huchet,Jérémie Huchet,Mesmo wine id Vivino 7303030 nas duas buscas
,1759126,9132,CONFIRMA,16668,16668,16668,Lucien Crochet,Lucien Crochet,Mesmo wine id Vivino 16668 nas duas buscas
,1759179,212404,CONFIRMA,1661738,1661738,1661738,Domaine Gaston & Pierre Ravaut,Domaine Gaston & Pierre Ravaut,Mesmo wine id Vivino 1661738 nas duas buscas
,1759228,133775,CONFIRMA,1383918|1159434|2021114|1164587|2196596,1383918,1383918,Château Redortier,Château Redortier,Mesmo wine id Vivino 1383918 nas duas buscas
,1759392,319363,CONFIRMA,2005793,2005793,2005793,Leth,Leth,Mesmo wine id Vivino 2005793 nas duas buscas
,1759608,202555,CONFIRMA,1629639|5233305,1629639,1629639,Bret Brothers,Bret Brothers,Mesmo wine id Vivino 1629639 nas duas buscas
,1759976,519594,CONFIRMA,2756688,2756688,2756688,Luis A. Rodriguez Vazquez,Luis A. Rodriguez Vazquez,Mesmo wine id Vivino 2756688 nas duas buscas
,1760119,95963,CONFIRMA,1234129,1234129,1234129,Domaine Duseigneur,Domaine Duseigneur,Mesmo wine id Vivino 1234129 nas duas buscas
,1791500,1324167,INCONCLUSIVO,,9350462,,Dr. Loosen,Weingut Prälat,Busca source ficou ambigua e sem link Vivino claro; canonical aponta Weingut Prälat
,1792512,577836,CONFIRMA,4771692|3085548|7383505|5744370|2110640,3085548|4771692|7383505|1268067|4835828|15194|4990958|2110640|5744370,4771692|3085548|7383505|5744370|2110640,Fabio Gea,Fabio Gea,Mesmo conjunto de ids Vivino Fabio Gea nas duas buscas
,1793290,435887,CONFIRMA,2430540,2430540,2430540,Evesham Wood,Evesham Wood,Mesmo wine id Vivino 2430540 nas duas buscas
,1797453,841188,CONFIRMA,5962258,5962258,5962258,Josh Cellars,Josh Cellars,Mesmo wine id Vivino 5962258 nas duas buscas
,1797495,615337,CONFIRMA,3761150|5610987,3761150,3761150,Mandrágora Viños,Mandrágora Viños,Mesmo wine id Vivino 3761150 nas duas buscas
,1798989,445226,CONFIRMA,2464406|2951183|1219153|1188261,2464406,2464406,Santa Florentina,Santa Florentina,Mesmo wine id Vivino 2464406 nas duas buscas
,1799176,522492,CONFIRMA,2774151|1137862|1135969,2774151|1137872,2774151,Paolo Bea,Paolo Bea,Mesmo wine id Vivino 2774151 nas duas buscas
,1799178,7065,CONFIRMA,12866,12866,12866,Domaine William Fèvre,Domaine William Fèvre,Mesmo wine id Vivino 12866 nas duas buscas
,1800544,1081189,CONFIRMA,7360191|1289984|1213004|1178678|1203420|3155590,7360191|1178678,7360191|1178678,Pierre Girardin,Pierre Girardin,Mesmo wine id Vivino 7360191 nas duas buscas
,1801348,459739,CONTRADIZ,1768871,2521726,,Daniel Pollier,Marie-Odile Feerrot et Daniel Dyon,Daniel Pollier nao e Marie-Odile Feerrot et Daniel Dyon no Vivino
,1803269,555619,CONFIRMA,3062195,3062195,3062195,Francois et Antoine Jobard,Francois et Antoine Jobard,Mesmo wine id Vivino 3062195 nas duas buscas
,1803328,283890,CONFIRMA,1889918|10831664|5245035,1889918,1889918,Jose Antonio García,Jose Antonio García,Mesmo wine id Vivino 1889918 nas duas buscas
,1803590,746066,CONFIRMA,5113661,5113661,5113661,Bad Brothers,Bad Brothers,Mesmo wine id Vivino 5113661 nas duas buscas
,1803900,201716,CONFIRMA,1626074|6539209,1626074,1626074,Elio Altare,Elio Altare,Mesmo wine id Vivino 1626074 nas duas buscas
,1805508,16896,CONFIRMA,76639,76639,76639,Domaine Fournier Père et Fils,Domaine Fournier Père et Fils,Mesmo wine id Vivino 76639 nas duas buscas
,1806630,1331996,CONFIRMA,9423453,1201280|2497021|1214643|9423453,9423453,Cartoixa de Montsalvat,Cartoixa de Montsalvat,Mesmo wine id Vivino 9423453 nas duas buscas
,1806788,1678932,CONFIRMA,13269370,13269370|10556995,13269370,André Bonhomme,André Bonhomme,Mesmo wine id Vivino 13269370 nas duas buscas
,1810408,1120463,CONFIRMA,7567101,7567101,7567101,Domaine des Malandes,Domaine des Malandes,Mesmo wine id Vivino 7567101 nas duas buscas
,1810953,46673,CONFIRMA,1144477|1144633|1291523,1144477,1144477,Casa Silva,Casa Silva,Mesmo wine id Vivino 1144477 nas duas buscas
,1811435,81183,CONFIRMA,1205162,1205162,1205162,Copper Moon,Copper Moon,Mesmo wine id Vivino 1205162 nas duas buscas
