source_wine_id,canonical_wine_id,lane,confidence,review_state,recommended_action,score,gap,source_stratum,source_nome,source_produtor,source_safra,source_tipo,canonical_nome,canonical_produtor,canonical_safra,canonical_tipo,channels,evidence_reason,source_wine_sources_count,source_stores_count,y2_status_set,y2_match_score_max,y2_any_not_wine_or_spirit,qa_required,qa_sample_rate,qa_verdict,qa_notes,reviewer
1757746,61703,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7350,0.7350,S2_NO_SOURCE,"2020 Rocca di Montegrossi, Chianti Classico Gran Selezione “San Marcellino”",Rocca,,tinto,vigneto san marcellino chianti classico gran selezione,rocca di montegrossi,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1757941,189959,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.1300,S2_NO_SOURCE,"Chateau Plaisance Penavayre, Fronton Rouge","Chateau Plaisance Penavayre, Fronton",,tinto,fronton rouge,chateau plaisance,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1758373,299143,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9500,0.1300,S2_NO_SOURCE,"Domaine du Penlois, Chardonnay du Chatelard","Domaine du Penlois,",,branco,chardonnay du chatelard beaujolais,domaine du penlois,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1758521,1093475,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6833,0.6833,S2_NO_SOURCE,"Domaine Les Gryphées (Pierre Durdilly), Morgon",Domaine Les Gryphées (Pierre,,tinto,morgon,domaine les gryphees,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1758547,212395,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5611,0.5611,S2_NO_SOURCE,"2022 Domaine René Rostaing, Puech Noble Rouge ""Le Vassal""","Domaine René Rostaing, Puech",,tinto,vassal de puech noble coteaux du languedoc,domaine rostaing,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1758944,1070114,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.1083,S2_NO_SOURCE,"Jérémie Huchet, “La Bretesche” Brut Nature","Jérémie Huchet, “La",,espumante,la bretesche brut nature,jeremie huchet,,espumante,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1759126,9132,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7061,0.7061,S2_NO_SOURCE,"Domaine Lucien Crochet, Pinot Noir, Sancerre Rouge, La Croix du Roy","Domaine Lucien Crochet,",,tinto,la croix du roy sancerre rouge,lucien crochet,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1759179,212404,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8850,0.1300,S2_NO_SOURCE,"Domaine Gaston & Pierre Ravaut, Corton Grand Cru “Les Hautes Mourottes”",Domaine Gaston & Pierre,,tinto,corton grand cru hautes mourottes,domaine gaston pierre ravaut,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1759228,133775,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.7200,S2_NO_SOURCE,"Château Redortier, Red Blend, “Monsieur Le Comte,” Beaumes-de-Venise","Château Redortier, Red Blend,",,tinto,monsieur le comte beaumes de venise,chateau redortier,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1759392,319363,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6325,0.6325,S2_NO_SOURCE,"Weingut Leth, Steinagrund, Grüner Veltliner","Weingut Leth, Steinagrund, Grüner",,branco,gruner veltliner ried steinagrund,leth,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1759608,202555,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6976,0.6976,S2_NO_SOURCE,"Bret Brothers, Vire Clesse, Climat - La Verchere","Bret Brothers, Vire",,branco,climat la verchere vireclesse,bret brothers,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1759976,519594,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6667,0.6667,S2_NO_SOURCE,"Luis Anxo Rodríguez Vásquez, Ribeiro “A Teixa”",Luis Anxo Rodríguez,,branco,a teixa ribeiro,luis a rodriguez vazquez,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1760119,95963,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.7200,S2_NO_SOURCE,"Domaine Duseigneur, “Minha Terra” Syrah","Domaine Duseigneur, “Minha Terra”",,tinto,minha terra,domaine duseigneur,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1791500,1324167,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6000,0.6000,S2_NO_SOURCE,Erdener Prälat Versteigerungswein,Erdener Prälat Versteigerungswein,,branco,erdener treppchen riesling auslese trokcen,weingut pralat,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,,
1792512,577836,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7333,0.7333,S2_NO_SOURCE,Fabio Gea Langhe Rosso Notu l'Albera,Fabio Gea,,tinto,la msoira el rastel notu langhe nebbiolo,fabio gea,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
1793290,435887,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.8833,S2_NO_SOURCE,"Evesham Wood, “Illahe Vineyard” Pinot Noir","Evesham Wood, “Illahe",,tinto,illahe vineyard pinot noir,evesham wood,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,,
