source_wine_id,canonical_wine_id,alias_source_type,status,current_vivino_id,current_suppressed_at,current_suppress_reason
1740623,111670,d17_20260419_221902,eligible,,,
1740676,1592511,d17_20260419_221902,eligible,,,
1740877,78455,d17_20260419_221902,eligible,,,
1740966,109895,d17_20260419_221902,eligible,,,
1740996,256212,d17_20260419_221902,eligible,,,
1740997,30471,d17_20260419_221902,eligible,,,
1740998,8930,d17_20260419_221902,eligible,,,
1741004,89861,d17_20260419_221902,eligible,,,
1741011,197098,d17_20260419_221902,eligible,,,
1741012,747064,d17_20260419_221902,eligible,,,
1741016,38324,d17_20260419_221902,eligible,,,
1741020,69102,d17_20260419_221902,eligible,,,
1741046,119575,d17_20260419_221902,eligible,,,
1741048,61048,d17_20260419_221902,eligible,,,
1741055,985701,d17_20260419_221902,eligible,,,
1741060,256212,d17_20260419_221902,eligible,,,
1741074,23107,d17_20260419_221902,eligible,,,
1741078,300333,d17_20260419_221902,eligible,,,
1741080,174080,d17_20260419_221902,eligible,,,
1741082,843963,d17_20260419_221902,eligible,,,
1741083,148903,d17_20260419_221902,eligible,,,
1741084,24415,d17_20260419_221902,eligible,,,
1741086,37360,d17_20260419_221902,eligible,,,
1741087,68525,d17_20260419_221902,eligible,,,
1741089,77521,d17_20260419_221902,eligible,,,
1741099,358016,d17_20260419_221902,eligible,,,
1741102,70592,d17_20260419_221902,eligible,,,
1741107,771335,d17_20260419_221902,eligible,,,
1741127,627240,d17_20260419_221902,eligible,,,
1741156,895372,d17_20260419_221902,eligible,,,
1741158,3780,d17_20260419_221902,eligible,,,
1741161,283966,d17_20260419_221902,eligible,,,
1741168,327622,d17_20260419_221902,eligible,,,
1741170,207495,d17_20260419_221902,eligible,,,
1741172,341079,d17_20260419_221902,eligible,,,
1741175,29419,d17_20260419_221902,eligible,,,
1741179,2076,manual,eligible,,,
1741185,584359,d17_20260419_221902,eligible,,,
1741186,15306,d17_20260419_221902,eligible,,,
1741189,14819,d17_20260419_221902,eligible,,,
1741190,82064,d17_20260419_221902,eligible,,,
1741191,299441,d17_20260419_221902,eligible,,,
1741205,110902,d17_20260419_221902,eligible,,,
1741218,215889,d17_20260419_221902,eligible,,,
1741230,1628718,d17_20260419_221902,eligible,,,
1741231,34915,d17_20260419_221902,eligible,,,
1741232,25636,d17_20260419_221902,eligible,,,
1741237,29419,d17_20260419_221902,eligible,,,
1741249,8924,d17_20260419_221902,eligible,,,
1741250,199735,d17_20260419_221902,eligible,,,
1741251,48234,d17_20260419_221902,eligible,,,
1741256,105796,d17_20260419_221902,eligible,,,
1741260,512231,d17_20260419_221902,eligible,,,
1741270,5256,d17_20260419_221902,eligible,,,
1741272,221187,d17_20260419_221902,eligible,,,
1741273,2825,d17_20260419_221902,eligible,,,
1741274,9109,d17_20260419_221902,eligible,,,
1741278,400532,d17_20260419_221902,eligible,,,
1741280,23107,d17_20260419_221902,eligible,,,
1741284,23266,d17_20260419_221902,eligible,,,
1741286,1096572,d17_20260419_221902,eligible,,,
1741287,627240,d17_20260419_221902,eligible,,,
1741293,1935,d17_20260419_221902,eligible,,,
1741306,76059,d17_20260419_221902,eligible,,,
1741307,86598,d17_20260419_221902,eligible,,,
1741308,169463,d17_20260419_221902,eligible,,,
1741315,18717,d17_20260419_221902,eligible,,,
1741330,86598,d17_20260419_221902,eligible,,,
1741331,77521,d17_20260419_221902,eligible,,,
1741339,36968,d17_20260419_221902,eligible,,,
1741341,316605,d17_20260419_221902,eligible,,,
1741343,110055,d17_20260419_221902,eligible,,,
1741346,70976,d17_20260419_221902,eligible,,,
1741351,29296,d17_20260419_221902,eligible,,,
1741352,16499,d17_20260419_221902,eligible,,,
1741362,21545,d17_20260419_221902,eligible,,,
1741363,21547,d17_20260419_221902,eligible,,,
1741369,215889,d17_20260419_221902,eligible,,,
1741373,153886,d17_20260419_221902,eligible,,,
1741374,19297,d17_20260419_221902,eligible,,,
1741375,19294,d17_20260419_221902,eligible,,,
1741376,46708,d17_20260419_221902,eligible,,,
1741377,283663,d17_20260419_221902,eligible,,,
1741378,67122,d17_20260419_221902,eligible,,,
1741379,48234,d17_20260419_221902,eligible,,,
1741388,9076,d17_20260419_221902,eligible,,,
1741390,800051,d17_20260419_221902,eligible,,,
1741391,800051,d17_20260419_221902,eligible,,,
1741396,400029,d17_20260419_221902,eligible,,,
1741400,25458,d17_20260419_221902,eligible,,,
