y2_id,clean_id,canonical_wine_id,match_score,prod_banco,vivino_produtor,vinho_banco,vivino_nome
403599,313168,9058,1.3,domaine bertagna,domaine bertagna,corton grand cru les grandes lolieres,corton les grandes lolieres grand cru
403505,313357,70976,1.3,domaine comte georges de vogue,domaine comte georges de vogue,musigny grand cru cuvee vieilles vignes,musigny grand cru cuvee vieilles vignes
403415,313292,118770,1.3,domaine deugenie,domaine deugenie,clos de vougeot grand cru,clos de vougeot grand cru
403440,313325,1113040,1.3,pierrick bouley,pierrick bouley,volnay,volnay
403183,312435,32080,1.3,chateau montviel,chateau montviel,pomerol,pomerol
403410,313285,481986,1.3,jeanmarc millot,jeanmarc millot,clos de vougeot grand cru,clos de vougeot grand cru
403010,312840,19123,1.3,chateau larrivet hautbrion,chateau larrivet hautbrion,pessacleognan,pessacleognan
403060,312919,275517,1.3,lucien le moine,lucien le moine,clos de la roche grand cru,clos de la roche grand cru
403429,313307,28128,1.3,domaine leroy,domaine leroy,clos de vougeot grand cru,clos de vougeot grand cru
403048,310024,1541371,1.3,domaine edouard confuron,domaine edouard confuron,bourgogne pinot noir,bourgogne pinot noir
403062,312921,31123,1.3,dujac fils et pere,dujac fils et pere,chambollemusigny,chambollemusigny
403178,312430,31926,1.3,jean foillard,jean foillard,morgon cote du py,morgon cote du py
403195,312448,30338,1.3,emmanuel rouget,emmanuel rouget,nuitssaintgeorges,nuitssaintgeorges
403344,312700,1655906,1.3,maison fang,maison fang,savignylesbeaune cuvee zephyr,cuvee zephyr savignylesbeaune
401940,310799,42806,1.3,chateau des laurets,chateau des laurets,puisseguinsaintemilion,puisseguinsaintemilion
402999,312826,115532,1.3,chateau angludet,chateau angludet,margaux,margaux
401939,310798,49394,1.3,chateau clarke,chateau clarke,listracmedoc,listracmedoc
403008,312837,11900,1.3,domaine joseph voillot,domaine joseph voillot,pommard,pommard
403426,313304,71097,1.3,domaine arnouxlachaux,domaine arnouxlachaux,chambollemusigny,chambollemusigny
403050,310026,720951,1.3,jules desjourneys,jules desjourneys,chenas jugement dernier,le jugement dernier chenas
