campaign,phase,source,shard_id,country,source_table,min_fonte_id,max_fonte_id,expected_rows,status,artifact_path,artifact_sha256,apply_run_id
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ae__0000,ae,vinhos_ae_fontes,1,42369,22091,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ar__0000,ar,vinhos_ar_fontes,1,110964,43811,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ar__0001,ar,vinhos_ar_fontes,110965,221928,43811,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ar__0002,ar,vinhos_ar_fontes,221929,332892,43811,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ar__0003,ar,vinhos_ar_fontes,332893,443853,43808,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__at__0000,at,vinhos_at_fontes,1,70373,48061,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__at__0001,at,vinhos_at_fontes,70374,140746,48060,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__au__0000,au,vinhos_au_fontes,1,51945,48811,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__au__0001,au,vinhos_au_fontes,51946,103890,48811,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__au__0002,au,vinhos_au_fontes,103891,155835,48811,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__au__0003,au,vinhos_au_fontes,155836,207780,48811,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__au__0004,au,vinhos_au_fontes,207781,259723,48809,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__be__0000,be,vinhos_be_fontes,1,50299,47974,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__be__0001,be,vinhos_be_fontes,50300,100597,47973,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__bg__0000,bg,vinhos_bg_fontes,1,80231,47233,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__br__0000,br,vinhos_br_fontes,1,130075,47671,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__br__0001,br,vinhos_br_fontes,130076,260150,47671,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__br__0002,br,vinhos_br_fontes,260151,390225,47671,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__br__0003,br,vinhos_br_fontes,390226,520300,47671,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__br__0004,br,vinhos_br_fontes,520301,650375,47671,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__br__0005,br,vinhos_br_fontes,650376,780448,47666,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ca__0000,ca,vinhos_ca_fontes,3,79568,47261,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ca__0001,ca,vinhos_ca_fontes,79569,159134,47261,PLANNED,,,
subida_vinhos_20260424,phase1_local_to_render,tier1_global,tier1_global__ca__0002,ca,vinhos_ca_fontes,159135,238698,47261,PLANNED,,,
