1. W|longyu long|12 cabernet sauvignon dry red|China|Tinto
2. W|lookout cape|leopard mountain red|Africa do Sul|Tinto
3. W|lookout cape|leopard mountain rose|Africa do Sul|Rosado
4. W|lookout cape|leopard mountain semi sweet|Africa do Sul|??
5. W|lookout cape|leopard mountain white|Africa do Sul|Branco
6. W|loop road|pinot noir|Nova Zelandia|Tinto
7. W|loose rein|pinot gris yotes court kent|Inglaterra|Branco
8. W|lorenza|true rose lodi california|EUA|Rosado
9. W|lorenzi estate|reserve napa valley cabernet sauvignon|EUA|Tinto
10. W|lorenzo accomasso|barbera dalba pochi filagn|Italia|Tinto
11. W|lorenzo accomasso|nebbiolo langhe|Italia|Tinto
12. W|lorenzo manfredi|governo alluso toscano igt|Italia|Tinto
13. W|lornano|chianti classico|Italia|Tinto
14. W|lornano|chianti colli senesi|Italia|Tinto
15. W|los cardos|dona paula private collection chardonnay|Argentina|Branco
16. W|luigi bosca|los nobles malbec|Argentina|Tinto
17. W|los vascos|chagual cabernet sauvignon|Chile|Tinto
18. W|los vascos|cromas syrah gran reserva|Chile|Tinto
19. W|los vascos|sauvignon blanc v91|Chile|Branco
20. W|lossterassen|gruner veltliner|Austria|Branco
21. W|lost city|malbec|Argentina|Tinto
22. W|lost poet|red wine blend|EUA|Tinto
23. W|lou dumont|koji et jae hwa bourgogne aligote|Franca|Branco
24. W|lou dumont|koji et jae hwa gevreychambertin la brunelle|Franca|Tinto
25. W|lou dumont|koji et jae hwa marsannay en leautier|Franca|Tinto
26. W|louie|cabernet|EUA|Tinto
27. W|louis boillot|beaune les epenotes|Franca|Tinto
28. W|louis boillot|moulinavent vieilles vignes|Franca|Tinto
29. W|louis chenu|bourgogne|Franca|??
30. W|louis jadot|batard montrachet grand cru|Franca|Branco
31. W|louis jadot|beaujolais rose|Franca|Rosado
32. W|louis jadot|bienvenuesbatardmontrachet grand cru|Franca|Branco
33. W|louis jadot|bourgogne couvent des jacobins chardonnay|Franca|Branco
