clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3474570,02 1,D,0,0,0,""
3034035,02 patriarche heritage brut 02,A,0.485,1,102722,patriarche pere fils — heritage brut
3481688,020 makis theofylaktopoulos greek 19392023 ar,C2,0,1,0,""
3059497,0375 fanagoria ice wine riesling 0375 in gb,A,0.507,1,54310,fanagoria — ice wine riesling
1441041,1 guest 300623 2pm,D,0,0,0,""
1625287,1 stk oddenmrke,D,0,0,0,""
2773772,10 sweet desire with birthday balloon,D,0,0,0,""
3867832,100 2019,D,0,0,0,""
223181,100 days cabernet sauvignon 2023,A,0.523,4,1153523,stranger days — cabernet sauvignon
2356755,100 hectares grande reserva sousao tinto 2021,A,0.823,7,826775,100 hectares — sousao
2195725,100 hectares pack estrelas 3x,A,0.612,4,708253,100 hectares — filigrana
1877744,100 zena crna ovca,A,0.674,2,1586627,vinarija 100 zena — crna ovca franc cabernet franc
883970,10th street distillers cut peated single malt,D,0,0,0,""
9155,116 2016,D,0,0,0,""
3877551,12 2008,D,0,0,0,""
2294958,12er vorteilsweinpaket mandus primitivo di manduria doc pietra pura,C2,0.285,2,0,""
3892588,150ssr4,D,0,0,0,""
8357,1516 weihenstephaner 1516 kellerbier,D,0,0,0,""
149082,16oz cocktail shaker,D,0,0,0,""
1990716,1707 chardonnay barrica,B,0.258,3,0,""
3922805,170g70g,D,0,0,0,""
2861161,18 inches cream hug me bear,D,0,0,0,""
396962,1800 coconut silver,D,0,0,0,""
2758533,18th cafe lcc perrier carbonated mineral water l46380 france,D,0,0,0,""
1180388,19 crimes pinot noir punishmen,A,0.739,4,1706929,19 crimes — tho delamy pinot noir
784340,19 crimes red blend 12 bottles,A,0.730,3,406577,19 crimes — red blend
703575,1937 ferdinand pieroth riesling feine auslese fruchtig,A,0.462,5,1184963,pieroth — cuvee ferdinand
2755236,1953 valpolicella bolla,C2,0.450,2,0,""
1364244,1957 salice gran riserva leone de castris 0,B,0.424,4,0,""
3885119,1958 2021,D,0,0,0,""
703469,1958 weinkellerei jakob undernach riesling qba trocken,B,0.435,5,0,""
2748675,1959 vino negri castel chiuro,A,0.383,1,342287,nino negri — castel chiuro valtellina
1328166,1961 chianti melini 0,C2,0.450,2,0,""
2729761,1961 gattinara borgomanero,A,0.358,1,239218,cantina sociale di gattinara — gattinara
952761,1965 viuva gomes colares tinto rotulo branco,A,0.623,4,1671812,viuva gomes — viticultores branco
1321865,1966 barolo riserva cantine piero lanzavecchia,A,0.429,2,444297,piero lanzavecchia — barolo riserva
1320851,1968 chianti riserva fattoria di tizzano,A,0.380,3,1174587,fattoria di lucignano — chianti riserva
1833099,1969 mayacamas california mountain cabernet sauvignon jg92,A,0.623,6,1592460,california winery — cabernet sauvignon
2747795,1973 barolo fratelli serio battista borgogno,A,0.533,2,61263,fratelli serio battista borgogno — barolo
906991,1973 madeira doliveiras boal,A,0.855,6,263003,doliveiras — boal madeira
1321929,1973 vernaccia vini classici di sardega,B,0.342,3,0,""
911017,1974 udaca tinto,A,0.847,4,1519787,udaca — tinto
2739578,1975 valpolicella masi,C2,0.445,1,0,""
1800189,1976 chateau rieussec sauternes,A,0.735,5,72160,chateau rieussec — carmes de rieussec sauternes
2750590,1978 barbaresco michele varaldo,A,0.333,2,21474,michele chiarlo — barbaresco reyna
2045053,1978 paul jaboulet hermitage la chapelle,A,0.751,5,6016,paul jaboulet aine — hermitage la petite chapelle
3931916,1980s glenfarclas 10 yo,D,0,0,0,""
3933089,1980s martell 3 star vs,B,0.406,3,0,""
2870736,1982 joseph phelps insignia napa valley,A,0.585,5,9076,joseph phelps vineyards — insignia
2882197,1983 domaine de la romanee conti la tache grand cru monopole,B,0.282,6,0,""
2741758,1985 barolo marchesi di barolo,A,0.500,2,1181842,marchesi di barolo — valletta barolo
720813,1985 furst lowenstein hallgarten schonhell rheingau rieslingkabinett,A,0.641,4,674048,furst lowenstein — l hallgarten schonhell
2731308,1985 merlot flli gaspardo,C2,0.167,2,0,""
2743508,1985 vino nobile di montepulciano innocenti,C2,0.409,2,0,""
2933134,1986 domaine de la romanee conti echezeaux burgundy,B,0.140,5,0,""
1320904,1986 saintemilion prince gonzalve du puy,A,0.421,3,415364,domaine du prince — lou prince
953024,1988 capitulo branco,A,0.747,4,931301,capitulo 7 — pedro ximenez
1809573,1990 vouvray reserve personelle chateau gaudrelle,A,0.513,6,262978,cave des producteurs de vouvray — reserve des producteurs vouvray
3874496,1992 4,D,0,0,0,""
2746759,1992 chateauneuf du pape la nerthe,A,0.583,3,348100,negociant eleveur chateauneuf du pape — chateuneuf du pape
2757476,1992 muscat de rivesaltes domaine mas amiel,B,0.403,6,0,""
2756472,1993 brunello di montalcino fattoria campogiovanni,B,0.396,3,0,""
719742,1993 ladoucette pouillyfume sauvignon blanc,A,0.670,3,15814,de ladoucette — pouillyfume
791063,1993 mayacamas cabernet sauvignon napa valley,A,0.610,6,6871,mayacamas — cabernet sauvignon
699590,1994 hans wirsching riesling spatlese fruchtig,A,0.654,6,216091,hans wirsching — iphofer juliusechterberg riesling spatlese trocken
2743284,1995 sauternes premier cru chateau suduiraut,A,0.475,5,310160,duc de sauternes — sauternes
1683650,1996 louis roederer vintage brut,A,0.820,6,823974,louis roederer — brut champagne vintage
1703642,1997 drc domaine de la romanee conti romaneeconti grand cru rp95pts,B,0.354,5,0,""
948699,1997 luis pato vinhas velhas tinto,B,0.597,4,0,""
269973,1997 numero 1 blanc maison dourthe,A,0.612,4,931757,numero 20 — blanc
971095,1997 tba no 6 chardonnay,B,0.165,3,0,""
911297,1998 herdade do esporao aragones tinto,A,0.572,3,16603,herdade do peso — aragones alentejo tinto
311792,1998 montus madiran future arrival,A,0.512,3,21650,chateau montus — madiran
2986752,1999 henri giraud fut de chene 1999,C2,0.479,1,0,""
3698332,2 2,D,0,0,0,""
2392525,2 layer lucky bamboo,D,0,0,0,""
136706,2001 chateau coutet barsac,A,0.735,5,28499,chateau coutet — cuvee madame barsac
