clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3726267,clos,B,0,3,0,""
871810,clos 15 blanc de blancs,A,0.565,5,1139848,sichel — blanc de blancs
871228,clos 15 cava brut nature,A,0.652,5,1166798,clos amador — cava reserva brut nature
871227,clos 15 cava semi sweet,A,0.403,5,1113463,vivante — red semi sweet
871230,clos 15 sparkling wine brut,A,0.787,5,1137802,popup sparkling — sparkling wine
871229,clos 15 sparkling wine brut nature,A,0.805,5,1286427,sparkling pointe — brut nature
871798,clos 15 sparkling wine brut nature,A,0.805,5,1286427,sparkling pointe — brut nature
871796,clos 15 sparkling wine semi sweet,A,0.656,5,1393589,mousse sparkling wine company — sweet white bubbly
871231,clos 15 tempranillo red semi sweet,A,0.438,5,1123644,gevelli — semi sweet red
3265325,clos 56,B,0.350,5,0,""
1525676,clos 56 pomerol 2019,A,0.738,5,30475,chateau latour a pomerol — pomerol
252153,clos abanicos assemblage,A,0.767,3,1569358,abanicos — assemblage
180100,clos abanicos assemblage,A,0.767,3,1569358,abanicos — assemblage
158057,clos abanicos assemblage 2019,A,0.750,3,1569358,abanicos — assemblage
32196,clos abanicos assemblage 2019,A,0.750,3,1569358,abanicos — assemblage
296186,clos abanicos cabernet franc,A,0.775,5,1445106,abanicos — cabernet franc
100813,clos abanicos cabernet franc terroir san jose 2021,A,0.563,5,1445106,abanicos — cabernet franc
225928,clos abanicos cabernet franc terroir san jose 2021,A,0.563,5,1445106,abanicos — cabernet franc
296187,clos abanicos chardonnay,A,0.767,5,1445061,abanicos — chardonnay
30578,clos abanicos chardonnay,A,0.767,5,1445061,abanicos — chardonnay
158083,clos abanicos chardonnay 2021,A,0.750,5,1445061,abanicos — chardonnay
225908,clos abanicos chardonnay 2021,A,0.750,5,1445061,abanicos — chardonnay
181080,clos abanicos malbec,A,0.767,5,1482751,abanicos — malbec
296188,clos abanicos malbec,A,0.767,5,1482751,abanicos — malbec
32197,clos abanicos malbec 2020,A,0.750,5,1482751,abanicos — malbec
158059,clos abanicos malbec 2020,A,0.750,5,1482751,abanicos — malbec
2111515,clos abella,A,0.740,5,27183,marco abella — clos abella seleccion especial
2111518,clos abella 2021,A,0.707,5,27183,marco abella — clos abella seleccion especial
2042417,clos abella tinto,A,0.787,5,27183,marco abella — clos abella seleccion especial
135397,clos adele 2020,A,0.683,5,615290,adele — chardonnay
135370,clos adele 2021,A,0.683,5,615290,adele — chardonnay
135399,clos adrien 2017,A,0.695,5,1214089,adrien leuliot — clos de vougeot grand cru
111601,clos adrien 2018,A,0.775,5,1214089,adrien leuliot — clos de vougeot grand cru
2175513,clos agnes chardonnay,A,0.800,5,1042319,clos agnes — chardonnay
3113871,clos agnes chardonnay,A,0.800,5,1042319,clos agnes — chardonnay
1451953,clos agon blanco 2015 spanien,B,0.108,5,0,""
2788948,clos albert 6 bottles,A,0.475,5,911820,99 bottles winery — bird dog red
3434671,clos albertus saint georges saint emilion 2019,B,0.438,5,0,""
1595683,clos albertus saintgeorge saintemilion 2018,A,0.332,5,489211,chateau clos saintemilion magnan — saintemilion
79287,clos albertus saintgeorges saintemilion bordeaux france 2020,A,0.464,5,261457,saintgeorges — reserve
884515,clos albertus saintgeorgessaintemilion 2020,A,0.775,3,530413,clos albertus — saintgeorgessaintemilion
3426331,clos alivu blanc,A,0.490,3,766647,domaine poli — clos alivu blanc
3426514,clos alivu blanc cuvee aspettata,B,0.220,3,0,""
3421086,clos alivu eric poli patrimoniu,A,0.545,3,143664,domaine poli — clos alivu rose
3389501,clos alivu patrimonio 2019 rose,A,0.608,5,461990,patrimonio — rose dune nuit clos de bernardi
