clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
1710149,bor 3 mg 100 kapsler solgar,D,0,0,0,""
2225217,bor borvalogatas,D,0,0,0,""
2242317,bor box webshop,D,0,0,0,""
2362736,bor dekantalo,D,0,0,0,""
2362456,bor dekantalok dekanterek,D,0,0,0,""
2344774,bor es csokolade kostolo egerben,D,0,0,0,""
2243540,bor es csokolade talalkozasa fedezze fel a primitivo bonbon titkat,C2,0,1,0,""
2249584,bor es kave,A,0.492,2,1412092,kave 1921 — gamaret
2244903,bor es mas,D,0,0,0,""
2225131,bor es pezsgo,C2,0.358,2,0,""
2350404,bor es szolozselevel toltott kezmuves bonbon,D,0,0,0,""
1323715,bor forras,A,0.480,1,292893,pieroth — bor forras blaufrankisch
1815494,bor forras 2022,C2,0.367,1,0,""
1816511,bor forras 2022,C2,0.367,1,0,""
1096397,bor forras blaufrankisch oem hajosbaja suss,C2,0.105,2,0,""
1705150,bor forras pieroth,A,0.743,2,1261200,pieroth — bor forras muskat ottonel trocken sekt
1323287,bor forras royal,A,0.388,1,1404765,royal borhaz — royal flush
2248979,bor gasztro,D,0,0,0,""
2303256,bor illemtan mielott a pohar fenekere neznenk,D,0,0,0,""
2243306,bor jellege,D,0,0,0,""
2342756,bor kiegeszito,D,0,0,0,""
2222946,bor mamor borkereskedes monor borai,D,0,0,0,""
2279019,bor megtekintese,D,0,0,0,""
2241600,bor mint ceges ajandek,D,0,0,0,""
2248897,bor palinka,D,0,0,0,""
2275954,bor palinka ajandek,D,0,0,0,""
2227426,bor pezsgo,C2,0.375,2,0,""
2242314,bor rendeles online,D,0,0,0,""
2243300,bor tipusa,D,0,0,0,""
2262714,bor truffel borvalogatas,D,0,0,0,""
2243311,bor tudastar ajanlo kedvcsinalo,D,0,0,0,""
2234784,bor webshop,D,0,0,0,""
2249353,bor webshopban,D,0,0,0,""
2886912,bora basil sparkling water aura bora,B,0.328,4,0,""
3013301,bora bora apricot 20 07,A,0.500,2,1359651,bora — branco
3005471,bora bora cassis 20 07,A,0.500,2,1359651,bora — branco
3005475,bora bora elderflower 20 07,A,0.500,2,1359651,bora — branco
3005467,bora bora hazelnut 20 07,A,0.500,2,1359651,bora — branco
3005473,bora bora melon 20 07,A,0.500,2,1359651,bora — branco
2046335,bora bora menta verde,B,0.425,3,0,""
1880769,bora edit rose 075,A,0.597,4,1411706,bora — rose
1880772,bora frenk frankovka 075,A,0.575,1,1604352,bora — frenk
3050775,bora large 500 italesse,D,0,0,0,""
477149,bora lunga,A,0.508,3,1289030,casa lunga — anduma
3543808,bora lunga,A,0.580,3,1690975,lunga — rulandske sede polosuche
3741164,bora lunga 2019 cinque campi,A,0.655,3,655363,cinque campi — bora lunga
3076849,bora lunga 2022,A,0.492,3,1289030,casa lunga — anduma
3772253,bora lunga 2022 igt emilia cinque campi,B,0.356,5,0,""
1880995,bora sarl chardonnay 075,B,0.413,3,0,""
2845097,bora suction insert tumbler,D,0,0,0,""
2682873,borac by rojac 2020,A,0.750,1,1321873,rojac — borac
1091539,borac rojac,D,0,0,0,""
1083753,borac rojac uros,A,0.650,1,1321873,rojac — borac
1050837,borac rojac uros 2020,A,0.633,1,1321873,rojac — borac
2795512,boracay blonde,D,0,0,0,""
2786156,boracay rhum capuccino,E,0,0,0,""
450225,borachio 2019 savagnin ancestral,A,0.600,3,1530173,borachio — chardonnay savagnin
354193,borachio 2020 chardonnay savagnin,A,0.855,5,1530173,borachio — chardonnay savagnin
470304,borachio 2021 perfect match,A,0.775,4,974944,borachio — perfect match
470090,borachio 2021 pinot noir pinot gris chardonnay,A,0.610,5,864140,borachio — pinot gris
470123,borachio 2021 savagnin,A,0.847,4,1080880,borachio — savagnin
470092,borachio 2022 battered sav,B,0.625,4,0,""
467258,borachio 2022 borachio resistance is futile magnum,A,0.679,3,1735448,borachio — resistance is futile
411215,borachio 2022 loose unit,B,0.442,3,0,""
467259,borachio 2022 pash rash magnum,A,0.633,3,850105,borachio — pash rash pet nat
467260,borachio 2022 savagnin,A,0.847,4,1080880,borachio — savagnin
468516,borachio 2022 tutti roo pet nat,A,0.570,3,850105,borachio — pash rash pet nat
469278,borachio 2023 in bloom,A,0.580,4,1688595,borachio — garnaxa
468463,borachio 2023 nuevo paraiso,A,0.855,4,1692299,borachio — nuevo paraiso
470348,borachio 2023 pash rash,A,0.735,3,850105,borachio — pash rash pet nat
468315,borachio 2023 pash rash magnum,A,0.633,3,850105,borachio — pash rash pet nat
467503,borachio 2024 pash rash,A,0.735,3,850105,borachio — pash rash pet nat
1889238,borachio battered sav 2018,B,0.625,5,0,""
1889241,borachio battered sav 2018,B,0.625,4,0,""
1877093,borachio battered sav 2020,B,0.625,4,0,""
2561923,borachio battered sav 2022,B,0.625,4,0,""
2563557,borachio battered sav 2022,B,0.625,4,0,""
533962,borachio cantaria vermut,A,0.450,2,1433044,borachio — summernat
861447,borachio cantaria vermut,A,0.450,2,1433044,borachio — summernat
549927,borachio cantaria vermut nv,B,0.442,3,0,""
573335,borachio chardonnay 2022 preservative free,A,0.645,6,1433049,borachio — chardonnay
549925,borachio chardonnay savagnin 2020 preservative free,A,0.690,6,1530173,borachio — chardonnay savagnin
911565,borachio chardonnay savagnin fleurieu 2020,A,0.463,5,96357,domaine du chardonnay — chablis
1876019,borachio flat out 2019,A,0.815,4,854276,borachio — flat out field blend
1877099,borachio flat out 2020,A,0.815,4,854276,borachio — flat out field blend
573478,borachio flat out field blend 2020,A,0.783,5,854276,borachio — flat out field blend
1889368,borachio flat out rose 2018,A,0.800,5,854276,borachio — flat out field blend
1880760,borachio fruit zone volleyball 2019,B,0.408,3,0,""
1004408,borachio nuevo paraiso adelaide hills 2023,A,0.690,4,1692299,borachio — nuevo paraiso
467257,borachio nv show pony magnum,A,0.648,3,1281730,borachio — show pony rose
976808,borachio pash rash,A,0.840,3,850105,borachio — pash rash pet nat
2900572,borachio pash rash,A,0.760,2,850105,borachio — pash rash pet nat
1880754,borachio pash rash 2020,A,0.735,4,850105,borachio — pash rash pet nat
1880752,borachio pash rash 2020,A,0.735,4,850105,borachio — pash rash pet nat
1876182,borachio pash rash 2021,A,0.735,4,850105,borachio — pash rash pet nat
