clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
184314,gru aus der wachau,D,0,0,0,""
1083559,gru bourgeois chateau lestage simon haut medoc 14,B,0.383,5,0,""
3117900,gru montepulciano,B,0.375,3,0,""
136131,gru montepulciano dabruzzo,A,0.475,4,1139995,santangelo dabruzzo — cerasuolo montepulciano dabruzzo
153659,gru montepulciano dabruzzo doc,A,0.400,4,1139995,santangelo dabruzzo — cerasuolo montepulciano dabruzzo
80132,gru oder gluckwunschkarte,D,0,0,0,""
3339393,gru pororo cream tteokbokki 115g,D,0,0,0,""
3350115,gru pororo jjajang tteokbokki 110g,D,0,0,0,""
3347083,gru pororo spicy tteokbokki 120g,D,0,0,0,""
1984488,grua de remolque,D,0,0,0,""
3525654,gruaud larose,A,0.740,3,546122,chateau gruaud larose — larose de gruaud saintjulien
2837480,gruaud larose,A,0.740,4,546122,chateau gruaud larose — larose de gruaud saintjulien
2563763,gruaud larose,A,0.740,3,546122,chateau gruaud larose — larose de gruaud saintjulien
113998,gruaud larose,A,0.740,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3691411,gruaud larose,A,0.740,5,546122,chateau gruaud larose — larose de gruaud saintjulien
97427,gruaud larose,A,0.740,4,546122,chateau gruaud larose — larose de gruaud saintjulien
2063271,gruaud larose 1961 corroded capsule,A,0.505,3,546122,chateau gruaud larose — larose de gruaud saintjulien
2485044,gruaud larose 1966 saint julien,A,0.505,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1384524,gruaud larose 1970,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1443870,gruaud larose 1981 6 liter,A,0.573,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1721151,gruaud larose 1982,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1463581,gruaud larose 1982 3liter bottle damaged lable,A,0.435,5,546122,chateau gruaud larose — larose de gruaud saintjulien
2849529,gruaud larose 1982 scuffed label,A,0.505,3,546122,chateau gruaud larose — larose de gruaud saintjulien
1273311,gruaud larose 1983,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1423684,gruaud larose 1986,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
187248,gruaud larose 1986,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1163509,gruaud larose 1986,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
1163511,gruaud larose 1986,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
1306370,gruaud larose 1988,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
2516089,gruaud larose 1988 saint julien,A,0.505,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3550655,gruaud larose 1989,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
1392516,gruaud larose 1989,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
353226,gruaud larose 1989,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
3981656,gruaud larose 1990,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
676536,gruaud larose 1990,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
2481625,gruaud larose 1990 saint julien,A,0.505,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3981370,gruaud larose 1990 ts,A,0.690,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1343411,gruaud larose 1993,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3550654,gruaud larose 1994,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
3337727,gruaud larose 1994 st julien,A,0.563,3,546122,chateau gruaud larose — larose de gruaud saintjulien
3601812,gruaud larose 1994 st julien,A,0.563,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3550657,gruaud larose 1995,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
3601810,gruaud larose 1995 st julien,A,0.563,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3334917,gruaud larose 1995 st julien,A,0.563,3,546122,chateau gruaud larose — larose de gruaud saintjulien
1384539,gruaud larose 1996,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1813951,gruaud larose 1996 original wood case,A,0.450,5,1335714,original g — german rose
3601809,gruaud larose 1996 st julien,A,0.563,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3550723,gruaud larose 1997,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
3551174,gruaud larose 1997,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
3550722,gruaud larose 1997,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
676619,gruaud larose 1998,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
318769,gruaud larose 2000,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
282349,gruaud larose 2000,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
2524896,gruaud larose 2000 saint julien,A,0.505,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1813950,gruaud larose 2001 original wood case,A,0.450,5,1335714,original g — german rose
1163514,gruaud larose 2003,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
1813948,gruaud larose 2003,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
2477063,gruaud larose 2003 saint julien,A,0.505,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1775759,gruaud larose 2005,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1163515,gruaud larose 2005,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
1813931,gruaud larose 2008,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1163517,gruaud larose 2009,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
1650974,gruaud larose 2009,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1428369,gruaud larose 2009,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1353449,gruaud larose 2010,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
211656,gruaud larose 2010,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
2480468,gruaud larose 2010 saint julien,A,0.505,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1813925,gruaud larose 2011,A,0.815,5,18117,chateau gruaud larose — saintjulien grand cru classe
3550653,gruaud larose 2011,A,0.815,4,18117,chateau gruaud larose — saintjulien grand cru classe
3559372,gruaud larose 2013,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
3551173,gruaud larose 2014,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
716297,gruaud larose 2015,A,0.707,5,546122,chateau gruaud larose — larose de gruaud saintjulien
1492652,gruaud larose 2015,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
3170784,gruaud larose 2015,A,0.707,4,546122,chateau gruaud larose — larose de gruaud saintjulien
3601808,gruaud larose 2015 st julien,A,0.563,5,546122,chateau gruaud larose — larose de gruaud saintjulien
