clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
125662,ros alba rosato veneziagiulia igp 2024 pecorari 0,A,0.351,3,229746,pierpaolo pecorari — ros alba rosato
1533455,ros appelsin edelbrand,D,0,0,0,""
2130611,ros beringer mv white zinfandel,A,0.643,4,44519,beringer — white zinfandel
1414843,ros cox orange likr,C2,0.288,2,0,""
3555411,ros dalba 2020,A,0.492,4,1286401,castello dalba — viosinho
2157238,ros de pacs origen rosat,A,0.515,1,238861,rigau ros — rosat flor
1987913,ros de pacs2025,D,0,0,0,""
3722185,ros di buri,D,0,0,0,""
1368586,ros di muri,D,0,0,0,""
1955004,ros di muri,D,0,0,0,""
1260303,ros di muri vini antonutti,D,0,0,0,""
1533369,ros elstar,D,0,0,0,""
1533452,ros geist hyldeblomst edelbrand,D,0,0,0,""
1414842,ros ingrid marie,C2,0.308,2,0,""
3837400,ros is tintilia del molise rosato doc biologico 2024,B,0.292,3,0,""
1533457,ros kirsebr edelbrand,D,0,0,0,""
1533459,ros kirsebr likr,D,0,0,0,""
1766140,ros mer,A,0.463,1,812495,ros marina — rose
922722,ros reserve solaris dyrehoj vingaard,A,0.471,2,1383864,ros ritchie — aromatyk
1922708,ros reserve solaris dyrehoj vingaard,A,0.471,1,1383864,ros ritchie — aromatyk
785030,ros ritchie aromatyk pinot gris riesling and gewurztraminer 2022 12 bottles,A,0.494,2,1383864,ros ritchie — aromatyk
3920221,ros ritchie cabernet sauvignon,A,0.847,4,546699,ros ritchie — baxendales vineyard cabernet sauvignon
3920227,ros ritchie chardonnay,A,0.840,4,656155,ros ritchie — barwite vineyard chardonnay
1015530,ros ritchie chardonnay 2021,A,0.815,5,656155,ros ritchie — barwite vineyard chardonnay
785032,ros ritchie chardonnay 2023 12 bottles,A,0.623,4,656155,ros ritchie — barwite vineyard chardonnay
3919256,ros ritchie gewurztraminer,A,0.823,4,1119863,ros ritchie — dead mans hill vineyard gewurztraminer
847628,ros ritchie gewurztraminer,A,0.823,4,1119863,ros ritchie — dead mans hill vineyard gewurztraminer
785034,ros ritchie gewurztraminer estate grown 2024 12 bottles,A,0.540,4,1119863,ros ritchie — dead mans hill vineyard gewurztraminer
3920226,ros ritchie nebbiolo,A,0.840,4,377070,ros ritchie — timbertop vineyard nebbiolo
785029,ros ritchie nebbiolo 2018 12 bottles,A,0.623,4,377070,ros ritchie — timbertop vineyard nebbiolo
3919257,ros ritchie pinot gris,A,0.718,4,1383854,ros ritchie — barwite vineyard pinot grigio
785031,ros ritchie pinot gris 2024 12 bottles,A,0.553,4,1209922,ros ritchie — kinloch vineyard pinot meunier
785028,ros ritchie pinot meunier 2021 12 bottles,A,0.654,4,1209922,ros ritchie — kinloch vineyard pinot meunier
3919258,ros ritchie riesling,A,0.830,4,581630,ros ritchie — the barwite vineyard riesling
3916495,ros ritchie riesling 2012,A,0.805,5,581630,ros ritchie — the barwite vineyard riesling
3916494,ros ritchie riesling 2015,A,0.805,5,581630,ros ritchie — the barwite vineyard riesling
3916493,ros ritchie riesling 2021,A,0.805,5,581630,ros ritchie — the barwite vineyard riesling
3919721,ros ritchie ros ritchie aromatyk,A,0.880,3,1383864,ros ritchie — aromatyk
3919720,ros ritchie ros ritchie pinot meunier,A,0.847,4,1209922,ros ritchie — kinloch vineyard pinot meunier
3919259,ros ritchie rose,A,0.830,4,1333119,ros ritchie — timbertop vineyard nebbiolo rose
785033,ros ritchie rose 2021 12 bottles,A,0.663,5,1333119,ros ritchie — timbertop vineyard nebbiolo rose
3919260,ros ritchie sauvignon blanc,A,0.847,4,627189,ros ritchie — baxendales vineyard sauvignon blanc
1363660,ros rosado navarra,A,0.590,2,1533226,troc den ros — rock ros rosado
3682867,ros rose,A,0.767,1,812495,ros marina — rose
1450992,ros silver mountain white zinfandel usa,B,0.460,4,0,""
4016133,ros solaris,A,0.525,3,1685351,solaris — chardonnay
3956218,ros solaris,A,0.525,2,1685351,solaris — chardonnay
3287274,ros solaris,A,0.525,3,1685351,solaris — chardonnay
1473045,ros solaris reserva dyrehj vingard 2019,B,0.404,4,0,""
3499836,ros solis cucumber and basil tonic,D,0,0,0,""
158815,rosa,D,0,2,0,""
55231,rosa,D,0,2,0,""
8984,rosa,A,0.750,2,1364010,rosa — amber
3806582,rosa 2019 colleoni,A,0.478,3,1173256,il colleoni — la fontanina valcalepio
790191,rosa 2020,D,0,1,0,""
1494340,rosa 2020,D,0,1,0,""
2447320,rosa 2021,B,0,3,0,""
147768,rosa 2022,B,0,3,0,""
1018027,rosa 2022,A,0.763,4,1182291,de rosa — rosato
