clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3896380,laf,D,0,0,0,""
2568989,laf cotehino 500g,D,0,0,0,""
2568991,laf zampone 1kg,D,0,0,0,""
3427591,lafabuleuse blanc frisant 2024 lafage,A,0.465,3,1318334,domaine lafage — lafabuleuse frisant
1258028,lafabuleuse blanc frisant 2024 lafage,A,0.465,3,1318334,domaine lafage — lafabuleuse frisant
77784,lafage 20 bastide miraflors 2020,A,0.800,5,1610007,domaine lafage — bastide miraflors reserve
77783,lafage 20 gsm tessellae,A,0.805,6,209327,domaine lafage — tessellae gsm old vines
1231333,lafage 20 gsm tessellae,A,0.725,3,209327,domaine lafage — tessellae gsm old vines
954085,lafage 2020 bastide miraflors vv,A,0.800,5,1610007,domaine lafage — bastide miraflors reserve
2736308,lafage 2022 novellum chardonnay,A,0.735,3,1507219,domaine lafage — selection novellum chardonnay
77782,lafage 21 retro ltr,A,0.653,5,1190439,domaine lafage — la retro rouge
1231332,lafage 21 retro ltr,A,0.573,2,1190439,domaine lafage — la retro rouge
1231331,lafage 22 cv centenai blanc,A,0.595,3,845317,domaine lafage — miraflors blanc
77779,lafage 22 cv centenai blanc,A,0.595,5,845317,domaine lafage — miraflors blanc
298254,lafage 24 mirafls rose,A,0.470,2,1238752,domaine lafage — jeanmarc lafage la operette
2562747,lafage 24 mirafls rose 2024,A,0.465,4,1238752,domaine lafage — jeanmarc lafage la operette
1860248,lafage arqueta,D,0,0,0,""
3960313,lafage arqueta collioure,A,0.617,2,1406429,domaine lafage — collioure
3293370,lafage arqueta collioure,A,0.617,4,1406429,domaine lafage — collioure
3267653,lafage authentique,A,0.729,2,234995,domaine lafage — authentique cotes du roussillon rouge
3958446,lafage authentique cotes du roussillon,A,0.771,2,234995,domaine lafage — authentique cotes du roussillon rouge
4019289,lafage authentique cotes du roussillon,A,0.771,4,234995,domaine lafage — authentique cotes du roussillon rouge
3290851,lafage authentique cotes du roussillon,A,0.771,4,234995,domaine lafage — authentique cotes du roussillon rouge
2422951,lafage bastide miraflores,A,0.530,3,1597393,miraflores — monastrell
1808740,lafage bastide miraflors,A,0.760,2,897570,domaine lafage — bastide miraflors perle
331707,lafage bastide miraflors,A,0.760,2,897570,domaine lafage — bastide miraflors perle
76983,lafage bastide miraflors,A,0.760,2,897570,domaine lafage — bastide miraflors perle
838302,lafage bastide miraflors 20,A,0.815,3,1610007,domaine lafage — bastide miraflors reserve
1710343,lafage bastide miraflors cotes du roussillon,A,0.835,3,1424063,domaine lafage — bastide miraflors selection de jeanmarc lafage cotes du roussillon villages
452233,lafage bastide miraflors vv 2020,A,0.800,4,1610007,domaine lafage — bastide miraflors reserve
4019064,lafage cadireta,A,0.767,2,292534,domaine lafage — cadireta
3290620,lafage cadireta,A,0.767,2,292534,domaine lafage — cadireta
3267652,lafage cadireta,D,0,0,0,""
3958285,lafage cadireta,D,0,0,0,""
3652889,lafage cadireta igp cotes catalanes,A,0.543,3,1631434,domaine lafage — les sardines catalanes blanc
3958885,lafage cayrol carignan,B,0.433,3,0,""
3291460,lafage cayrol carignan,B,0.433,5,0,""
4019895,lafage cayrol carignan,B,0.433,5,0,""
452232,lafage cote d est vdp blanc 2024,A,0.739,4,732277,domaine lafage — cote est blanc
3958097,lafage cote est,A,0.760,2,732277,domaine lafage — cote est blanc
4018799,lafage cote est,A,0.760,4,732277,domaine lafage — cote est blanc
1701680,lafage cote est,A,0.840,3,732277,domaine lafage — cote est blanc
3290373,lafage cote est,A,0.760,4,732277,domaine lafage — cote est blanc
914804,lafage cote est blanc,A,0.860,4,732277,domaine lafage — cote est blanc
1508002,lafage cote est blanc,A,0.860,3,732277,domaine lafage — cote est blanc
3652891,lafage cote est igp cotes catalanes,A,0.530,5,53677,domaine lafage — cote sud
1793607,lafage cote est white,A,0.815,3,732277,domaine lafage — cote est blanc
4018829,lafage cote floral,A,0.775,4,114543,domaine lafage — cote floral
3958118,lafage cote floral,A,0.775,2,114543,domaine lafage — cote floral
3290401,lafage cote floral,A,0.775,4,114543,domaine lafage — cote floral
3959273,lafage cote rose,A,0.855,4,120246,domaine lafage — cote rose
3292014,lafage cote rose,A,0.855,6,120246,domaine lafage — cote rose
4020437,lafage cote rose,A,0.855,6,120246,domaine lafage — cote rose
3957131,lafage cote sud,A,0.775,2,53677,domaine lafage — cote sud
3288737,lafage cote sud,A,0.775,4,53677,domaine lafage — cote sud
4017420,lafage cote sud,A,0.775,4,53677,domaine lafage — cote sud
3652890,lafage cote sud igp cotes catalanes,A,0.630,5,53677,domaine lafage — cote sud
3302148,lafage cotes catalanes nicolas vielles vignes,D,0,0,0,""
1381522,lafage cotes du roussillon bastide miraflors 2015,A,0.820,4,1424063,domaine lafage — bastide miraflors selection de jeanmarc lafage cotes du roussillon villages
410816,lafage cuvee centenaire,A,0.700,3,822502,domaine lafage — vieilles vignes centenaire blanc
452181,lafage cuvee centenaire 2022,A,0.763,5,822502,domaine lafage — vieilles vignes centenaire blanc
4019952,lafage cuvee centenaire cotes du roussillon,A,0.755,5,159759,domaine lafage — centenaire cotes du roussillon blanc
3291515,lafage cuvee centenaire cotes du roussillon,A,0.755,5,159759,domaine lafage — centenaire cotes du roussillon blanc
3958926,lafage cuvee centenaire cotes du roussillon,A,0.755,3,159759,domaine lafage — centenaire cotes du roussillon blanc
3652888,lafage cuvee centenaire cotes du roussillon ac,A,0.823,5,159759,domaine lafage — centenaire cotes du roussillon blanc
1808738,lafage cuvee nicholas,A,0.542,3,1127423,domaine lafage — scenario cuvee
1554995,lafage cuvee nicolas 2020,A,0.759,5,114675,domaine lafage — nicolas vieilles vignes grenache noir
4018441,lafage cuvee nicolas grenache noir,A,0.737,6,114675,domaine lafage — nicolas vieilles vignes grenache noir
3957855,lafage cuvee nicolas grenache noir,A,0.737,4,114675,domaine lafage — nicolas vieilles vignes grenache noir
2682014,lafage cuvee nicolas grenache noir,A,0.737,4,114675,domaine lafage — nicolas vieilles vignes grenache noir
3290003,lafage cuvee nicolas grenache noir,A,0.737,6,114675,domaine lafage — nicolas vieilles vignes grenache noir
3973704,lafage cuvee nicolas grenache noir,A,0.737,4,114675,domaine lafage — nicolas vieilles vignes grenache noir
3652886,lafage cuvee nicolas igp cotes catalanes rouge,A,0.563,5,1622762,domaine lafage — les sardines catalanes rouge
1444098,lafage fundacio red,A,0.813,1,981843,domaine lafage — fundacio
3680993,lafage grande cuvee rose,A,0.847,5,248204,domaine lafage — la grande cuvee rose
376814,lafage grenache cuvee nicolas 2020,A,0.783,6,114675,domaine lafage — nicolas vieilles vignes grenache noir
1153567,lafage la narassa 2020,A,0.797,5,684894,domaine lafage — narassa
2681980,lafage la narassa grenache,A,0.600,3,684894,domaine lafage — narassa
3675376,lafage la retro,A,0.840,3,1190439,domaine lafage — la retro rouge
838300,lafage la retro red 23,A,0.800,3,1190439,domaine lafage — la retro rouge
1172335,lafage la retro rouge 2024 10 liitrit,A,0.701,4,1190439,domaine lafage — la retro rouge
1172336,lafage la retro rouge 2024 10 liter,A,0.701,4,1190439,domaine lafage — la retro rouge
3657006,lafage les sardines catalanes blanc,A,0.863,3,1631434,domaine lafage — les sardines catalanes blanc
3685567,lafage les sardines catalanes blanc 2023,A,0.847,3,1631434,domaine lafage — les sardines catalanes blanc
