clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3668452,pog mo thoin kiss my ass leprechaun socks,D,0,0,0,""
1915367,pogacice sa sirom 700g ledo,D,0,0,0,""
555258,poggerino bugialla chianti classico riserva 2016,A,0.863,6,71501,poggerino — bugialla chianti classico riserva
3867301,poggerino bugialla chianti classico riserva 2019,A,0.783,5,71501,poggerino — bugialla chianti classico riserva
1307660,poggerino bugialla chianti classico riserva 2019,A,0.863,6,71501,poggerino — bugialla chianti classico riserva
365304,poggerino bugialla chianti classico riserva 2021,A,0.863,5,71501,poggerino — bugialla chianti classico riserva
3753233,poggerino bugialla chianti classico riserva docg 075,A,0.711,6,71501,poggerino — bugialla chianti classico riserva
2109550,poggerino bugialla chianti classico riserva docg italy,A,0.711,5,71501,poggerino — bugialla chianti classico riserva
364765,poggerino champenoise brut rose 2014,A,0.515,5,177653,la champenoise — rose champagne
3652025,poggerino chianti classico,A,0.800,5,208987,poggerino — chianti classico
2807907,poggerino chianti classico,A,0.880,5,208987,poggerino — chianti classico
3671037,poggerino chianti classico,A,0.800,5,208987,poggerino — chianti classico
298276,poggerino chianti classico,A,0.880,5,208987,poggerino — chianti classico
2968912,poggerino chianti classico,A,0.800,3,208987,poggerino — chianti classico
2444372,poggerino chianti classico 2010,A,0.855,6,208987,poggerino — chianti classico
2441824,poggerino chianti classico 2015,A,0.855,6,208987,poggerino — chianti classico
1751731,poggerino chianti classico 2015,A,0.775,5,208987,poggerino — chianti classico
2548750,poggerino chianti classico 2018,A,0.775,4,208987,poggerino — chianti classico
2545481,poggerino chianti classico 2019,A,0.775,4,208987,poggerino — chianti classico
1307661,poggerino chianti classico 2020,A,0.855,6,208987,poggerino — chianti classico
3867351,poggerino chianti classico 2020,A,0.775,5,208987,poggerino — chianti classico
2545336,poggerino chianti classico 2021,A,0.775,4,208987,poggerino — chianti classico
435860,poggerino chianti classico 2021,A,0.855,5,208987,poggerino — chianti classico
1001396,poggerino chianti classico 2022,A,0.855,6,208987,poggerino — chianti classico
551530,poggerino chianti classico 2023,A,0.855,6,208987,poggerino — chianti classico
353480,poggerino chianti classico 2023,A,0.775,4,208987,poggerino — chianti classico
390780,poggerino chianti classico 2023,A,0.855,5,208987,poggerino — chianti classico
3276092,poggerino chianti classico 2023,A,0.775,4,208987,poggerino — chianti classico
743458,poggerino chianti classico 2023,A,0.855,5,208987,poggerino — chianti classico
1698574,poggerino chianti classico 2023 docg,A,0.643,4,208987,poggerino — chianti classico
1699069,poggerino chianti classico 2023 docg ko,A,0.633,4,208987,poggerino — chianti classico
1698498,poggerino chianti classico 2023 docg mg,A,0.633,4,208987,poggerino — chianti classico
1698510,poggerino chianti classico 2024 docg,A,0.643,4,208987,poggerino — chianti classico
2543502,poggerino chianti classico annata 2022,A,0.643,4,208987,poggerino — chianti classico
3078016,poggerino chianti classico bugialla riserva 2021,A,0.783,4,71501,poggerino — bugialla chianti classico riserva
1514539,poggerino chianti classico bugialla riserva 2021,A,0.783,4,71501,poggerino — bugialla chianti classico riserva
3856366,poggerino chianti classico chianti classico docg 2022 vino rosso,A,0.648,5,208987,poggerino — chianti classico
810477,poggerino chianti classico docg,A,0.738,4,208987,poggerino — chianti classico
330267,poggerino chianti classico docg,A,0.738,6,208987,poggerino — chianti classico
3753181,poggerino chianti classico docg 075,A,0.665,6,208987,poggerino — chianti classico
1413217,poggerino chianti classico docg 2022,A,0.723,6,208987,poggerino — chianti classico
1699802,poggerino chianti classico docg 2022,A,0.643,4,208987,poggerino — chianti classico
1699805,poggerino chianti classico docg 2022 mg ko,A,0.626,4,208987,poggerino — chianti classico
1514550,poggerino chianti classico docg 2023,A,0.643,4,208987,poggerino — chianti classico
3923521,poggerino chianti classico docg 2023,A,0.723,6,208987,poggerino — chianti classico
3916582,poggerino chianti classico docg riserva bugialla 2021,A,0.764,6,71501,poggerino — bugialla chianti classico riserva
3651982,poggerino chianti classico magnums,A,0.658,5,208987,poggerino — chianti classico
2547181,poggerino chianti classico nuovo 19,A,0.780,3,668841,poggerino — nuovo chianti classico
431210,poggerino chianti classico nuovo 2017,A,0.860,5,668841,poggerino — nuovo chianti classico
501382,poggerino chianti classico nuovo 2019,A,0.860,5,668841,poggerino — nuovo chianti classico
843318,poggerino chianti classico nuovo 2021,A,0.860,6,668841,poggerino — nuovo chianti classico
1410652,poggerino chianti classico nuovo 2022 docg,A,0.679,4,668841,poggerino — nuovo chianti classico
1410655,poggerino chianti classico nuovo 2022 docg ko,A,0.670,4,668841,poggerino — nuovo chianti classico
3077973,poggerino chianti classico nuovo docg,A,0.693,3,668841,poggerino — nuovo chianti classico
1514407,poggerino chianti classico nuovo docg,A,0.693,3,668841,poggerino — nuovo chianti classico
1699780,poggerino chianti classico nuovo docg 2021,A,0.679,4,668841,poggerino — nuovo chianti classico
1699781,poggerino chianti classico nuovo docg 2021 ko,A,0.670,4,668841,poggerino — nuovo chianti classico
2549086,poggerino chianti classico riserva 16,A,0.760,3,71501,poggerino — bugialla chianti classico riserva
2547156,poggerino chianti classico riserva 18,A,0.760,3,71501,poggerino — bugialla chianti classico riserva
2549367,poggerino chianti classico riserva 2014,A,0.760,4,71501,poggerino — bugialla chianti classico riserva
1310667,poggerino chianti classico riserva 2016,A,0.760,4,71501,poggerino — bugialla chianti classico riserva
2545485,poggerino chianti classico riserva 2017,A,0.760,4,71501,poggerino — bugialla chianti classico riserva
2548748,poggerino chianti classico riserva 2017,A,0.760,4,71501,poggerino — bugialla chianti classico riserva
2545484,poggerino chianti classico riserva 2018,A,0.760,4,71501,poggerino — bugialla chianti classico riserva
2965456,poggerino chianti classico riserva bugialla,A,0.800,3,71501,poggerino — bugialla chianti classico riserva
3671036,poggerino chianti classico riserva bugialla,A,0.800,5,71501,poggerino — bugialla chianti classico riserva
2276083,poggerino chianti classico riserva bugialla,A,0.880,4,71501,poggerino — bugialla chianti classico riserva
315081,poggerino chianti classico riserva bugialla,A,0.880,6,71501,poggerino — bugialla chianti classico riserva
434471,poggerino chianti classico riserva bugialla 2017,A,0.863,5,71501,poggerino — bugialla chianti classico riserva
353474,poggerino chianti classico riserva bugialla 2020,A,0.783,4,71501,poggerino — bugialla chianti classico riserva
680312,poggerino chianti classico riserva bugialla 2020,A,0.863,6,71501,poggerino — bugialla chianti classico riserva
411228,poggerino chianti classico riserva bugialla 2021,A,0.863,5,71501,poggerino — bugialla chianti classico riserva
2543500,poggerino chianti classico riserva bugialla 2021,A,0.783,4,71501,poggerino — bugialla chianti classico riserva
1699524,poggerino chianti classico riserva bugialla 2022 docg,A,0.684,4,71501,poggerino — bugialla chianti classico riserva
1699526,poggerino chianti classico riserva bugialla 2022 docg ko,A,0.675,4,71501,poggerino — bugialla chianti classico riserva
1699799,poggerino chianti classico riserva bugialla docg 2021,A,0.684,4,71501,poggerino — bugialla chianti classico riserva
1699800,poggerino chianti classico riserva bugialla docg 2021 ko,A,0.675,4,71501,poggerino — bugialla chianti classico riserva
1698496,poggerino chianti classico riserva docg 2020 mg,A,0.626,4,208987,poggerino — chianti classico
3651946,poggerino chianti classico riserva magnums,A,0.643,5,71501,poggerino — bugialla chianti classico riserva
1699807,poggerino chianti classico riserva vigna bugialla docg 2019,A,0.623,4,71501,poggerino — bugialla chianti classico riserva
1699809,poggerino chianti classico riserva vigna bugialla docg 2019 mg ko,A,0.610,4,71501,poggerino — bugialla chianti classico riserva
220003,poggerino chianti classico rsv bugialla 2020,A,0.739,5,71501,poggerino — bugialla chianti classico riserva
2545333,poggerino chianti reserva 2020,A,0.717,4,208987,poggerino — chianti classico
2546071,poggerino chianti riserva 2019,A,0.735,4,71501,poggerino — bugialla chianti classico riserva
2546075,poggerino chianti riserva 2019,A,0.735,4,71501,poggerino — bugialla chianti classico riserva
2545335,poggerino chianti riserva 2020,A,0.735,4,71501,poggerino — bugialla chianti classico riserva
590590,poggerino chianto classico 2022,A,0.622,5,208987,poggerino — chianti classico
589957,poggerino chianto classico riserva bugialla 2020,A,0.710,6,71501,poggerino — bugialla chianti classico riserva
589501,poggerino chianto classico riserva bugialla 2021,A,0.710,6,71501,poggerino — bugialla chianti classico riserva
3671038,poggerino igt rosso primamateria,A,0.713,6,63715,poggerino — primamateria
3671035,poggerino igt rosso primamateria,A,0.713,6,63715,poggerino — primamateria
2546078,poggerino labirinto 2021,A,0.733,3,1287903,poggerino — labirinto bianco
314370,poggerino nuovo,A,0.830,4,668841,poggerino — nuovo chianti classico
