clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
500751,catena,C2,0.580,1,0,""
1584,catena,A,0.750,2,1670585,catena — rose
3652106,catena,D,0,0,0,""
1193914,catena 2018 malbec mendoza argentina,A,0.545,5,890,catena — malbec
1312086,catena 2022 appellation malbec la consulta,A,0.863,7,85790,catena — appellation la consulta malbec
2735432,catena 2022 catena alta historic rows chardonnay,A,0.810,5,889,catena alta — chardonnay
3147233,catena 2022 lunlunta malbec mendoza argentina old vines,A,0.773,4,95335,catena — appellation lunlunta malbec
1468329,catena 2022 lunlunta malbec mendoza argentina old vines,A,0.773,4,95335,catena — appellation lunlunta malbec
3147247,catena 2022 mendoza argentina cabernet sauvignon,A,0.525,6,212023,espiritu de argentina — cabernet sauvignon
1468335,catena 2022 mendoza argentina cabernet sauvignon,A,0.525,6,212023,espiritu de argentina — cabernet sauvignon
1469593,catena 2022 mendoza malbec,A,0.663,6,59033,mendoza vineyards — mv malbec
3148413,catena 2022 mendoza malbec,A,0.663,6,59033,mendoza vineyards — mv malbec
1471183,catena 2022 white clay semillionchenin lutan de cuyo,A,0.654,4,1203855,catena — appellation lujan de cuyo white clay
3149434,catena 2022 white clay semillionchenin lutan de cuyo,A,0.654,4,1203855,catena — appellation lujan de cuyo white clay
1308625,catena 2023 chardonnay,A,0.827,6,892,catena — chardonnay
1312087,catena 2023 marchigiana malbec,A,0.798,6,1130825,bodegas y vinedos nicolas catena — la marchigiana malbec
1446379,catena 2023 mendoza argentina cabernet sauvignon,A,0.525,6,212023,espiritu de argentina — cabernet sauvignon
3144954,catena 2023 mendoza argentina cabernet sauvignon,A,0.525,6,212023,espiritu de argentina — cabernet sauvignon
1446151,catena 2023 mendoza malbec,A,0.663,6,59033,mendoza vineyards — mv malbec
3144719,catena 2023 mendoza malbec,A,0.663,6,59033,mendoza vineyards — mv malbec
1796771,catena 2023 san carlos cabernet franc,A,0.767,4,440564,catena — appellation san carlos cabernet franc
808919,catena 2023 white clay lujan de cuyo,A,0.831,4,1203855,catena — appellation lujan de cuyo white clay
259970,catena adrianna fortuna terrae malbec,A,0.646,1,735675,catena zapata — adrianna vineyard fortuna terrae malbec
1499351,catena adrianna mendus bacillus terrae 2013 0,A,0.502,1,745415,catena zapata — adrianna vineyard mundus bacillus terrae malbec
1552371,catena adrianna river stones 2019,A,0.585,3,108035,dv catena — adrianna vineyard malbec
3648121,catena adrianna vineyard fortuna terrae malbec 2018,A,0.706,4,735675,catena zapata — adrianna vineyard fortuna terrae malbec
1687753,catena adrianna vineyard mundus bacillus terrae malbec 2016,A,0.770,3,745415,catena zapata — adrianna vineyard mundus bacillus terrae malbec
1289533,catena adrianna vineyard river malbec 2018,A,0.739,4,108035,dv catena — adrianna vineyard malbec
1241650,catena adrianna vineyard river malbec 2019,A,0.739,4,108035,dv catena — adrianna vineyard malbec
316427,catena adrianna vineyard river stones,A,0.625,3,108035,dv catena — adrianna vineyard malbec
426701,catena adrianna vineyard river stones,A,0.625,3,108035,dv catena — adrianna vineyard malbec
3648120,catena adrianna vineyard river stones malbec 2018,A,0.677,4,108035,dv catena — adrianna vineyard malbec
