clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
1265713,ste bianco verdicchio castelli di jesi doc,C2,0.448,2,0,""
1693244,ste chapelle black cherry spritz wine cocktail 24 pack,C2,0.439,2,0,""
1693248,ste chapelle blood orange spritz wine based cocktail 24 pack,C2,0.424,2,0,""
1712399,ste chapelle blueberry flavored wine,A,0.673,3,1503237,ste chapelle — blueberry
1521381,ste chapelle chardonnay chateau series american,A,0.690,5,5020,ste chapelle — chardonnay
1150901,ste chapelle chateau series soft red nv,A,0.730,5,5022,ste chapelle — chateau series merlot
1712398,ste chapelle huckleberry flavored wine,A,0.673,3,1526296,ste chapelle — huckleberry
1712380,ste chapelle peach flavored wine,A,0.595,3,1153556,ste chapelle — panoramic sangiovese
1693251,ste chapelle raspberry rose spritz wine cocktail 24 pack,C2,0.418,2,0,""
1521383,ste chapelle riesling winemaker series american,A,0.710,4,42158,ste chapelle — winemakers series riesling
2065566,ste chapelle soft huckleberry,A,0.767,2,1364597,ste chapelle — special harvest soft huckleberry
1524173,ste chapelle soft white chateau series american,A,0.796,5,47241,ste chapelle — chateau series soft white
1712378,ste chapelle strawberry flavored wine,A,0.673,3,1503238,ste chapelle — strawberry
301450,ste genevieve american red wine,A,0.723,4,174123,ste genevieve — red
267636,ste genevieve cabernet sauvignon,A,0.800,4,96387,ste genevieve — cabernet sauvignon
258510,ste genevieve chardonnay,A,0.800,4,246645,ste genevieve — chardonnay
258511,ste genevieve chardonnay 4pk,A,0.688,4,246645,ste genevieve — chardonnay
2620207,ste genevieve malbec,A,0.800,4,755472,ste genevieve — malbec
257380,ste genevieve merlot,A,0.800,4,101023,ste genevieve — merlot
2619831,ste genevieve pink moscato,A,0.800,4,714189,ste genevieve — pink moscato
254068,ste genevieve pinot grigio american grapes,A,0.650,4,49667,ste genevieve — pinot grigio
2620003,ste genevieve pinot noir,A,0.800,4,54506,ste genevieve — pinot noir
2619977,ste genevieve riesling,A,0.800,4,772433,ste genevieve — riesling
236538,ste genevieve sauvignon blanc,A,0.880,5,403675,ste genevieve — sauvignon blanc
2620146,ste genevieve shiraz,A,0.800,4,772432,ste genevieve — shiraz
269441,ste genevieve sweet moscato,A,0.800,4,47410,ste genevieve — sweet moscato
2620151,ste genevieve sweet moscato 4pk,A,0.710,4,47410,ste genevieve — sweet moscato
255230,ste genevieve sweet red,A,0.800,4,201562,ste genevieve — sweet red
2619829,ste genevieve texas blush,A,0.688,3,772431,ste genevieve — blush
2619830,ste genevieve texas white,A,0.738,4,300280,ste genevieve — white
269442,ste genevieve white zinfandel,A,0.800,5,88566,ste genevieve — white zinfandel
2622884,ste genevieve white zinfandel 4pk,A,0.693,5,88566,ste genevieve — white zinfandel
198589,ste merlot grand reserve 2021,A,0.710,3,89402,chateau ste michelle — ethos reserve merlot
1361634,ste michelle,A,0.750,2,1343971,chateau ste michelle — meritage
1365903,ste michelle 27th nov,A,0.525,2,1343971,chateau ste michelle — meritage
1365900,ste michelle 27th november,A,0.525,2,1343971,chateau ste michelle — meritage
314379,ste michelle brut,A,0.855,4,22394,domaine ste michelle — brut
431099,ste michelle cabernet sauvignon indian wells 2021,A,0.841,5,1468056,chateau ste michelle — casita indian wells cabernet sauvignon
1785122,ste michelle cabernet sauvignon limited edition rdvin,A,0.667,3,33294,chateau ste michelle — cabernet sauvignon
1785137,ste michelle chardonnay limited edition hvidvinsfund,A,0.638,3,647,chateau ste michelle — chardonnay
1306359,ste michelle dr loosen eroica riesling 2022,A,0.658,5,33295,chateau ste michelle — riesling
