clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
827052,per alessio,B,0.383,3,0,""
1295615,per alice ti doc merlot riserva,A,0.605,5,18529,alice white — merlot
3798084,per are,A,0.500,1,1195210,per te — italian sparkling
2985114,per bottle add the lucky deals top shelf trio,D,0,0,0,""
751946,per bryn cabernet sauvignon,B,0.265,4,0,""
3801900,per chi ama roma porchetta coppiette e salsiccette per finire tarallucci e vino,D,0,0,0,""
3832373,per cristina 2004 barolo,A,0.475,4,1626406,donna cristina — barolo
3327128,per daniel fking bubbles,C2,0.396,2,0,""
3804660,per daniel fuing bubbles 2022 daniele parma,B,0.356,3,0,""
2936717,per domani open french skillet,C2,0.365,2,0,""
3751783,per e palummo ischia doc 2022 cenatiempo,A,0.450,4,1363956,per te — zinfandel
3861033,per e palummo piedirosso 2024 casa dambra,A,0.468,3,1363956,per te — zinfandel
3411916,per el 2021 domaine saladin,A,0.494,3,1212736,amor per la terra — el bosc cremat
3389896,per el 2023,A,0.695,1,1212736,amor per la terra — el bosc cremat
3677011,per el 2023 domaine saladin,A,0.494,3,1212736,amor per la terra — el bosc cremat
3389894,per el 2024,A,0.695,1,1212736,amor per la terra — el bosc cremat
1296164,per emma rosso toscana igt 2020 piancornello,A,0.549,6,1483839,casa emma — centocchi toscana
3775918,per epalummo casa dambra,C2,0.133,2,0,""
3748654,per epalummo casa dambra,D,0,0,0,""
3770269,per eva costa damalfi doc 2023 tenuta san francesco,A,0.452,6,1238365,tenuta la costa — muscat
1001099,per filo lgt 2019,B,0.425,4,0,""
1001100,per filo lgt 2020,B,0.425,4,0,""
1530556,per filo organic,C2,0.433,2,0,""
2108325,per filo toscana sangiovese 2017,A,0.471,6,68137,filo — valpolicella ripasso
2092600,per filo toscana sangiovese 2020,A,0.471,6,68137,filo — valpolicella ripasso
3753036,per gli amici,A,0.775,3,460801,per gli amici — rosso
751951,per janeen cabernet sauvignon,C2,0.265,2,0,""
1051200,per la gioia vino bianco,A,0.593,1,1491006,per gli amici — vino passito bianco
3254745,per lamore di andie mcc brut box of 6,D,0,0,0,""
2139635,per lui primitivo,A,0.492,1,528686,per tutti — primitivo
1626783,per lui primitivo igt 2012 leone de castris puglia italien,B,0.337,3,0,""
1100495,per lui primitivo rosso igt 2019,A,0.480,4,528686,per tutti — primitivo
1100494,per lui rosso salento igt 2019,A,0.468,3,1363956,per te — zinfandel
1626727,per lui salice salentino riserva 2014 doc leone de castris puglia italien,B,0.331,4,0,""
1667202,per mare 2021 viognier,B,0.442,3,0,""
1595521,per mare 2021 viognier,B,0.442,5,0,""
3864937,per ol me ecio cesto personalizzato per la festa del papa,D,0,0,0,""
2643458,per ora prosecco,A,0.505,3,1195210,per te — italian sparkling
634812,per ora prosecco,A,0.505,4,1195210,per te — italian sparkling
2320352,per ora prosecco,A,0.505,3,1195210,per te — italian sparkling
3192028,per ora prosecco nv,A,0.497,3,1195210,per te — italian sparkling
442799,per ora prosecco nv,A,0.497,3,1195210,per te — italian sparkling
2581260,per papa nebbiolo 2012 castello di cigognola,A,0.465,5,1314889,te papa — syrah
