clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
2587827,camp 2022 north coast cabernet sauvignon,A,0.734,6,1334484,north coast wine co — outerbound cabernet sauvignon
2587822,camp 2022 north coast chardonnay,A,0.703,6,1373007,north coast wine co — outerbound chardonnay
1842425,camp 2023 zinfandel north coast,A,0.645,6,609375,camp — zinfandel
1956388,camp 2023 zinfandel north coast,A,0.645,6,609375,camp — zinfandel
2808552,camp aucels jean le blanc picpoul de pinet,A,0.703,4,729601,camp aucels — jean le blanc
395139,camp cabernet,A,0.767,3,1262984,surf camp — cabernet
1224892,camp cabernet,A,0.767,3,1262984,surf camp — cabernet
2476541,camp cabernet franc sonoma county 2019,A,0.610,5,699354,camp — cabernet franc
2557049,camp cabernet franc sonoma county 2020,A,0.610,5,699354,camp — cabernet franc
1643233,camp cabernet sauvignon,A,0.880,5,206384,camp — cabernet sauvignon
3175345,camp cabernet sauvignon,A,0.880,5,206384,camp — cabernet sauvignon
229908,camp cabernet sauvignon,A,0.880,4,206384,camp — cabernet sauvignon
1070749,camp cabernet sauvignon,A,0.880,4,206384,camp — cabernet sauvignon
3656255,camp cabernet sauvignon 2019,A,0.855,6,206384,camp — cabernet sauvignon
3660888,camp cabernet sauvignon 2019,A,0.855,4,206384,camp — cabernet sauvignon
1653619,camp cabernet sauvignon 2022,A,0.855,6,206384,camp — cabernet sauvignon
1751038,camp cabernet sauvignon north coast,A,0.620,3,206384,camp — cabernet sauvignon
1116438,camp cabernet sauvignon north coast,A,0.700,4,206384,camp — cabernet sauvignon
2537993,camp cabernet sauvignon north coast 2020,A,0.610,4,206384,camp — cabernet sauvignon
2550398,camp cabernet sauvignon north coast 2022,A,0.610,4,206384,camp — cabernet sauvignon
1231162,camp cabernet sauvignon north coast 2023 mwo 2023,A,0.648,6,206384,camp — cabernet sauvignon
1549381,camp cabernet sauvignon sonoma,A,0.768,5,206384,camp — cabernet sauvignon
324595,camp canadian pils 4p,C2,0.425,2,0,""
3175522,camp chardonnay,A,0.880,5,227538,camp — chardonnay
309909,camp chardonnay,A,0.800,3,227538,camp — chardonnay
1806499,camp chardonnay north coast,A,0.655,4,227538,camp — chardonnay
1751035,camp chardonnay north coast,A,0.575,3,227538,camp — chardonnay
1116390,camp chardonnay north coast,A,0.655,4,227538,camp — chardonnay
406094,camp chardonnay north coast 2024 mwo 2024,A,0.603,6,227538,camp — chardonnay
1344228,camp craft cocktails dehydrated grapefruit garnish,D,0,0,0,""
3080940,camp cranberry martini kit,A,0.413,2,543227,martini — china martini
298327,camp crimson crush cranberry blonde,C2,0.248,2,0,""
439361,camp crimson ridge 473m,C2,0.390,2,0,""
3226717,camp cup white,A,0.588,3,227538,camp — chardonnay
4034187,camp de loste 2017 mas granier rood,A,0.459,3,1668058,domaine camp del mas — estelas
4034184,camp de loste 2018 mas granier rood,A,0.459,3,1668058,domaine camp del mas — estelas
