clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
2458821,marg becel original 225gr 8,C2,0.396,2,0,""
2454108,marg becel original 450gr 8,C2,0.396,2,0,""
2458823,marg becel proactiv 225gr 8,D,0,0,0,""
2327513,marg becel proactiv 450gr 8,D,0,0,0,""
2454099,marg girassol alteza 500gr 8,C2,0.271,2,0,""
2453450,marg planta kids 225gr 8,C2,0.383,2,0,""
2459270,marg planta original 1kg 6,D,0,0,0,""
2454374,marg planta original 225gr 8,C2,0.396,2,0,""
2455957,marg planta original 2kg 4,D,0,0,0,""
2455058,marg planta original 400gr 8,C2,0.396,2,0,""
2455966,marg planteiga csal 225gr 8,D,0,0,0,""
2454375,marg vaqueiro 1kg 16,D,0,0,0,""
2454376,marg vaqueiro 250gr 32,D,0,0,0,""
2454029,marg vaqueiro liquida 12,D,0,0,0,""
2455960,marg vaqueiro prof 66mg kg 16,D,0,0,0,""
2454203,marg vaqueiro profissional 25kg 4,D,0,0,0,""
3992149,margaca familia reserva rood,A,0.601,3,1212037,familia margaca sociedade agricola de pias — familia margaca reserva
4005716,margaca familia reserva wit,A,0.601,3,1212037,familia margaca sociedade agricola de pias — familia margaca reserva
319819,margadan clasica 200g,D,0,0,0,""
319909,margadan clasica 500g,D,0,0,0,""
1614344,margadrink cantarito 00 mix,D,0,0,0,""
3192600,margaine a brut rose nv,A,0.750,5,29365,a margaine — brut rose champagne
1643094,margaine brut premier cru,A,0.847,5,1392068,a margaine — brut rose champagne premier cru
1969524,margaine demisec,A,0.813,3,220933,a margaine — le demisec champagne premier cru
3583783,margalet,D,0,0,0,""
441799,margalet papillon,D,0,0,0,""
1718958,margalh blanc 2020 domaine bassac languedoc france,A,0.312,4,770929,domaine bassac — margalh blanc
1712870,margalh blanc 2021 domaine bassac languedoc france,A,0.312,4,770929,domaine bassac — margalh blanc
1711615,margalh blanc 2022,A,0.447,3,770929,domaine bassac — margalh blanc
3968650,margalh de bassac rose,A,0.480,2,779280,domaine bassac — margalh rose
3987245,margalh de bassac rouge,A,0.480,1,109924,domaine bassac — margalh rouge
1712921,margalh rouge 2020,A,0.447,3,109924,domaine bassac — margalh rouge
931956,margalida llompart blanc weisswein 2020 0,A,0.333,3,986237,macia batle — margalida llompart blanc
1988783,margalida llompart blanco 2022,A,0.420,1,986237,macia batle — margalida llompart blanc
932055,margalida llompart rosado 202122 0,A,0.378,3,687556,macia batle — margalida llompart rosado
1988781,margalida llompart rosado 2023,A,0.465,2,687556,macia batle — margalida llompart rosado
1988798,margalida llompart rouge,A,0.437,1,462601,macia batle — margalida llompart negre
930811,margalida llompart tinto 2017 0,A,0.420,2,462601,macia batle — margalida llompart negre
2858250,margalit cabernet franc 2020,A,0.805,5,427853,margalit winery — binyamina kadita cabernet franc
2858248,margalit cabernet sauvignon 2020,A,0.830,5,1091352,margalit winery — cabernet sauvignon
3693787,margalit cabernet sauvignon 2022,A,0.750,4,1091352,margalit winery — cabernet sauvignon
559619,margalit enigma,A,0.750,2,1120867,margalit winery — yair enigma
2858245,margalit enigma 2020,A,0.797,4,1120867,margalit winery — yair enigma
3700888,margalit enigma 2022,A,0.717,3,1120867,margalit winery — yair enigma
3700960,margalit merlot 2012,A,0.700,4,353112,margalit winery — kadita single vineyard merlot
3703026,margalit optima 2019,A,0.700,3,867165,margalit winery — optima zichron single vineyard
2858240,margalit paradigma 2019,A,0.775,2,775012,margalit winery — zichron single vineyard paradigma gsm
843103,margalit paradigma 2020,A,0.775,3,775012,margalit winery — zichron single vineyard paradigma gsm
3700873,margalit paradigma gsm 2015,A,0.718,2,775012,margalit winery — zichron single vineyard paradigma gsm
3693525,margalit riesling 2020,A,0.733,4,867136,margalit winery — riesling
3750196,margallo cantina leda,A,0.357,3,272370,antonella leda dittiri — margallo rosso
3769108,margallo isola dei nuraghi igt cantina leda,A,0.393,3,1347592,fattorie isola — kessa isola dei nuraghi vermentino
367158,margan botrytis semillon 2023,A,0.775,2,291424,margan — botrytis semillon
3586978,margan botrytis semillon 2024,A,0.775,3,291424,margan — botrytis semillon
469257,margan breaking ground 2022 chardonnay,A,0.860,5,1458439,margan — breaking ground chardonnay
469256,margan breaking ground 2022 rosato,A,0.780,5,1539211,margan — breaking ground rosato
469255,margan breaking ground 2023 albarino,A,0.780,4,1402813,margan — breaking ground albarino
469253,margan breaking ground 2023 barbera,A,0.860,5,1414104,margan — breaking ground barbera
469251,margan breaking ground 2023 cabernets,A,0.860,4,1665076,margan — breaking ground cabernets
467946,margan breaking ground 2024 albarino,A,0.780,4,1402813,margan — breaking ground albarino
467947,margan breaking ground 2024 barbera,A,0.860,5,1414104,margan — breaking ground barbera
467505,margan breaking ground 2024 cabernets,A,0.860,4,1665076,margan — breaking ground cabernets
785864,margan cabernet sauvignon 2022 12 bottles,A,0.743,6,405181,margan — cabernet sauvignon
629840,margan ceres hill albarino,A,0.800,3,1675299,margan — ceres hill albarino
785863,margan ceres hill albarino 2024 6 bottles,A,0.777,6,1675299,margan — ceres hill albarino
629835,margan ceres hill barbera,A,0.800,3,1320489,margan — ceres hill barbera
785862,margan ceres hill barbera 2022 6 bottles,A,0.777,6,1320489,margan — ceres hill barbera
1002500,margan ceres hill semillon 2018,A,0.860,6,1193333,margan — ceres hill semillon
3564975,margan chardonnay 2022,A,0.847,6,32521,margan — chardonnay
2665417,margan chardonnay 2022,A,0.767,4,32521,margan — chardonnay
3587182,margan chardonnay 2022,A,0.847,6,32521,margan — chardonnay
3335542,margan chardonnay 2022,A,0.767,3,32521,margan — chardonnay
785861,margan chardonnay 2024 12 bottles,A,0.703,6,32521,margan — chardonnay
629798,margan fordwhich shiraz,C2,0.083,1,0,""
785860,margan fordwich hill chardonnay 2022 6 bottles,A,0.428,6,1094288,anderson hill — o series chardonnay
785859,margan fordwich hill semillon 2022 6 bottles,A,0.777,6,210021,margan — fordwich hill semillon
785857,margan fordwich hill shiraz 2022 6 bottles,A,0.777,6,1261877,margan — fordwich hill shiraz
3603118,margan hunter valley australia,A,0.515,2,786489,margan — beltree vineyard hunter cabernet
3587212,margan merlot 2021,A,0.847,6,32525,margan — merlot
3564974,margan merlot 2021,A,0.847,6,32525,margan — merlot
2665413,margan merlot 2021,A,0.767,4,32525,margan — merlot
3342868,margan merlot 2021,A,0.767,3,32525,margan — merlot
785856,margan merlot 2022 12 bottles,A,0.703,6,32525,margan — merlot
467944,margan offsweet vermouth,D,0,0,0,""
785855,margan rose 2024 12 bottles,A,0.612,6,903370,margan — rose bramble
629788,margan rose bramble,A,0.880,4,903370,margan — rose bramble
3335781,margan semillon 2022,A,0.717,1,1193333,margan — ceres hill semillon
2665418,margan semillon 2022,A,0.707,2,1283923,margan — mfw iii semillon chardonnay
3564976,margan semillon 2022,A,0.787,4,1283923,margan — mfw iii semillon chardonnay
1009148,margan semillon 2023,A,0.717,2,1193333,margan — ceres hill semillon
785847,margan semillon 2023 12 bottles,A,0.653,4,1193333,margan — ceres hill semillon
389175,margan semillon 2024,A,0.717,3,1193333,margan — ceres hill semillon
3586977,margan semillon 2024,A,0.787,4,1283923,margan — mfw iii semillon chardonnay
928280,margan semillon nv,A,0.717,1,1193333,margan — ceres hill semillon
629833,margan shiraz,A,0.800,3,400941,margan — shiraz
3542494,margan shiraz 2021,A,0.847,6,400941,margan — shiraz
388263,margan shiraz 2021,A,0.767,5,400941,margan — shiraz
3342896,margan shiraz 2021,A,0.767,3,400941,margan — shiraz
2665409,margan shiraz 2021,A,0.767,4,400941,margan — shiraz
3564973,margan shiraz 2021,A,0.847,6,400941,margan — shiraz
785846,margan shiraz 2022 12 bottles,A,0.703,6,400941,margan — shiraz
629841,margan timbervines chardonnay,A,0.800,1,1290268,margan — timbervines chardonnay
785845,margan timbervines shiraz 2019 6 bottles,A,0.753,4,1394555,margan — timbervines shiraz
629837,margan timbervines tempranillo graciano shiraz,A,0.620,1,1394555,margan — timbervines shiraz
785844,margan verdelho 2023 12 bottles,A,0.703,4,32520,margan — verdelho
2429608,margao alho 17g,D,0,0,0,""
2430473,margao caril 35g,D,0,0,0,""
2430481,margao cominhos moidos 14g,D,0,0,0,""
2430479,margao cominhos moidos 50g,D,0,0,0,""
2430497,margao cravinho grao 22g,D,0,0,0,""
2430500,margao cravinho moido 14g,D,0,0,0,""
2430477,margao curcuma acarao das indias 17g,D,0,0,0,""
2429700,margao ervas provence 7g,D,0,0,0,""
2430482,margao ervas provence 9g,D,0,0,0,""
2430487,margao gengibre moido 12g,D,0,0,0,""
2430491,margao noz moscada moida 17g,D,0,0,0,""
2430489,margao oregaos 4g,D,0,0,0,""
2430484,margao pimenta branca moida 17g,D,0,0,0,""
2429533,margao pimenta doce colorau,C2,0.263,2,0,""
2430486,margao pimenta preta moida 17g,D,0,0,0,""
2430495,margao pimentao doce colorau 35g,D,0,0,0,""
2430493,margao piri piri moido 16g,D,0,0,0,""
2430475,margao piripiri malagueta grao 10g,D,0,0,0,""
3772745,margapoti liquore di arance cl 50,D,0,0,0,""
3772746,margapoti liquore di limoni cl 50,D,0,0,0,""
3772325,margapoti liquore di mandarini cl 50,D,0,0,0,""
3772748,margapoti liquore di mandorla cl 50,D,0,0,0,""
3772747,margapoti liquore di mirto cl 50,D,0,0,0,""
1161658,margaret 2017,C2,0.450,1,0,""
819301,margaret 30th anniversary dinner intuition wine and kitchen subiaco,D,0,0,0,""
2842522,margaret blask 55 extra dry,C2,0.437,2,0,""
3101240,margaret cabernet sauvignon,A,0.800,3,1257995,margaret — cabernet sauvignon
3101242,margaret chardonnay,A,0.800,3,869858,margaret — chardonnay
3111827,margaret chardonnay,A,0.800,3,869858,margaret — chardonnay
1713496,margaret chenin blanc,A,0.880,4,1110921,margaret — chenin blanc
3121718,margaret chenin blanc,A,0.880,4,1110921,margaret — chenin blanc
2879935,margaret dress,D,0,0,0,""
2537770,margaret holmes diced rutabagas 145 oz,D,0,0,0,""
2497125,margaret holmes seasoned butter beans 15 oz,D,0,0,0,""
2500227,margaret holmes seasoned italian green beans 28 oz,D,0,0,0,""
2508936,margaret holmes seasoned mixed greens 27 oz,D,0,0,0,""
2541335,margaret holmes seasoned pinto beans 15 oz,D,0,0,0,""
2553324,margaret holmes seasoned with vidalia onions pinto beans 27 oz,D,0,0,0,""
2906790,margaret lustr sto brut nature 2022,B,0.433,4,0,""
3121719,margaret pinotage,A,0.800,3,953791,margaret — pinotage
733273,margaret river,A,0.750,2,1692749,margaret river dreaming — chardonnay
579498,margaret river and great southern red dozen,A,0.525,3,1696629,margaret river dreaming — shiraz
427717,margaret river brewhouse megsy 4pk,D,0,0,0,""
603948,margaret river cabarnet sauvignon 2023 personliche empfehlung,A,0.511,5,258631,margaret river estate — show reserve cabernet sauvignon
291662,margaret river cabarnet sauvignon 2023 personliche empfehlung,A,0.511,5,258631,margaret river estate — show reserve cabernet sauvignon
4039038,margaret river cabarnet sauvignon 2023 persoonlijke aanbeveling,A,0.511,5,258631,margaret river estate — show reserve cabernet sauvignon
3332321,margaret river cabernet sauvignon 2022 6 pack,A,0.757,4,1298395,margaret river dreaming — cabernet sauvignon
3618718,margaret river cabernet sauvignon 2022 6 pack,A,0.757,6,1298395,margaret river dreaming — cabernet sauvignon
291797,margaret river cabernet sauvignon 2023,A,0.760,5,1298395,margaret river dreaming — cabernet sauvignon
4039095,margaret river cabernet sauvignon 2023,A,0.760,5,1298395,margaret river dreaming — cabernet sauvignon
603945,margaret river cabernet sauvignon 2023,A,0.760,5,1298395,margaret river dreaming — cabernet sauvignon
3618719,margaret river chardonnay 2023 6 pack,A,0.648,6,1692749,margaret river dreaming — chardonnay
3332322,margaret river chardonnay 2023 6 pack,A,0.728,4,1692749,margaret river dreaming — chardonnay
2552863,margaret river clairault chardonnay 2017,A,0.565,4,248163,clairault — chardonnay
748334,margaret river cleanskins cab merlot,A,0.467,2,1298395,margaret river dreaming — cabernet sauvignon
762808,margaret river cleanskins cab sauv,A,0.467,2,1298395,margaret river dreaming — cabernet sauvignon
762550,margaret river cleanskins sbs,C2,0.343,1,0,""
2680000,margaret river drift xpa,A,0.504,2,258631,margaret river estate — show reserve cabernet sauvignon
1212995,margaret river guide,A,0.579,2,258631,margaret river estate — show reserve cabernet sauvignon
2556209,margaret river haley and lex cabernet 2017,A,0.511,4,258631,margaret river estate — show reserve cabernet sauvignon
821890,margaret river icons 6 bottle edition with plumm glass offer,B,0.388,3,0,""
2680001,margaret river in the pines neipa,A,0.473,2,1692749,margaret river dreaming — chardonnay
632838,margaret river long lunch,A,0.504,2,258631,margaret river estate — show reserve cabernet sauvignon
843452,margaret river organic wines orange,A,0.515,3,1692749,margaret river dreaming — chardonnay
611562,margaret river organic wines orange wine,A,0.508,2,1692749,margaret river dreaming — chardonnay
2709661,margaret river premium white wine eco gift box wrapped,A,0.502,3,1692749,margaret river dreaming — chardonnay
2708629,margaret river premium wine mixed 6 pack value,C2,0.445,2,0,""
811332,margaret river sparkling 6 pack,A,0.497,4,1099760,twisted river — sparkling
1918230,margaret river wine region map,A,0.515,2,1692749,margaret river dreaming — chardonnay
2106269,margaret rose liquor cocktail glass by duncan miller,A,0.433,4,1577681,margaret — rose
1713494,margaret sauvignon blanc,A,0.880,4,1243247,margaret — sauvignon blanc
3101235,margaret sauvignon blanc,A,0.880,4,1243247,margaret — sauvignon blanc
3184895,margaret shiraz,A,0.800,3,1148812,margaret — shiraz
2868830,margaret south africa sauvignon blanc 2025,A,0.655,5,1243247,margaret — sauvignon blanc
3695441,margarethe bowl,D,0,0,0,""
4014092,margarethenhof ayler kupp riesling alte reben feinherb 2021,A,0.788,5,1569836,margarethenhof — ayler kupp riesling alte reben feinherb
4000985,margarethenhof ayler kupp riesling auslese 2021,A,0.783,5,252458,margarethenhof — ayler kupp riesling auslese
3987366,margarethenhof ayler kupp riesling gg 2020,A,0.783,4,1468343,margarethenhof — ayler kupp riesling gg
4014089,margarethenhof ayler kupp riesling gg 2022,A,0.783,4,1468343,margarethenhof — ayler kupp riesling gg
4049263,margarethenhof chardonnay reserve 2021,A,0.855,6,1501972,margarethenhof — chardonnay reserve
4014093,margarethenhof cremant riesling brut,A,0.880,5,1435420,margarethenhof — cremant riesling brut
2845435,margarethenhof elbing der spritzeg 2024,A,0.612,4,1452029,margarethenhof — der sommer
4000996,margarethenhof grauburgunder reserve 2020,A,0.775,4,1575900,margarethenhof — grauburgunder reserve
3987307,margarethenhof grauer burgunder trocken 2023,A,0.648,4,493563,margarethenhof — weisser burgunder trocken
3987309,margarethenhof kalkstein elbling 2023,A,0.775,3,1343213,margarethenhof — kalkstein elbling
4049257,margarethenhof pinot noir,A,0.855,5,649634,margarethenhof — pinot noir trocken
3985056,margarethenhof pinot noir 2022,A,0.750,4,649634,margarethenhof — pinot noir trocken
4049265,margarethenhof riesling gg 2021,A,0.830,6,793497,margarethenhof — riesling
4049264,margarethenhof riesling kabinett 2022,A,0.855,7,762652,margarethenhof — riesling kabinett
4000984,margarethenhof riesling schiefermineral 2023,A,0.775,4,1384184,margarethenhof — schiefermineral riesling
4014090,margarethenhof saar riesling 2024,A,0.775,4,793510,margarethenhof — saar riesling
4014091,margarethenhof vom fels reserve pinot noir trocken 2021,A,0.633,5,649634,margarethenhof — pinot noir trocken
4049258,margarethenhof von fels reserva,A,0.680,5,1095633,margarethenhof — rieslingkonener fels
4049261,margarethenhof weissburgunder,A,0.847,5,1426711,margarethenhof — weissburgunder reserve
3987373,margarethenhof weissburgunder reserve 2020,A,0.775,4,1426711,margarethenhof — weissburgunder reserve
3963176,margarethenhof weisser burgunder trocken 2024,A,0.780,4,493563,margarethenhof — weisser burgunder trocken
1307419,margaretts vineyard 2023 cabernet sauvignon,A,0.860,6,561672,margaretts vineyard — cabernet sauvignon
1307882,margaretts vineyard 2023 merlot,A,0.855,6,729570,margaretts vineyard — merlot
3109257,margaretts vineyard cabernet sauvignon,A,0.800,5,561672,margaretts vineyard — cabernet sauvignon
