clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
208591,dom 30k blue razz cherry vape 30000 puffs,C2,0.340,2,0,""
208590,dom 30k blueberry raspberry vape 30000 puffs,C2,0.239,2,0,""
208589,dom 30k strawberry kiwi vape 30000 puffs,C2,0.223,2,0,""
158493,dom 30k triple mango vape 30000 vape,C2,0.375,2,0,""
208588,dom 30k watermelon ice vape 30000 puffs,C2,0.214,2,0,""
1171948,dom afonso henriques vm,A,0.600,2,1357655,dom henriques — chardonnay
1261870,dom alain cailbourdin le cris puillly fume 2022,B,0.432,3,0,""
2751569,dom alain graillot crozes hermitage blanc 2023,A,0.588,5,49069,alain graillot — crozeshermitage blanc
376459,dom alain graillot crozes hermitage rouge 2022,A,0.683,5,250178,alain graillot — hermitage
2620137,dom alain graillot hermitage rouge 2022,A,0.743,4,250178,alain graillot — hermitage
376408,dom alain graillot la guiraude crozes hermitage rouge 2022,A,0.638,5,250178,alain graillot — hermitage
2752002,dom alain graillot saint joseph rouge 2022,A,0.588,4,226412,alain graillot — crozeshermitage rouge
376404,dom alain pautre chablis blanc 2023,A,0.718,4,408310,domaine alain pautre — chablis
1711249,dom alain voge les vielles fontaines cornas 2015,A,0.726,5,18601,alain voge — les vieilles fontaines cornas
839265,dom anne gros jeanpaul tollot cotes du brian la 5050 20,A,0.587,3,77428,domaine anne gros jeanpaul tollot — la 5050
1396115,dom annesophie labourons,C2,0.250,2,0,""
1720616,dom annesophie lalchimiste,D,0,0,0,""
3445591,dom antoine lienhardts emphase pinot noir 2022,A,0.503,3,1407518,antoine — antoine
342663,dom antonin guyon corton clos du roy grand cru 2020,A,0.763,5,1387421,domaine antonin guyon — domaine hippolyte thevenot corton grand cru clos du roy
1638827,dom antonin guyon corton clos du roy grand cru 2020,A,0.763,5,1387421,domaine antonin guyon — domaine hippolyte thevenot corton grand cru clos du roy
1637528,dom antonin guyon pernand vergelesses 1er cru sous fretille 2015,A,0.478,6,1243059,domaine antonin guyon — bourgogne aligote
342302,dom antonin guyon pernand vergelesses 1er cru sous fretille 2015,A,0.478,6,1243059,domaine antonin guyon — bourgogne aligote
356598,dom antonin savignylesbeaune les goudelettes 2017,A,0.598,2,206248,domaine antonin guyon — savignylesbeaune les goudelettes
1645012,dom antonin savignylesbeaune les goudelettes 2017,A,0.598,2,206248,domaine antonin guyon — savignylesbeaune les goudelettes
839365,dom arlaud bourgogne rouge roncevie 22,A,0.718,5,42666,domaine arlaud — bourgogne roncevie
839417,dom arlaud morey st denis 1er cru millandes 21,A,0.607,4,73556,domaine arlaud — les millandes moreystdenis 1er cru
839274,dom arlaud morey st denis 22,A,0.484,3,1376483,a arlaud — nuitssaintgeorges
1696582,dom armand rousseau charmeschambertin grand cru gevrey chambertin 2002,A,0.644,6,22364,domaine armand rousseau — chambertin grand cru
1696564,dom armand rousseau clos de la roche grand cru gevrey chambertin 1999,A,0.661,6,117520,domaine armand rousseau — clos de la roche grand cru
1497990,dom armand rousseau gevrey chambertin 1 cru lavaux st jacques 2000 bourgogne frankrig,A,0.522,5,91359,domaine armand rousseau — gevreychambertin 1er cru lavaux st jacques
1711522,dom armand rousseau lavaux saintjacques premier cru gevrey chambertin 2002,A,0.587,7,22364,domaine armand rousseau — chambertin grand cru
1696144,dom arnouxlachaux echezeaux grand cru vosneromanee 2009,A,0.619,5,79465,domaine arnouxlachaux — echezeaux grand cru les rouges
4011853,dom au durre 29 years francis darroze 1978,C2,0.094,1,0,""
1695718,dom auguste clape cornas 2016,A,0.753,5,24471,auguste clape — cornas
1694931,dom auguste clape renaissance cornas 2016,A,0.777,5,24474,auguste clape — renaissance cornas
1201643,dom aupilhac cuvee aupilhac bio montpeyroux 2023,B,0.151,4,0,""
890864,dom b b,D,0,0,0,""
1345748,dom b b liqueur,E,0,0,0,""
2900275,dom b b liqueur,E,0,0,0,""
2510312,dom b b liqueur,E,0,0,0,""
1635405,dom b b liqueur,E,0,0,0,""
177256,dom b b pour,D,0,0,0,""
3684862,dom bachelet gevrey chambertin vielles vignes 2020,B,0.435,3,0,""
2543963,dom bachey legros chass mont 6 case 1 er cru,B,0.248,4,0,""
978627,dom bacheylegros santenay 1er cru clos de gravieres,A,0.680,5,772617,domaine bacheylegros — santenay 1er cru clos des gravieres
1702293,dom bagnol cassis blanc,A,0.713,3,108644,bagnol — cassis
2328297,dom bardo albarino 2022,A,0.317,4,1656380,albarino brothers — albarino
1073689,dom barraud la verchere pouilly fuisse,A,0.560,2,899300,domaine barraud — pouilly fuisse clos reyssier
117407,dom barraud macon vergisson la roche,A,0.500,2,281100,domaine barraud — maconvergisson la roche
839278,dom barraud pouillyfuisse la verchere vv 22,A,0.707,1,144631,domaine barraud — pouillyfuisse vieilles vignes la verchere
2474931,dom barroche fiancee r22,A,0.515,2,7829,domaine la barroche — fiancee chateauneufdupape
