clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
1684064,fala te,A,0.675,2,1217127,fala de min — godello
2312218,falada 3as tolotetos,D,0,0,0,""
2284745,falada 3ascsatos,D,0,0,0,""
2221910,falada 6 palack borhoz,D,0,0,0,""
2313319,falada 6 palackos,D,0,0,0,""
2312223,falada 6os ketsoros csatos,D,0,0,0,""
2312225,falada 6os ketsoros tolotetos,D,0,0,0,""
2419661,falafal kebab,D,0,0,0,""
3623768,falafel,D,0,0,0,""
3693625,falafel 250g,D,0,0,0,""
1058739,falafel almanara com 12 unidades,D,0,0,0,""
1366222,falafel ardo 1 kg,D,0,0,0,""
3644841,falafel balls 4 kg,D,0,0,0,""
3709755,falafel balls 500g,D,0,0,0,""
1828504,falafel balls vegan,D,0,0,0,""
2776648,falafel balls vegetarian,D,0,0,0,""
2993729,falafel beans,D,0,0,0,""
2915861,falafel bezglutenowy bio 240 g florentin,D,0,0,0,""
3031068,falafel bio traditional 220g,D,0,0,0,""
2264360,falafel charola becky kmd 30pz,D,0,0,0,""
2270999,falafel csicseriborso fasirtpor ataisz,D,0,0,0,""
2818228,falafel dips platter 24pcs,D,0,0,0,""
2818227,falafel dips platter small,D,0,0,0,""
3148587,falafel durum vgn,D,0,0,0,""
514321,falafel fermentation,A,0.508,2,536569,fermentation — komagatani chardonnay
1682574,falafel frozen 6pc pack,D,0,0,0,""
2816717,falafel green goddess vg,D,0,0,0,""
2272248,falafel jellegu vega fasirtpor vegabond,D,0,0,0,""
3148079,falafel kase vgn,D,0,0,0,""
3693624,falafel mediterranean 200g,D,0,0,0,""
902019,falafel mini brioche,D,0,0,0,""
904329,falafel minisemmel,D,0,0,0,""
1828328,falafel mix,D,0,0,0,""
2819162,falafel mix,D,0,0,0,""
3709284,falafel mix 180g,D,0,0,0,""
3694255,falafel mix 3 pack,D,0,0,0,""
3693621,falafel morrocan 200g,D,0,0,0,""
191875,falafel mundo vegetal,D,0,0,0,""
3163157,falafel nohut yesillik sogan sarmsak icerir,D,0,0,0,""
3704304,falafel platter,D,0,0,0,""
3654776,falafel powder 200g,D,0,0,0,""
1249836,falafel preparo em po gardenia grain dor,D,0,0,0,""
3165689,falafel salata,D,0,0,0,""
3147503,falafel salatas,D,0,0,0,""
3148681,falafel salatasi,D,0,0,0,""
2336813,falafel sandwich,D,0,0,0,""
2818438,falafel slider v,D,0,0,0,""
2818437,falafel sliders 12pcs,D,0,0,0,""
2818225,falafel v,D,0,0,0,""
3646869,falafel with mixed leaves 310g,D,0,0,0,""
2080611,falafel with sesame seeds 397g,D,0,0,0,""
904359,falafelballchen mit granatapfel,D,0,0,0,""
1616316,falafeles,D,0,0,0,""
1738886,falafelmel,D,0,0,0,""
1048588,falaia,A,0.580,2,902457,corbucci — falaia
3968246,falaise,C2,0.483,1,0,""
3421544,falaise 2019 ad vinum,A,0.483,3,808075,falaise blanche — rouge
3298095,falaise 2020 ad vinum,A,0.775,3,1616883,ad vinum — falaise
3579072,falaises du blanc nez,C2,0.238,1,0,""
505851,falanghina,D,0,0,0,""
1773653,falanghina,D,0,0,0,""
3779936,falanghina,D,0,0,0,""
3324546,falanghina,D,0,0,0,""
3398591,falanghina,D,0,0,0,""
4074928,falanghina,D,0,0,0,""
2063701,falanghina,D,0,0,0,""
1428577,falanghina,D,0,0,0,""
3848909,falanghina,D,0,0,0,""
3861245,falanghina 2018 contrada salandra,A,0.610,2,196640,contrada salandra — falanghina campi flegrei
2067641,falanghina 2021,C2,0.450,2,0,""
1162098,falanghina 2022,A,0.530,3,1218634,rotola — falanghina
3860634,falanghina 2023 antonio caggiano,A,0.475,2,1113894,antonio pisante — falanghina
3860412,falanghina 2023 igp la guardiense,B,0.243,3,0,""
3835321,falanghina 2024,A,0.530,2,1103375,iovine — falanghina
3777896,falanghina 2024,C2,0.450,1,0,""
