num,clean_id,loja_nome,destino_atual,score_atual,wl,vivino_id_atual,vivino_nome_atual,llm
1,3474570,02 1,D,0,0,0,,X
2,3034035,02 patriarche heritage brut 02,A,0.485,1,102722,patriarche pere fils — heritage brut,W|Patriarche|Heritage Brut|FR|s|V|Champagne
3,3481688,020 makis theofylaktopoulos greek 19392023 ar,C2,0,1,0,,X
4,3059497,0375 fanagoria ice wine riesling 0375 in gb,A,0.507,1,54310,fanagoria — ice wine riesling,W|Fanagoria|Ice Wine Riesling|??|w|N
5,1441041,1 guest 300623 2pm,D,0,0,0,,X
6,1625287,1 stk oddenmrke,D,0,0,0,,X
7,2773772,10 sweet desire with birthday balloon,D,0,0,0,,X
8,3867832,100 2019,D,0,0,0,,X
9,223181,100 days cabernet sauvignon 2023,A,0.523,4,1153523,stranger days — cabernet sauvignon,W|??|100 Days Cabernet Sauvignon|US|r|N
10,2356755,100 hectares grande reserva sousao tinto 2021,A,0.823,7,826775,100 hectares — sousao,W|100 Hectares|Grande Reserva Sousao|PT|r|V|Dão
11,2195725,100 hectares pack estrelas 3x,A,0.612,4,708253,100 hectares — filigrana,X
12,1877744,100 zena crna ovca,A,0.674,2,1586627,vinarija 100 zena — crna ovca franc cabernet franc,X
13,883970,10th street distillers cut peated single malt,D,0,0,0,,S
14,9155,116 2016,D,0,0,0,,X
15,3877551,12 2008,D,0,0,0,,X
16,2294958,12er vorteilsweinpaket mandus primitivo di manduria doc pietra pura,C2,0.285,2,0,,W|Pietra Pura|Mandus Primitivo di Manduria|IT|r|V|Primitivo di Manduria
17,3892588,150ssr4,D,0,0,0,,X
18,8357,1516 weihenstephaner 1516 kellerbier,D,0,0,0,,X
19,149082,16oz cocktail shaker,D,0,0,0,,X
20,1990716,1707 chardonnay barrica,B,0.258,3,0,,W|??|Chardonnay Barrica|ES|w|N
21,3922805,170g70g,D,0,0,0,,X
22,2861161,18 inches cream hug me bear,D,0,0,0,,X
23,396962,1800 coconut silver,D,0,0,0,,S
24,2758533,18th cafe lcc perrier carbonated mineral water l46380 france,D,0,0,0,,X
25,1180388,19 crimes pinot noir punishmen,A,0.739,4,1706929,19 crimes — tho delamy pinot noir,W|19 Crimes|Pinot Noir|AU|r|V|South Eastern Australia
26,784340,19 crimes red blend 12 bottles,A,0.730,3,406577,19 crimes — red blend,W|19 Crimes|Red Blend|AU|r|V|South Eastern Australia
27,703575,1937 ferdinand pieroth riesling feine auslese fruchtig,A,0.462,5,1184963,pieroth — cuvee ferdinand,W|Ferdinand Pieroth|Riesling Feine Auslese Fruchtig|DE|w|V|Mosel
28,2755236,1953 valpolicella bolla,C2,0.450,2,0,,W|Bolla|Valpolicella|IT|r|V|Valpolicella
29,1364244,1957 salice gran riserva leone de castris 0,B,0.424,4,0,,W|Leone de Castris|Salice Gran Riserva|IT|r|V|Salice Salentino
30,3885119,1958 2021,D,0,0,0,,X
31,703469,1958 weinkellerei jakob undernach riesling qba trocken,B,0.435,5,0,,W|Weinkellerei Jakob Undernach|Riesling QBA Trocken|DE|w|V|Pfalz
32,2748675,1959 vino negri castel chiuro,A,0.383,1,342287,nino negri — castel chiuro valtellina,W|Castel Chiuro|Vino Negri|IT|r|N
33,1328166,1961 chianti melini 0,C2,0.450,2,0,,W|Melini|Chianti|IT|r|V|Chianti
34,2729761,1961 gattinara borgomanero,A,0.358,1,239218,cantina sociale di gattinara — gattinara,W|Borgomanero|Gattinara|IT|r|V|Gattinara
35,952761,1965 viuva gomes colares tinto rotulo branco,A,0.623,4,1671812,viuva gomes — viticultores branco,W|Viuva Gomes|Colares Tinto Rotulo Branco|PT|r|V|Colares
36,1321865,1966 barolo riserva cantine piero lanzavecchia,A,0.429,2,444297,piero lanzavecchia — barolo riserva,W|Cantine Piero Lanzavecchia|Barolo Riserva|IT|r|V|Barolo
37,1320851,1968 chianti riserva fattoria di tizzano,A,0.380,3,1174587,fattoria di lucignano — chianti riserva,W|Fattoria di Tizzano|Chianti Riserva|IT|r|V|Chianti Classico
38,1833099,1969 mayacamas california mountain cabernet sauvignon jg92,A,0.623,6,1592460,california winery — cabernet sauvignon,W|Mayacamas Vineyards|California Mountain Cabernet Sauvignon|US|r|V|Napa Valley
39,2747795,1973 barolo fratelli serio battista borgogno,A,0.533,2,61263,fratelli serio battista borgogno — barolo,W|Fratelli Serio Battista Borgogno|Barolo|IT|r|V|Barolo
40,906991,1973 madeira doliveiras boal,A,0.855,6,263003,doliveiras — boal madeira,W|Doliveiras|Boal Madeira|PT|f|V|Madeira
41,1321929,1973 vernaccia vini classici di sardega,B,0.342,3,0,,W|Vini Classici di Sardegna|Vernaccia|IT|w|V|Vernaccia di San Gimignano
42,911017,1974 udaca tinto,A,0.847,4,1519787,udaca — tinto,W|Udaca|Tinto|PT|r|N
43,2739578,1975 valpolicella masi,C2,0.445,1,0,,W|Masi|Valpolicella|IT|r|V|Valpolicella
44,1800189,1976 chateau rieussec sauternes,A,0.735,5,72160,chateau rieussec — carmes de rieussec sauternes,W|Chateau Rieussec|Sauternes|FR|w|V|Sauternes
45,2750590,1978 barbaresco michele varaldo,A,0.333,2,21474,michele chiarlo — barbaresco reyna,W|Michele Varaldo|Barbaresco|IT|r|V|Barbaresco
46,2045053,1978 paul jaboulet hermitage la chapelle,A,0.751,5,6016,paul jaboulet aine — hermitage la petite chapelle,W|Paul Jaboulet Aîné|Hermitage La Chapelle|FR|r|V|Hermitage
47,3931916,1980s glenfarclas 10 yo,D,0,0,0,,S
48,3933089,1980s martell 3 star vs,B,0.406,3,0,,S
49,2870736,1982 joseph phelps insignia napa valley,A,0.585,5,9076,joseph phelps vineyards — insignia,W|Joseph Phelps Vineyards|Insignia|US|r|V|Napa Valley
50,2882197,1983 domaine de la romanee conti la tache grand cru monopole,B,0.282,6,0,,W|Domaine de la Romanée-Conti|La Tâche Grand Cru Monopole|FR|r|V|Vosne-Romanée
51,2741758,1985 barolo marchesi di barolo,A,0.500,2,1181842,marchesi di barolo — valletta barolo,W|Marchesi di Barolo|Barolo|IT|r|V|Barolo
52,720813,1985 furst lowenstein hallgarten schonhell rheingau rieslingkabinett,A,0.641,4,674048,furst lowenstein — l hallgarten schonhell,W|Fürst Löwenstein|Hallgarten Schönhell Riesling Kabinett|DE|w|V|Rheingau
53,2731308,1985 merlot flli gaspardo,C2,0.167,2,0,,W|F.lli Gaspardo|Merlot|IT|r|N
54,2743508,1985 vino nobile di montepulciano innocenti,C2,0.409,2,0,,W|Innocenti|Vino Nobile di Montepulciano|IT|r|V|Vino Nobile di Montepulciano
55,2933134,1986 domaine de la romanee conti echezeaux burgundy,B,0.140,5,0,,W|Domaine de la Romanée-Conti|Echézeaux Grand Cru|FR|r|V|Vosne-Romanée
56,1320904,1986 saintemilion prince gonzalve du puy,A,0.421,3,415364,domaine du prince — lou prince,W|Chateau Prince Gonzalve du Puy|Saint-Émilion|FR|r|N
57,953024,1988 capitulo branco,A,0.747,4,931301,capitulo 7 — pedro ximenez,W|Capitulo|Branco|PT|w|N
58,1809573,1990 vouvray reserve personelle chateau gaudrelle,A,0.513,6,262978,cave des producteurs de vouvray — reserve des producteurs vouvray,W|Chateau Gaudrelle|Vouvray Reserve Personelle|FR|w|V|Vouvray
59,3874496,1992 4,D,0,0,0,,X
60,2746759,1992 chateauneuf du pape la nerthe,A,0.583,3,348100,negociant eleveur chateauneuf du pape — chateuneuf du pape,W|La Nerthe|Châteauneuf-du-Pape|FR|r|V|Châteauneuf-du-Pape
61,2757476,1992 muscat de rivesaltes domaine mas amiel,B,0.403,6,0,,W|Domaine Mas Amiel|Muscat de Rivesaltes|FR|d|V|Rivesaltes
62,2756472,1993 brunello di montalcino fattoria campogiovanni,B,0.396,3,0,,W|Fattoria Campogiovanni|Brunello di Montalcino|IT|r|V|Brunello di Montalcino
63,719742,1993 ladoucette pouillyfume sauvignon blanc,A,0.670,3,15814,de ladoucette — pouillyfume,W|Domaine Ladoucette|Pouilly-Fumé|FR|w|V|Pouilly-Fumé
64,791063,1993 mayacamas cabernet sauvignon napa valley,A,0.610,6,6871,mayacamas — cabernet sauvignon,W|Mayacamas Vineyards|Cabernet Sauvignon|US|r|V|Napa Valley
65,699590,1994 hans wirsching riesling spatlese fruchtig,A,0.654,6,216091,hans wirsching — iphofer juliusechterberg riesling spatlese trocken,W|Hans Wirsching|Riesling Spätlese Fruchtig|DE|w|V|Franconia
66,2743284,1995 sauternes premier cru chateau suduiraut,A,0.475,5,310160,duc de sauternes — sauternes,W|Chateau Suduiraut|Sauternes Premier Cru|FR|w|V|Sauternes
67,1683650,1996 louis roederer vintage brut,A,0.820,6,823974,louis roederer — brut champagne vintage,W|Louis Roederer|Vintage Brut|FR|s|V|Champagne
68,1703642,1997 drc domaine de la romanee conti romaneeconti grand cru rp95pts,B,0.354,5,0,,W|Domaine de la Romanée-Conti|Romanée-Conti Grand Cru|FR|r|V|Vosne-Romanée
69,948699,1997 luis pato vinhas velhas tinto,B,0.597,4,0,,W|Luis Pato|Vinhas Velhas|PT|r|V|Bairrada
70,269973,1997 numero 1 blanc maison dourthe,A,0.612,4,931757,numero 20 — blanc,W|Maison Dourthe|Numéro 1 Blanc|FR|w|N
71,971095,1997 tba no 6 chardonnay,B,0.165,3,0,,W|??|TBA No. 6 Chardonnay|??|w|N
72,911297,1998 herdade do esporao aragones tinto,A,0.572,3,16603,herdade do peso — aragones alentejo tinto,W|Herdade do Esporão|Aragones Tinto|PT|r|V|Alentejo
73,311792,1998 montus madiran future arrival,A,0.512,3,21650,chateau montus — madiran,W|Montus|Madiran|FR|r|N
74,2986752,1999 henri giraud fut de chene 1999,C2,0.479,1,0,,W|Henri Giraud|Fut de Chêne|FR|s|V|Champagne
75,3698332,2 2,D,0,0,0,,X
76,2392525,2 layer lucky bamboo,D,0,0,0,,X
77,136706,2001 chateau coutet barsac,A,0.735,5,28499,chateau coutet — cuvee madame barsac,W|Chateau Coutet|Barsac|FR|w|V|Barsac
78,1347735,2001 la spinetta barbaresco valeirano vursu vigneto,A,0.765,6,1510426,la spinetta — vursu barbaresco valeirano riserva,W|La Spinetta|Barbaresco Valeirano Vursu Vigneto|IT|r|V|Barbaresco
79,2539968,2002 chateau giscours 3eme cru classe margaux,A,0.622,7,7510,chateau giscours — chateau giscours grand cru classe,W|Chateau Giscours|Margaux 3eme Cru Classé|FR|r|V|Margaux
80,2390737,2002 chateau troplong mondot saint emilion grand cru classe,A,0.682,7,52487,chateau troplong mondot — saintemilion grand cru premier grand cru classe,W|Chateau Troplong Mondot|Saint-Émilion Grand Cru Classé|FR|r|V|Saint-Émilion
81,3626901,2004 glaetzer shiraz barossa valley,A,0.565,6,315996,glaetzer — shiraz,W|Glazer|Shiraz|AU|r|V|Barossa Valley
82,1464037,2005 frederic magnien latriciereschambertin grand cru,B,0.358,4,0,,W|Frédéric Magnien|Gevrey-Chambertin Grand Cru|FR|r|V|Gevrey-Chambertin
83,2982532,2006 egon muller scharzhofberger riesling auslese mosel,A,0.681,5,872422,egon muller scharzhof — scharzhofberger riesling auslese goldkapsel,W|Egon Müller Scharzhof|Scharzhofberger Riesling Auslese|DE|w|V|Mosel
84,1578796,2006 pingus,C2,0.425,1,0,,W|Pingus|Dominio de Pingus|ES|r|V|Ribera del Duero
85,1085419,2007 gantenbein pinot noir graubunden,A,0.633,5,79174,daniel marta gantenbein — pinot noir,W|Gantenbein|Pinot Noir Graubünden|CH|r|V|Graubünden
86,822037,2007 moss wood cabernet sauvignon,A,0.780,5,21728,moss wood — cabernet sauvignon,W|Moss Wood|Cabernet Sauvignon|AU|r|V|Margaret River
87,407088,2008 dom perignon rose lady gaga edition luminous,A,0.691,5,1399410,dom perignon — lady gaga edition rose champagne,W|Dom Pérignon|Rosé Lady Gaga Edition Luminous|FR|s|V|Champagne
88,755607,2008 perrier jouet belle epoque,B,0.383,5,0,,W|Perrier-Jouët|Belle Époque|FR|s|V|Champagne
89,751675,2008 schramsberg brut rose sparkling wine north coast,A,0.618,6,220715,schramsberg — brut sonoma coast,W|Schramsberg Vineyards|Brut Rosé Sparkling Wine|US|s|V|North Coast
