clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
2899093,cru 2022 albarino edna valley,A,0.323,3,1210214,valley oak winery — albarino
1858983,cru 2023 albarino edna valley,A,0.323,3,1210214,valley oak winery — albarino
4091902,cru adelaide hills sauvignon blanc 2025,A,0.563,6,69080,queen adelaide — sauvignon blanc
1930519,cru albarino edna valley,A,0.413,4,1210214,valley oak winery — albarino
271881,cru aperif fortified chardonnay case only,B,0.170,4,0,""
398205,cru arroyo seco unoaked chardonnay 2021,A,0.338,5,1114035,garibaldi — terroir chardonnay seco
86249,cru arroyo seco unoaked chardonnay 2022,B,0.258,3,0,""
3371687,cru barrejats 1995 chateau barrejats,B,0.467,3,0,""
3371688,cru barrejats 1998 chateau barrejats,B,0.467,3,0,""
672042,cru beaujolais 2 pack,C2,0.264,1,0,""
55819,cru beaujolais 2015 superstar 2pack marcel lapierre morgon clos de la roilette fleurie,B,0.229,3,0,""
2712239,cru beaujolais 2015 superstar 2pack marcel lapierre morgon clos de la roilette fleurie,A,0.309,4,66180,domaine marcel lapierre — morgon
154280,cru bourgeoi 2016,B,0,3,0,""
3519022,cru bourgeois,C2,0.490,1,0,""
1011350,cru bourgeois,C2,0.490,2,0,""
2413824,cru bourgeois,C2,0.490,1,0,""
2400525,cru bourgeois,C2,0.490,1,0,""
154650,cru bourgeois 2005,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
154411,cru bourgeois 2009,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
154419,cru bourgeois 2010,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
148359,cru bourgeois 2012,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
148427,cru bourgeois 2015,A,0.537,4,796319,chateau vernon — medoc cru bourgeois
153071,cru bourgeois 2015,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
2400390,cru bourgeois 2016,C2,0.457,2,0,""
157339,cru bourgeois 2017,A,0.537,4,796319,chateau vernon — medoc cru bourgeois
147775,cru bourgeois 2017,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
155142,cru bourgeois 2018,A,0.537,4,796319,chateau vernon — medoc cru bourgeois
111483,cru bourgeois 2018,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
153015,cru bourgeois 2018,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
80387,cru bourgeois 2019,A,0.537,3,796319,chateau vernon — medoc cru bourgeois
143439,cru bourgeois 2019,A,0.537,4,796319,chateau vernon — medoc cru bourgeois
139714,cru bourgeois 2019,A,0.537,4,796319,chateau vernon — medoc cru bourgeois
145388,cru bourgeois 2020,A,0.537,4,796319,chateau vernon — medoc cru bourgeois
127374,cru bourgeois 2021 chateau labegorce 0,B,0.295,3,0,""
4065155,cru bourgeois chateau lachenaye 1985 frankrijk bordeaux rood,B,0.253,3,0,""
4065158,cru bourgeois chateau larosetrintaudon 1990 frankrijk bordeaux rood,B,0.205,4,0,""
4067574,cru bourgeois chateau verdignan,A,0.310,3,796319,chateau vernon — medoc cru bourgeois
3082593,cru bourgeois chateau verdignan,A,0.310,3,796319,chateau vernon — medoc cru bourgeois
1117675,cru bourgeois chateau verdignan,A,0.390,3,796319,chateau vernon — medoc cru bourgeois
3519021,cru bourgeois exceptionnel,C2,0.282,1,0,""
1459083,cru bourgeois exceptionnel 2019 margaux,B,0.197,3,0,""
127383,cru bourgeois exceptionnel 2021 chasse spleen 0,C2,0.161,2,0,""
1700960,cru bourgeois exeptionelle 2019 kasse med 14 flasker,C2,0.108,2,0,""
604120,cru bourgeois haut medoc 2021,B,0.497,3,0,""
292008,cru bourgeois haut medoc 2021,B,0.497,3,0,""
4038822,cru bourgeois haut medoc 2021,B,0.497,3,0,""
604122,cru bourgeois haut medoc 2021 personliche empfehlung,B,0.209,3,0,""
291606,cru bourgeois haut medoc 2021 personliche empfehlung,B,0.219,3,0,""
4039002,cru bourgeois haut medoc 2021 persoonlijke aanbeveling,B,0.209,3,0,""
148383,cru bourgeois hautmedoc 2014,A,0.548,3,33129,chateau pontoise cabarrus — hautmedoc cru bourgeois superieur
1781485,cru bourgeois medoc 2019,C2,0.485,2,0,""
4040913,cru bourgeois medoc 2019 chateau la gorce,A,0.371,3,796319,chateau vernon — medoc cru bourgeois
4040914,cru bourgeois medoc 2020 chateau la gorce,A,0.371,3,796319,chateau vernon — medoc cru bourgeois
2608582,cru bourgeois mixed selection 2019,C2,0.265,2,0,""
