clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
2229279,mal acabado pet nat,A,0.510,2,1286324,phulia — mal acabado pet nat
2206668,mal acompanhado tinto 2021,A,0.430,2,1607256,jca vinhos — mal acompanhado
1113550,mal arreado malbec 2021,A,0.775,5,1082070,mal arreado — malbec
1113624,mal arreado red blend 2022,A,0.860,5,1409413,mal arreado — red blend
1127771,mal arreado white blend 2022,A,0.860,5,1415924,mal arreado — white blend
3639466,mal bek rose,A,0.487,2,180953,le fleurs du mal — rose
3635926,mal bek rose,A,0.487,2,180953,le fleurs du mal — rose
1594634,mal bien 100 agave spirit black tape papalote joven 467,D,0,0,0,""
1594631,mal bien 100 agave spirit green tape tobasiche joven 48,D,0,0,0,""
1612032,mal bien alto isidro rodriguez,C2,0.373,2,0,""
3216526,mal bien arroqueno ramos,D,0,0,0,""
322206,mal bien azul de ciro javier barranca,C2,0.356,2,0,""
1385804,mal bien chucho poncho sanchez mexicano barril agave spirit,D,0,0,0,""
1385792,mal bien ciro javier barranca papalote agave spirit,C2,0.340,2,0,""
3215730,mal bien ciro javier barranca papalote cupreata agave spirit,C2,0.333,2,0,""
470223,mal bien el tigre agua bendita de las verdes matas papalote de maestro tio genio garcia,C2,0.317,2,0,""
3216529,mal bien espadin by felix ramirez,D,0,0,0,""
3216972,mal bien espadin by lucio morales lopez,D,0,0,0,""
3215708,mal bien espadin quinceanera cortes,D,0,0,0,""
3215813,mal bien felix ramirez arroqueno destilado de agave,C2,0.346,2,0,""
2945751,mal bien isidiro rodriguez manso michoacan mexico,D,0,0,0,""
3216528,mal bien jabali and espadin,D,0,0,0,""
787377,mal bien javier ciro barranca papalote joven destilado de agave black tape,D,0,0,0,""
2849093,mal bien limon,D,0,0,0,""
1605980,mal bien manso isidro rodriguez,C2,0.240,2,0,""
1272785,mal bien mexicano barril chucho pancho sanchez agave spirit,C2,0.150,2,0,""
649632,mal bien mexicano by victor emanuel ramos,C2,0.173,2,0,""
711293,mal bien mexicano by victor emanuel ramos,C2,0.356,2,0,""
993680,mal bien papalote black tape joven sonido,D,0,0,0,""
105046,mal bien papalote calzada,D,0,0,0,""
3216521,mal bien papalote capon,D,0,0,0,""
3167302,mal bien papalote joven barranca,C2,0.033,2,0,""
3167299,mal bien papalote joven gutierrez,C2,0.078,2,0,""
3216302,mal bien quiote de alto,D,0,0,0,""
711560,mal bien tepextate by felipe ageo cortes,C2,0.356,2,0,""
322207,mal bien tequilero de victor emanuel ramos,D,0,0,0,""
1074865,mal bien tequilero ramos,D,0,0,0,""
434703,mal bien tequilero rodriguez,D,0,0,0,""
3167291,mal bien tequilero rodriguez,C2,0.038,1,0,""
3216244,mal bien tigre,C2,0.433,2,0,""
3216522,mal bien tobaxiche,D,0,0,0,""
3167290,mal bien tobaxiche ramos,C2,0.038,1,0,""
1604280,mal bien tobaxiche victor emanuel ramos,D,0,0,0,""
3215731,mal bien tomas emiliano gutierrez papalote cupreata agave spirit,C2,0.350,2,0,""
2846531,mal bien victor and emanuel ramos espadin,C2,0.348,2,0,""
104633,mal bien victor emanuel ramos tobaxiche,C2,0.358,2,0,""
2257081,mal bien white tape zacate limon oaxaca,D,0,0,0,""
998493,mal bien zacate limon,D,0,0,0,""
3101683,mal bien zacate limon,C2,0.396,2,0,""
1406742,mal bien zacate limon,D,0,0,0,""
2844596,mal bien zacate limon,D,0,0,0,""
1604281,mal bien zacate limon,D,0,0,0,""
1523357,mal bien zacate limon agave agustifolio,D,0,0,0,""
317840,mal bien zacate limon de lucio morales lopez,D,0,0,0,""
1081704,mal bien zacate limon flask,D,0,0,0,""
3167289,mal bien zacate limon morales,C2,0.113,1,0,""
3216523,mal bien zacatoro,D,0,0,0,""
1976764,mal de amores,D,0,0,0,""
789931,mal de cap rouge,A,0.563,1,1456838,mal puntuado — malbec
2078546,mal de epoca,D,0,0,0,""
1985753,mal paso 2021,A,0.508,3,1548867,paso a paso — malbec
1467119,mal paso 35gr 750cc,C2,0.413,2,0,""
1506901,mal paso 35o 750cc,C2,0.413,2,0,""
1422393,mal paso 40 750cc reservado,A,0.515,2,1579701,paso grande — reservado malbec
1467038,mal paso 40gr 750cc,C2,0.413,2,0,""
1350847,mal paso pedro jimenes,C2,0.271,2,0,""
1359922,mal paso pedro jimenez 40,C2,0.266,2,0,""
1422337,mal paso pedro jimenez 40 750cc,C2,0.245,2,0,""
1387652,mal paso pedro jimenez reservado 40o 750cc,C2,0.419,2,0,""
32972,mal puntuado cabernet franc,A,0.800,3,1547260,mal puntuado — cabernet franc
155104,mal puntuado malbec,A,0.800,3,1456838,mal puntuado — malbec
20141,mal puntuado rosado,A,0.880,4,1453417,mal puntuado — rosado
986206,mal puntuado rosado blend,A,0.768,4,1453417,mal puntuado — rosado
1283409,mala american tourister curio spiner preto tp,D,0,0,0,""
1282308,mala american tourister spinner 55 20 tsa curio pink,D,0,0,0,""
2079205,mala besta caino,A,0.450,2,1540288,besta — rose
2236591,mala castanha decorativa em madeira,C2,0.121,2,0,""
1373102,mala cesta vinicemi francie a italie,D,0,0,0,""
1326898,mala cinza de transportar 6 garrafas de vinho,C2,0.037,2,0,""
2513335,mala cocomayo,D,0,0,0,""
1227398,mala com 4 rodas tamanho p latcor preto,C2,0.233,2,0,""
773688,mala com espuma protetora 6 garrafas cor cinza,D,0,0,0,""
773596,mala com espuma protetora 6 garrafas cor preto,D,0,0,0,""
775357,mala com espuma protetora ez trip cinza 1 garrafa e 5 tacas,D,0,0,0,""
774068,mala com espuma protetora ez trip cinza 2 garrafas e 4 tacas,D,0,0,0,""
773597,mala com espuma protetora ez trip cinza 4 garrafas e 2 tacas,D,0,0,0,""
774347,mala com espuma protetora ez trip cinza 6 garrafas,D,0,0,0,""
774714,mala com espuma protetora ez trip preto 1 garrafa e 5 tacas,D,0,0,0,""
805954,mala com espuma protetora ez trip preto 2 garrafas e 4 tacas,D,0,0,0,""
774718,mala com espuma protetora ez trip preto 3 garrafas e 3 tacas,D,0,0,0,""
774744,mala com espuma protetora ez trip preto 4 garrafas e 2 tacas,D,0,0,0,""
774712,mala com espuma protetora ez trip preto 6 garrafas,D,0,0,0,""
774716,mala com espuma protetora ez trip preto 6 tacas,D,0,0,0,""
3385757,mala coste 2022,A,0.492,3,1369814,le coste — rosso r
3385767,mala coste 2023,A,0.492,3,1369814,le coste — rosso r
3239809,mala coste dourbie blanc organic,A,0.773,4,47696,dourbie — mala coste blanc
3312772,mala coste rouge domaine de la dourbie 2022 bio,A,0.511,5,1098517,chateau la coste — le rouge
884888,mala de bordo para 6 vinhos,C2,0.391,2,0,""
1246383,mala de viagem artrin polipropileno rodinhas 360 10kg rose akh3513 mp,D,0,0,0,""
1327261,mala de viagem para 1 case transbottle de 6 garrafas,C2,0.356,2,0,""
1327265,mala de viagem para 2 cases transbottle de 6 garrafas,C2,0.356,2,0,""
1280318,mala de viagem samsonite octo spinner 68 25 branco rep,B,0.432,3,0,""
1280571,mala de viagem samsonite spinner expvarro 75 28 preto,C2,0.353,2,0,""
885691,mala decorativa marilyn monroe 40x30 grande,D,0,0,0,""
2235953,mala dry red wine,A,0.565,3,1250881,fossa mala — prosecco extra dry
2236466,mala em rafia,D,0,0,0,""
1402999,mala fama cabernet sauvignon,A,0.538,3,174472,fossa mala — cabernet sauvignon
1370204,mala fama cacr 2021,B,0.300,3,0,""
1370202,mala fama cs 2020,B,0.358,3,0,""
1370197,mala fama cs x12,C2,0.300,2,0,""
1400995,mala fama ps garcia,A,0.417,2,1505990,ps garcia — mala fama cabernet sauvignon
2019337,mala feminista,D,0,0,0,""
3837841,mala femmena aglianico brut rose magnum telaro,B,0.281,5,0,""
3803807,mala femmena spumante brut rosato cantine telaro,A,0.453,4,565432,spumante dolce — spumante dolce
3803816,mala femmena spumante brut rosato magnum cantine telaro,A,0.443,4,565432,spumante dolce — spumante dolce
2236465,mala floral,C2,0.383,2,0,""
2428700,mala herba,D,0,0,0,""
1391283,mala herba ancestral 2018,B,0.385,3,0,""
1257131,mala infantil joog panda 600 x 385 x 295mm src1,D,0,0,0,""
66269,mala junta cabernet franc reserva,A,0.673,4,261702,junta — gran reserva cabernet franc
15945,mala junta malbec reserva,A,0.633,4,488392,junta — momentos reserva malbec
1335068,mala kaplicka 2025,D,0,0,0,""
1248270,mala latcor com 4 rodas tamanho grande preta 701bd28,D,0,0,0,""
1246608,mala latcor com 4 rodas tamanho m preta 701bd24,D,0,0,0,""
910541,mala lazenne wine check p12 garrafas,D,0,0,0,""
2077880,mala lengua un retraro de pablo de rokha,D,0,0,0,""
2080219,mala letra,C2,0.383,2,0,""
28014,mala luna x1,A,0.492,2,74524,luna di luna — moscato
37841,mala luna x3,A,0.492,2,74524,luna di luna — moscato
37724,mala luna x6,A,0.492,2,74524,luna di luna — moscato
166246,mala maria cabernet franc,A,0.638,3,1314589,maria da fe — syrah cabernet franc
1591330,mala nevina sv ante 2022 saint hills,A,0.308,2,232294,saints hills — mala nevina
2085162,mala noche y otras aventuras ilegales,C2,0.365,2,0,""
2079514,mala onda,A,0.733,2,1467005,la onda — la mala cabernet sauvignon syrah
2016886,mala ostia jamilena,D,0,0,0,""
1258311,mala para carrinhos fun hot wheels com rampa ate 20un hwcc14,D,0,0,0,""
1328635,mala para tacas 6 unidades,D,0,0,0,""
1260357,mala para viagem samsonite empire spinner tamanho m pink 102992l2491,C2,0.192,2,0,""
795546,mala para viagem vghome vinho 55cm un,B,0.214,3,0,""
610363,mala para vinhos 2 garrafas maligan,C2,0.365,2,0,""
1328629,mala para vinhos em couro 12 garrafas preta,C2,0.346,2,0,""
1328632,mala para vinhos em couro 6 garrafas preta,C2,0.348,2,0,""
1245794,mala para vinhos em viagem para 6 garrafas preta 23721,C2,0.338,2,0,""
1245808,mala para vinhos em viagem para12 garrafas preta 29715,C2,0.330,2,0,""
1327193,mala pequena de mao cinza transportar 2 garrafas e 4 tacas,B,0.365,3,0,""
1327190,mala pequena de mao cinza transportar 3 tacas e 3 garrafas,B,0.365,3,0,""
1327183,mala pequena de mao cinza transportar 4 garrafas e 2 tacas,B,0.365,3,0,""
1327187,mala pequena de mao cinza transportar 5 tacas e 1 garrafa,B,0.365,3,0,""
1327200,mala pequena de mao cinza transportar 6 garrafas,B,0.377,3,0,""
1243407,mala pequena de mao cinza transportar 6 tacas,B,0.377,3,0,""
1327210,mala pequena de mao preta transportar 2 garrafas e 4 tacas,B,0.365,3,0,""
1327208,mala pequena de mao preta transportar 3 tacas e 3 garrafas,B,0.365,3,0,""
1327204,mala pequena de mao preta transportar 4 garrafas e 1 tacas,B,0.365,3,0,""
1327206,mala pequena de mao preta transportar 4 tacas e 2 garrafas,B,0.365,3,0,""
1327219,mala pequena de mao preta transportar 6 garrafas,B,0.377,3,0,""
1327222,mala pequena de mao preta transportar 6 tacas,B,0.377,3,0,""
3461966,mala peruviana,D,0,0,0,""
3476308,mala peruviana,D,0,0,0,""
3477106,mala peruviana,D,0,0,0,""
3476865,mala peruviana dreat earth,D,0,0,0,""
3500412,mala peruviana dreat fire,D,0,0,0,""
3476866,mala peruviana dreat fire,D,0,0,0,""
3500417,mala peruviana dreat red,C2,0,1,0,""
3458365,mala peruviana dreat red,C2,0,1,0,""
3500692,mala peruviana naked tomato,D,0,0,0,""
1882486,mala poklon vrecica evino,D,0,0,0,""
1312000,mala preta de transportar 6 garrafas de vinho,B,0.232,4,0,""
1280566,mala samsonite spinner 55 20 expvarro preto,D,0,0,0,""
1280569,mala samsonite varro spinner 55 20 exppeacock blue,D,0,0,0,""
2084598,mala sangre,C2,0.383,2,0,""
3618717,mala sparkling 6 pack,B,0.388,5,0,""
3332319,mala sparkling nv 6 pack,B,0.300,3,0,""
907314,mala transporte p6 grfs antichoque e isotermicas ccadeado,C2,0,1,0,""
324058,mala uva rosato by mala uva,A,0.397,4,592237,santa rosato — rosato
2232448,mala vermelha,D,0,0,0,""
2153280,mala viagem big boss,C2,0.254,2,0,""
2183290,mala vida,A,0.400,2,1655154,celler vida — vida
1992452,mala vida,A,0.463,3,1324554,fossa mala — novello
2139077,mala vida 0,A,0.400,2,1655154,celler vida — vida
1585391,mala vida 2016 bodegas arraez valencia spanien,B,0.267,5,0,""
2052081,mala vida blanco,B,0.447,3,0,""
462266,mala vida blanco,B,0.447,3,0,""
1464584,mala vida blanco,B,0.447,3,0,""
2082615,mala vida blanco,B,0.447,3,0,""
1946114,mala vida blanco arraez,A,0.465,3,825448,bodegas arraez — mala vida blanc
1335229,mala vida bodegas arraez,A,0.450,5,59496,bodegas arraez — mala vida
1931494,mala vida edicion limitada,A,0.505,2,1210371,buena vida — single vineyard edicion limitada malbec
1942120,mala vida edicion limitada 075,C2,0.438,2,0,""
607728,mala vida edicion limitada 2023,A,0.490,3,1210371,buena vida — single vineyard edicion limitada malbec
1339898,mala vida hrisny zivot,D,0,0,0,""
1339900,mala vida limited edition,A,0.375,2,1655154,celler vida — vida
1339902,mala vida magnum 1,C2,0.425,2,0,""
1931614,mala vida magnum estuche,D,0,0,0,""
1445136,mala vida red,B,0.447,3,0,""
462265,mala vida reposado,D,0,0,0,""
1968335,mala vida tinto,B,0.447,3,0,""
1463731,mala vida tinto,B,0.447,3,0,""
1902902,mala vida tinto 050,B,0.405,3,0,""
1946142,mala vida tinto 070,B,0.405,3,0,""
2315418,mala vida tinto blend 750 mlt 135,A,0.384,3,1088041,vida peter szekszard — vida cuvee red blend
1463677,mala vida tinto magnum,B,0.405,3,0,""
1966030,mala vida tinto magnum,B,0.405,3,0,""
762826,mala vida tinto roble 2023,B,0.433,5,0,""
1852084,mala vida x dos artes calavera extra anejo limited edition,C2,0.246,2,0,""
2051066,mala vidados artes extra anejo calavera bottle,D,0,0,0,""
2190609,mala vime bege picnic 37x27x17,C2,0.248,2,0,""
2341380,mala vime castanho 36x36x19,C2,0.271,2,0,""
956297,mala vingardevalise black p 12 garrafas,D,0,0,0,""
956296,mala vingardevalise burgundy p 12 garrafas,C2,0,1,0,""
