clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
1952063,col agria 680g,D,0,0,0,""
2294750,col agria kuhne 810g zk,D,0,0,0,""
3423682,col amovible la fraise 71bis,D,0,0,0,""
3939787,col arts ood cloudwater,C2,0.413,2,0,""
3022298,col baroc doc brut,C2,0.208,1,0,""
3022294,col baroc doc extra dry,C2,0.293,1,0,""
2028157,col blanca por kg,A,0.484,3,378920,domaine de la casa blanca — les escoumes blanc
3252565,col cacchio,D,0,0,0,""
1613480,col china,C2,0.383,2,0,""
1640103,col china 1kg,D,0,0,0,""
2996882,col chino u,C2,0.375,2,0,""
2004348,col corazon,A,0.508,2,1454294,tinto corazon — disfrutar
3812148,col credas extra brut rive di farra di soligo valdobbiadene docg,B,0.380,3,0,""
3800770,col credas prosecco valdobbiadene adami,A,0.518,2,1090731,col de roer — valdobbiadene prosecco superiore brut
2538573,col crst gr est cab l rel gold,D,0,0,0,""
2544807,col crst gr est red blend,C2,0.251,1,0,""
2557081,col crst gr est syrah,C2,0.108,1,0,""
1956990,col d orcia brunello di montalcino,B,0.391,3,0,""
2274414,col d orcia brunello di montalcino,B,0.391,3,0,""
549136,col d orcia brunello di montalcino 2018,A,0.468,6,1590133,maison orcia — vacqueyras
3856446,col d orcia brunello di montalcino brunello di montalcino docg 2016 vino rosso,B,0.433,5,0,""
809133,col d orcia brunello di montalcino docg,B,0.370,3,0,""
1151112,col d orcia brunello di montalcino docg 2018,B,0.448,5,0,""
953059,col d orcia brunello di montalcino docg italy 2019,B,0.434,5,0,""
3182036,col d orcia brunello montalcino,B,0.396,3,0,""
272612,col d orcia brunello nastagio docg 2013,B,0.370,4,0,""
1151109,col d orcia gineprone chianti docg 2022,A,0.540,3,105997,col dorcia — chianti gineprone
1946449,col d orcia nearco santantimo,D,0,0,0,""
272609,col d orcia olmaia cabernet doc 2014,B,0.370,5,0,""
1946448,col d orcia olmaia cabernet sauvignon,C2,0.147,1,0,""
1956997,col d orcia pinot grigio,B,0.396,3,0,""
2274365,col d orcia pinot grigio,B,0.396,3,0,""
12143,col d orcia poggio al vento brunello di montalcino docg ris 2006,B,0.416,5,0,""
12128,col d orcia poggio al vento brunello di montalcino docg ris 2008,B,0.416,5,0,""
619684,col d orcia rosso di montalcino,A,0.500,4,1590133,maison orcia — vacqueyras
2274277,col d orcia rosso di montalcino,A,0.500,3,1590133,maison orcia — vacqueyras
1956994,col d orcia rosso di montalcino,A,0.500,3,1590133,maison orcia — vacqueyras
549139,col d orcia rosso di montalcino 2021,A,0.497,5,1590133,maison orcia — vacqueyras
1151107,col d orcia rosso di montalcino doc 2023,A,0.465,5,1590133,maison orcia — vacqueyras
1530239,col darribat st chinian 2019,C2,0.223,2,0,""
1722228,col darribat st chinianroquebrun,C2,0,2,0,""
3722596,col de la bastia amarone della valpolicella docg,C2,0.383,1,0,""
3722597,col de la bastia doc valpolicella ripasso superiore,C2,0.400,1,0,""
3722599,col de la bastia doc valpolicella superiore,C2,0.423,1,0,""
3822040,col de la bastia valpolicella ripasso superiore doc fattori,C2,0.385,1,0,""
683795,col de lairole 2021 cave de roquebrun,A,0.523,1,15300,col dorcia — rosso di montalcino
129612,col de lutia bio prapian brut sacchetto 0,A,0.514,1,1371304,col de lutia — prosecco rose brut
138800,col de lutia docg extra dry sachetto 0,A,0.594,1,1246621,col de lutia — valdobbiandene prosecco superiore extra dry
1011889,col de lutia prosecco brut valdobbiadene sup,A,0.695,3,1371304,col de lutia — prosecco rose brut
1011874,col de lutia prosecco extra dry valdobbiaden,A,0.771,3,1246621,col de lutia — valdobbiandene prosecco superiore extra dry
1371113,col de lutia prosecco valdobbiadene docg extra brut prapian,A,0.644,2,1371304,col de lutia — prosecco rose brut
138967,col de lutia sacchetto 0,D,0,0,0,""
3031469,col de mar prosecco editie limitata pictata manual millesimato extra dry doc jeroboam,A,0.579,2,1457128,col mesian — prosecco millesimato extra dry
3031484,col de mar prosecco fara zahar refermentat in sticla brut doc,A,0.590,2,1716458,col de mar — prosecco mllesimato brut
3031482,col de mar prosecco millesimato conegliano valdobbiadene brut docg,A,0.808,2,1396846,col de mar — conegliano valdobbiadene prosecco superiore millesimato brut
3031492,col de mar prosecco millesimato extra dry doc,A,0.709,2,1457128,col mesian — prosecco millesimato extra dry
3031472,col de mar prosecco millesimato extra dry doc magnum,A,0.669,2,1457128,col mesian — prosecco millesimato extra dry
3031487,col de mar prosecco millesimato roze brut doc,A,0.705,2,1396846,col de mar — conegliano valdobbiadene prosecco superiore millesimato brut
3031494,col de mar prosecco millesimato venezia extra dry doc,A,0.669,2,1457128,col mesian — prosecco millesimato extra dry
139165,col de mez asolo soligo 0,D,0,0,0,""
700272,col de mez brut prosecco superiore docg,A,0.639,2,1219491,col de salici — asolo prosecco superiore extra brut
4091383,col de mez prosecco superiore docg extra dry,A,0.565,3,1246621,col de lutia — valdobbiandene prosecco superiore extra dry
1101735,col de mez prosecco superiore extra dry,A,0.753,2,1246621,col de lutia — valdobbiandene prosecco superiore extra dry
700084,col de mez prosecco superiore extra dry docg,A,0.690,2,1246621,col de lutia — valdobbiandene prosecco superiore extra dry
3823949,col de mez rose spumante extra dry soligo,A,0.665,3,1374539,col delle rose — spumante bianco millesimato extra dry
139162,col de mez spumante brut soligo 0,A,0.629,2,1595039,col mesian — blanc de noir spumante brut
3026750,col de mez valdobbiadene prosecco asolo white extra brut 115 075,A,0.597,2,1426635,col dacelum — asolo prosecco superiore extra brut
604944,col de mez vino spumante rosato extra dry,A,0.622,2,1223308,col divino — bianco extra dry spumante
1971897,col de orcia brunello di montalcino x,A,0.659,1,15298,col dorcia — brunello di montalcino
1971900,col de orcia chianti gineprone x,A,0.648,1,105997,col dorcia — chianti gineprone
2025402,col de orcia pinot grigio x,A,0.648,1,1360589,col mesian — pinot grigio
2025405,col de orcia poggio al vento brunello x,A,0.469,1,1112748,col dorcia — brun orcia
2025409,col de orcia rosso di montalcino x,A,0.710,1,15300,col dorcia — rosso di montalcino
1760152,col de rove bollicini di casa mia frizzante,A,0.583,3,1310324,col de lutia — frizzante
1758442,col de rove lugana doc 2023,A,0.468,4,1330439,chin col — chardonnay
1760164,col de rove marzemino legatura frizzante,A,0.595,3,1310324,col de lutia — frizzante
1760162,col de rove spago colderove frizzante,A,0.595,3,1310324,col de lutia — frizzante
1760165,col de rove spago rosso,A,0.553,2,1112612,col dorcia — rosso
2507098,col de salici brut prosecco,A,0.880,5,487151,col de salici — prosecco brut
3764350,col de salici brut rose,A,0.783,3,78927,col de salici — rose di salici brut
2490730,col de salici prosecco,A,0.830,2,1219491,col de salici — asolo prosecco superiore extra brut
1659730,col de salici prosecco brut,A,0.800,3,487151,col de salici — prosecco brut
3737098,col de salici prosecco brut,A,0.880,5,487151,col de salici — prosecco brut
3173262,col de salici prosecco brut,A,0.880,4,487151,col de salici — prosecco brut
1878791,col de salici prosecco brut docg 0,A,0.738,2,1219491,col de salici — asolo prosecco superiore extra brut
1795225,col de salici prosecco di valdobbiadene brut,A,0.841,3,1343084,col de salici — prosecco di valdobbiadene extra dry
3340181,col de salici prosecco di valdobbiadene docg spumante extra dry 2022,A,0.753,4,1343084,col de salici — prosecco di valdobbiadene extra dry
3340180,col de salici prosecco di valdobbiadene docg spumante extra dry 2023,A,0.753,4,1343084,col de salici — prosecco di valdobbiadene extra dry
3530727,col de salici prosecco di valdobbiadene docg spumante extra dry 2024,A,0.753,4,1343084,col de salici — prosecco di valdobbiadene extra dry
3341146,col de salici prosecco di valdobbiadene docg spumante extra dry 2024,A,0.753,2,1343084,col de salici — prosecco di valdobbiadene extra dry
2412255,col de salici prosecco di valdobbiadene superiore 2024,A,0.830,4,1343084,col de salici — prosecco di valdobbiadene extra dry
2483944,col de salici prosecco di valdobbiadene superiore docg brut 2023 italy,A,0.693,3,1343084,col de salici — prosecco di valdobbiadene extra dry
2572036,col de salici prosecco di valdobbiadene superiore docg brut 2024 italy,A,0.693,3,1343084,col de salici — prosecco di valdobbiadene extra dry
2493089,col de salici prosecco di valdobbiadene superiore dogc brut 2017 italy,A,0.693,3,1343084,col de salici — prosecco di valdobbiadene extra dry
