clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3872831,ren,D,0,0,0,""
3881849,ren,D,0,0,0,""
1864547,ren afslapning gave med selvforklelse,D,0,0,0,""
1413287,ren java,C2,0.375,2,0,""
1580399,ren java kaffe 500 gram,D,0,0,0,""
1413003,ren mrk chokolade tanzania 75,D,0,0,0,""
1853142,ren rahygge glogg ekstrakt,D,0,0,0,""
765992,rena 41,A,0.675,2,352073,chateau changyu rena — red
3759045,rena 41 mirto e rosa,D,0,0,0,""
765991,rena 41 mirto e rosa,D,0,0,0,""
3601457,rena geoffroy expression 1er cru brut nv,A,0.598,5,1715963,geoffroy — expression cumieres champagne premier cru
3601456,rena geoffroy expression 1er cru brut nv,A,0.598,5,1715963,geoffroy — expression cumieres champagne premier cru
3550832,rena geoffroy les houtrants complantas brut nature 1er cru nv,A,0.632,5,612209,geoffroy — les houtrants complantes brut nature champagne premier cru
3547494,rena geoffroy millesime 1er cru extra brut 2005,A,0.455,6,579507,millesime fr — champagne assemblage
1369014,renace 2017,C2,0.433,1,0,""
1352358,renace 2017,D,0,0,0,""
400814,renaceau chardonnay 2022 rosewood estates winery,A,0.397,3,965822,rosewood estates — renaceau vineyard chardonnay
2002546,renacer,D,0,0,0,""
2130506,renacer,D,0,0,0,""
144307,renacer,D,0,0,0,""
2588744,renacer 2007 punto final malbec classico,A,0.863,6,21643,renacer — punto final malbec classico
119745,renacer 2019 punto final reserva malbec mendoza,A,0.765,6,1606476,renacer — punto final reserva organico malbec
2501902,renacer and allegrini milamore 2014,A,0.545,3,742133,renacer — milamore
74079,renacer bequignol rose,A,0.800,2,1587934,renacer — bequignol rose
254994,renacer blend,A,0.750,2,1642014,renacer — blend 20 aniversario
29222,renacer cabernet frac 2020,A,0.583,4,1340114,renacer — calibre cabernet sauvignon
35373,renacer cabernet franc,A,0.800,3,780918,renacer — cabernet franc
296756,renacer cabernet franc,A,0.800,3,780918,renacer — cabernet franc
722119,renacer cabernet franc,A,0.880,4,780918,renacer — cabernet franc
999037,renacer cabernet franc 2020,A,0.835,6,780918,renacer — cabernet franc
202799,renacer cabernet franc caja x6,A,0.673,3,780918,renacer — cabernet franc
2536478,renacer cabernet franc gran punto final 2014,A,0.751,5,529425,renacer — punto final gran reserva cabernet franc
65065,renacer cabernet franc icono 2022,A,0.735,4,529425,renacer — punto final gran reserva cabernet franc
303811,renacer cabernet franc icono 2022,A,0.815,5,529425,renacer — punto final gran reserva cabernet franc
3122313,renacer cabernet punto final,A,0.780,3,380985,renacer — punto final cabernet sauvignon
1119743,renacer icon malbec 2018,A,0.693,6,332590,renacer — malbec
70659,renacer icono gran cabernet franc caja carton x3,A,0.563,4,780918,renacer — cabernet franc
103679,renacer icono gran cabernet franc caja carton x6,A,0.563,4,780918,renacer — cabernet franc
233019,renacer icono gran malbec caja carton x3,A,0.519,4,332590,renacer — malbec
165386,renacer icono gran malbec caja carton x6,A,0.519,4,332590,renacer — malbec
722117,renacer malbec,A,0.880,4,332590,renacer — malbec
296758,renacer malbec,A,0.800,3,332590,renacer — malbec
35372,renacer malbec,A,0.800,3,332590,renacer — malbec
998062,renacer malbec 2021,A,0.827,6,332590,renacer — malbec
23418,renacer malbec caja x6,A,0.633,3,332590,renacer — malbec
2511301,renacer malbec clasico punto final 2017,A,0.677,4,21643,renacer — punto final malbec classico
2479052,renacer malbec clasico punto final 2018,A,0.677,4,21643,renacer — punto final malbec classico
65055,renacer malbec icono 2022,A,0.613,4,332590,renacer — malbec
303809,renacer malbec icono 2022,A,0.693,5,332590,renacer — malbec
3132099,renacer malbec punto final,A,0.780,3,21643,renacer — punto final malbec classico
3131870,renacer malbec punto reserva,A,0.780,4,21645,renacer — punto final reserva malbec
2497023,renacer malbec renacer 2017,A,0.747,4,332590,renacer — malbec
2925098,renacer malbec repasso 2023,A,0.830,6,1194729,renacer — repasso blended malbec
100875,renacer malbec tope de gama,A,0.565,3,332590,renacer — malbec
118927,renacer merlot rosado,A,0.617,5,1509687,renacer — merlot rose
191546,renacer merlot rose,A,0.800,5,1509687,renacer — merlot rose
89886,renacer merlot rose 2022,A,0.775,6,1509687,renacer — merlot rose
202775,renacer merlotrose caja x6,C2,0.417,1,0,""
191331,renacer milamore,A,0.880,1,742133,renacer — milamore
35371,renacer milamore,D,0,0,0,""
1804572,renacer milamore,A,0.880,1,742133,renacer — milamore
44642,renacer milamore 2019,A,0.747,1,742133,renacer — milamore
245246,renacer milamore 2021,A,0.827,2,742133,renacer — milamore
1710387,renacer milamore amarone,A,0.650,1,742133,renacer — milamore
1119840,renacer milamore amarone 2021,A,0.693,4,742133,renacer — milamore
296761,renacer milamore blend,D,0,0,0,""
