clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
40469,mar 11 2026,A,0.667,1,1233696,vina mar — chardonnay
40468,mar 12 2026,A,0.667,1,1233696,vina mar — chardonnay
3837181,mar 16 2021,A,0.683,1,1135390,mar 7 — amontillado 8
3837180,mar 17 2021,A,0.683,1,1135390,mar 7 — amontillado 8
2395610,mar 2022,D,0,1,0,""
3385777,mar 2024,D,0,1,0,""
1668433,mar 27,D,0,0,0,""
1668510,mar 28,D,0,0,0,""
1668715,mar 30,D,0,0,0,""
1762772,mar 7 manzanilla pasada sherry,A,0.655,2,1169015,mar 7 — manzanilla
1762770,mar 7 manzanilla sherry,A,0.730,2,1169015,mar 7 — manzanilla
3539381,mar add on castillo de epifania rioja alta 2022 3btl,C2,0.387,2,0,""
3520984,mar add on chateau gigault cuvee viva 2014 1btl,B,0.376,3,0,""
3521326,mar add on el bombero 2023 3btl,C2,0.406,1,0,""
3520983,mar add on luigi e lucina pinot grigio 2023 3btl,A,0.493,2,1561708,tenuta da mar — pinot grigio
3539380,mar add on mcpherson full fifteen sparkling red 2022 2btl,B,0.410,3,0,""
3539383,mar add on son of red shiraz 2022 3btl,B,0.444,3,0,""
3539382,mar add on the waxed bat 2023 3btl,C2,0.354,1,0,""
3520901,mar add on von reben riesling 2022 3btl,C2,0.354,2,0,""
2728403,mar adentro,A,0.525,3,1255060,adentro — rosado
2104672,mar adentro godello,A,0.450,3,1255060,adentro — rosado
1935743,mar adentro godello,A,0.530,4,768869,adentro — torrontes
1314562,mar adentro vinho regional lisboa 2019,A,0.467,5,256491,adentro — malbec
3004724,mar adentro white,A,0.588,3,768869,adentro — torrontes
2079022,mar afuera,A,0.525,2,625069,afuera — rosado
2181220,mar cel blanco,A,0.558,1,1561708,tenuta da mar — pinot grigio
1435657,mar charlies,A,0.495,2,542500,charlies estate wines — shiraz cabernet
1960782,mar d nexus cabernet sauvignon,A,0.688,3,228963,nexus — cabernet sauvignon
2021956,mar d nexus merlot y cabernet franc,A,0.620,3,305348,nexus — cabernet merlot
2022071,mar d nexus merlot y cabernet sauvignon,A,0.620,3,228963,nexus — cabernet sauvignon
1960795,mar d nexus pinot noir,A,0.688,3,1333775,nexus — pinot noir
3715019,mar da palha 2009,B,0.400,3,0,""
3715021,mar da palha 2011,B,0.400,3,0,""
3696864,mar da palha 2016,B,0.400,3,0,""
2342102,mar da palha branco,A,0.530,3,846823,vale da palha — branco
2330744,mar da palha branco sauvignon blanc 2023,A,0.440,5,846823,vale da palha — branco
3714756,mar da palha rose 2021,A,0.460,5,730263,quinta de chocapalha — mar da palha dry rose
3715016,mar da palha sauvignon blanc 2018,B,0.405,5,0,""
2342103,mar da palha tinto,A,0.530,3,593018,vale da palha — tinto
2470714,mar da palha tinto,A,0.530,4,593018,vale da palha — tinto
2330747,mar da palha tinto 2020,A,0.515,4,593018,vale da palha — tinto
306079,mar de almas cabernet franc,A,0.728,2,1527385,mar y luna — cabernet franc
33860,mar de almas cabernet franc,A,0.648,1,1527385,mar y luna — cabernet franc
1542846,mar de amor,D,0,0,0,""
1492562,mar de anemonas 2018,A,0.542,1,57784,de mar — plavac
2053022,mar de argueso blanco,A,0.655,1,1544121,fons de mar — blanco
184764,mar de canto,D,0,0,0,""
68173,mar de canto cabernet franc,A,0.648,1,1527385,mar y luna — cabernet franc
