clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3263,lor,D,0,0,0,""
3480848,lor 10 52gr decaffeine blend ristretto,D,0,0,0,""
3467813,lor 10 52gr profondo blend lungo,D,0,0,0,""
3446192,lor a letat pur chateau yquem 2006,B,0.379,5,0,""
3446058,lor a letat pur chateau yquem 2006 expediable,B,0.359,5,0,""
2964673,lor agua micelar piel mixta,D,0,0,0,""
2889397,lor agua micelar piel mixta,D,0,0,0,""
3430643,lor blanc rhum carafe,E,0,0,0,""
3710544,lor cabernet 2,C2,0.275,1,0,""
3712233,lor cabernet single domain set with 2 glasses,C2,0.356,1,0,""
3466872,lor caps colombia utz 10pcx20,C2,0.373,2,0,""
3465837,lor caps esp 13 barista 10pcx20 int,C2,0.356,2,0,""
3466873,lor caps ristretto utz 10pcx20,C2,0.373,2,0,""
348895,lor chardonnay 2018,A,0.707,3,757638,cave lor du vent — chardonnay
2549569,lor de jean martell,D,0,0,0,""
3551777,lor de jean martell,D,0,0,0,""
1229873,lor de jean martell,D,0,0,0,""
3549122,lor de jean martell,D,0,0,0,""
2549547,lor de jean martell assemblage du lapin zodiac rabbit edition,D,0,0,0,""
15503,lor de jean martell crystal glasses gift set with engraving,D,0,0,0,""
15502,lor de jean martell with engraving,D,0,0,0,""
2549551,lor de jean martell zodiac edition assemblage du serpent zodiac snake edition,D,0,0,0,""
3069367,lor de lafaurie peyraguey sauternes,A,0.545,1,638895,clevens lor de bastor — sauternes
1432526,lor de lin chateauneufdupape,D,0,0,0,""
508980,lor de line chateauneufdupape,D,0,0,0,""
1942839,lor decaffeinato intensity 6 10 capsulas,D,0,0,0,""
69162,lor des basses ronces 2015,B,0.363,3,0,""
300916,lor des fous bourgogne pinot noir,A,0.697,6,410363,clos des fous — subsollum pinot noir
4057632,lor des garrigues,A,0.600,2,903600,domaine des garrigues — lirac
3418799,lor des garrigues 2020,A,0.583,3,903600,domaine des garrigues — lirac
4033403,lor des sables blend,A,0.508,2,157710,domaine la rose des sables — saintemilion
3522507,lor du paradis decade 20s,A,0.428,2,1392879,domaine du paradis — blanc du paradis
1188460,lor du puits,A,0.542,2,1510925,domaine du puits — saintveran
