clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3831494,fon malvazjia istrana 2021,C2,0,1,0,""
1814958,fonbadet 1983,A,0.513,3,713007,mahlerbesse — chateau fonbadet
1651029,fonbadet 2003,C2,0.433,2,0,""
3314609,fonbadet b,A,0.733,2,25718,chateau fonbadet — pauillac
3314570,fonbadet harmonie,A,0.508,2,25718,chateau fonbadet — pauillac
3314529,fonbadet la rosee,A,0.830,3,868827,chateau fonbadet — la rosee de fonbadet bordeaux
3314540,fonbadet les charmes,C2,0.433,2,0,""
3314569,fonbadet m,A,0.733,2,25718,chateau fonbadet — pauillac
487249,fonbadet pauillac 2018,A,0.813,5,25718,chateau fonbadet — pauillac
3188161,fonbadet pauillac 2019,A,0.733,3,25718,chateau fonbadet — pauillac
2835588,fonbel,C2,0.467,1,0,""
2524835,fonbel 2005 st emilion,A,0.470,5,570982,st georgesst emilion — vieux bordeaux
3296724,fonbel 2020 c12 stemilion,C2,0.172,2,0,""
3188340,fonbel saintemilion 2019,A,0.358,3,235596,union de producteurs de saintemilion — saintemilion
3188341,fonbel saintemilion 2022,A,0.358,3,235596,union de producteurs de saintemilion — saintemilion
913145,foncalieu cinsault nouveau monde pays doc 2021,A,0.543,5,1737569,foncalieu — nouveau monde rose
1396040,foncalieu combe rouge picpoul de pinet,B,0.636,4,0,""
559859,foncalieu coteaux denserune piquepoul rose 2024,A,0.693,6,125151,foncalieu — enseduna coteaux denserune cabernet franc
1494816,foncalieu exquise prestige rose,A,0.750,4,1638857,foncalieu — exquise prestige blanc
1396043,foncalieu injuste corbieres,A,0.730,3,176118,foncalieu — injuste
114311,foncalieu injuste red blend,A,0.713,3,176118,foncalieu — injuste
1396046,foncalieu la bastille carignan merlot,A,0.880,4,13933,foncalieu — la bastille carignan merlot
1395321,foncalieu la bastille colombard,A,0.767,2,71167,foncalieu — la bastille ugni blanc colombard
1239561,foncalieu la bastille rose,A,0.860,4,179676,foncalieu — la bastille cabernet rose
1239560,foncalieu la bastille ugni blanc colombard,A,0.880,4,71167,foncalieu — la bastille ugni blanc colombard
3038022,foncalieu lautantique sauvignon blanc,A,0.605,2,690213,foncalieu — lautantique sauvignon
