clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
337345,gra a gra pinot noir rosado 2012,A,0.615,4,1197943,le gra vineyard and winery — pinot noir
3352674,gra ancestral rouge petillant 2013,B,0.295,4,0,""
3665385,gra baby onesie,D,0,0,0,""
3139753,gra blommiga kakelklistermarken i pvc,D,0,0,0,""
3634634,gra chocolates 10 mini eggs,D,0,0,0,""
3634633,gra chocolates 20 mini eggs,D,0,0,0,""
3634668,gra chocolates birthday box,D,0,0,0,""
3633462,gra chocolates dubai egg,D,0,0,0,""
3634635,gra chocolates eggceptional dark egg,D,0,0,0,""
3665837,gra chocolates extrawdinary egg,D,0,0,0,""
3634669,gra chocolates lil bit caramel,D,0,0,0,""
3665835,gra chocolates lil bit salty egg,D,0,0,0,""
3665836,gra chocolates mint to be egg,D,0,0,0,""
3634636,gra chocolates nuts about you egg,D,0,0,0,""
3634671,gra chocolates sweet love,D,0,0,0,""
3669347,gra collection claddagh green stones earrings sterling silver,C2,0.326,2,0,""
3667149,gra collection four trinity knot celtic hairslide,C2,0.334,2,0,""
3668203,gra collection gold plated cubic zirconia clover design in circle earrings,C2,0.314,2,0,""
3668196,gra collection gold plated shamrock earrings,C2,0.345,2,0,""
3668194,gra collection gold plated shamrock with 3 cubic zirconia stones earrings,C2,0.315,2,0,""
3668191,gra collection gold plated trinity knot earrings,C2,0.334,2,0,""
3669105,gra collection harp with stones earrings sterling silver,C2,0.326,2,0,""
3669262,gra collection plain claddagh earrings sterling silver,C2,0.334,2,0,""
3669111,gra collection plain harp earrings sterling silver,C2,0.334,2,0,""
3669110,gra collection plain shamrock earrings sterling silver,C2,0.334,2,0,""
3669309,gra collection round claddagh with stone earrings sterling silver,C2,0.320,2,0,""
3669041,gra collection shamrock celtic hairslide,C2,0.360,2,0,""
3669085,gra collection shamrock green earrings sterling silver,C2,0.334,2,0,""
3669116,gra collection shamrock green single stone earrings sterling silver,C2,0.325,2,0,""
3669084,gra collection shamrock trinity earrings sterling silver,C2,0.334,2,0,""
3669131,gra collection shamrock with green stone earrings sterling silver,C2,0.320,2,0,""
3668189,gra collection silver plated 1 clear cubic zirconia stones clover earrings,C2,0.328,2,0,""
3668186,gra collection silver plated 1 green cubic zirconia stone clover earrings,C2,0.328,2,0,""
3668183,gra collection silver plated 4 green cubic zirconia stones clover earrings,C2,0.328,2,0,""
