clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
2821421,lam fong heong peah,D,0,0,0,""
4032676,lam nekfilet iers zwaar ontd,D,0,0,0,""
4032893,lam rugfilet,D,0,0,0,""
3806609,lama bianca 2017 feudo dugni,A,0.655,3,354617,feudo dugni — lama bianca
3797898,lama bianca vino bianco feudo dugni,A,0.450,3,34917,chateau bianca — chardonnay
3488042,lama brown 57x50x87,D,0,0,0,""
687270,lama carmenere 2021 tussock jumper,A,0.515,4,1176400,lama andina — reserva carmenere
3025982,lama cutit rezerva disc cuburi robot coupe cl 50,D,0,0,0,""
3846371,lama dei carvi chardonnay castel del monte doc 2022 rivera,A,0.332,3,1485635,bodegas lama — fino lama
3967554,lama dei corvi,A,0.507,2,394398,quercia dei corvi — montepulciano dabruzzo
3849822,lama dei corvi castel del monte doc chardonnay 2022,A,0.338,6,1485635,bodegas lama — fino lama
3846369,lama dei corvi chardonnay castel del monte doc 2022 15 rivera,A,0.331,5,1485635,bodegas lama — fino lama
3567305,lama delisle boucard bourgueil cuvee prestige 2018,A,0.654,6,483964,lame delisle boucard — domaine des chesnaies cuvee prestige bourgueil
3567306,lama delisle boucard bourgueil vieilles vignes 2021,A,0.693,6,1336041,lame delisle boucard — vieilles vignes bourgueil
1563743,lama di pietra nero di troia,A,0.621,3,1059304,lama di luna — san giorgi nero di troia
3678600,lama di pietra nero di troia,A,0.621,3,1059304,lama di luna — san giorgi nero di troia
2778034,lama di pietra nero di troia,A,0.621,2,1059304,lama di luna — san giorgi nero di troia
1649037,lama di pietra nero di troia,A,0.701,3,1059304,lama di luna — san giorgi nero di troia
3676661,lama di pietra nero di troia,A,0.621,4,1059304,lama di luna — san giorgi nero di troia
1646068,lama di pietra nero di troia,A,0.621,2,1059304,lama di luna — san giorgi nero di troia
1557239,lama di pietra nero di troia 2020,A,0.607,3,1059304,lama di luna — san giorgi nero di troia
3849127,lama di pietra nero di troia igp 2024,A,0.539,5,1059304,lama di luna — san giorgi nero di troia
3025978,lama rezerva pentru disc feliere robot coupe,D,0,0,0,""
3689046,lama tussock jumper carmenere,A,0.643,4,403829,tussock jumper — carmenere
1135590,lamabile del pozzo buono passito di moscatello igt,B,0.430,4,0,""
4029802,lamadoro puglia primitivo 2022,A,0.775,4,67615,lamadoro — puglia primitivo
4028230,lamadoro puglia primitivo 2023,A,0.775,4,67615,lamadoro — puglia primitivo
16156,lamadrid,D,0,0,0,""
802991,lamadrid 2022 malbec agrelo single vineyard,A,0.710,5,1466760,lamadrid — penon de agrelo malbec
2747877,lamadrid agrelo malbec,A,0.840,4,1466760,lamadrid — penon de agrelo malbec
1065876,lamadrid agrelo single vineyard reserva malbec 2022,A,0.783,7,1466760,lamadrid — penon de agrelo malbec
341033,lamadrid begani reserva 2020,A,0.595,5,66246,lamadrid — bonarda reserva single vineyard
403592,lamadrid begani reserva 2020,A,0.595,5,66246,lamadrid — bonarda reserva single vineyard
162467,lamadrid begani reserva red blend,A,0.576,4,1350970,bodega araoz de lamadrid — reserva red blend
1989752,lamadrid bonarda,A,0.830,4,220382,lamadrid — bonarda single vineyard
27543,lamadrid bonarda,A,0.750,3,220382,lamadrid — bonarda single vineyard
22239,lamadrid bonarda,A,0.830,5,220382,lamadrid — bonarda single vineyard
336801,lamadrid bonarda,A,0.750,3,220382,lamadrid — bonarda single vineyard
2619217,lamadrid bonarda,A,0.750,4,220382,lamadrid — bonarda single vineyard
1800882,lamadrid cabernet franc,A,0.750,3,1507909,lamadrid — penon de agrelo cabernet franc
3212547,lamadrid cabernet franc reserva 2019,A,0.827,6,224923,lamadrid — cabernet franc reserva single vineyard
2620771,lamadrid cabernet franc reserve 2022,A,0.790,5,1507909,lamadrid — penon de agrelo cabernet franc
