clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3548078,prucia plum liqueur,E,0,0,0,""
2212620,prucia plum liqueur,E,0,0,0,""
3617620,prucia plum liqueur,E,0,0,0,""
2843507,prudence,D,0,0,0,""
2480179,prudhon 2018 puligny montrchet 1er cru les enseigneres,A,0.426,4,32927,henri prudhon fils — pulignymontrachet les enseigneres
256881,prudhon bourgogne blanc en jorcul,A,0.827,5,878830,henri prudhon fils — bourgogne en jorcul
1481445,prudhon bourgogne blanc en jorcul 2023,A,0.813,6,878830,henri prudhon fils — bourgogne en jorcul
257123,prudhon bourgogne blanc jorcul,A,0.805,5,878830,henri prudhon fils — bourgogne en jorcul
1365066,prudhon bourgogne pinot noir,A,0.847,5,187410,henri prudhon fils — bourgogne pinot noir
2300381,prudhon chassagnemontrachet les chambres,A,0.515,2,1420438,chateau de chassagnemontrachet — les jardins chassagnemontrachet
1977780,prudhon henri 2020 saintaubin 1er cru sur gamay,B,0.442,7,0,""
1953799,prudhon henri 2020 saintaubin rouge cuvee les rougesgorges,A,0.738,6,289651,henri prudhon fils — cuvee les rougesgorges saintaubin premier cru
1976866,prudhon henri 2021 bourgogne aligote,A,0.840,6,724465,henri prudhon fils — bourgogne aligote
1976836,prudhon henri 2021 saintaubin,A,0.538,5,1390706,domaine robert prudhon — saintaubin
1946569,prudhon henri 2021 saintaubin rouge sur le sentier du clou vv,A,0.560,5,1398989,henri clerc — saintaubin 1er cru le sentier du clou
1954744,prudhon henri 2022 bourgogne rouge les charmeaux,A,0.835,6,271286,henri prudhon fils — bourgogne les charmeaux
2091352,prudhon les chenevottes 1er cru chassagne montrachet,A,0.617,4,402374,henri prudhon fils — chassagnemontrachet 1er cru les chenevottes
1832606,prudhon les enseigneres puligny montrachet,A,0.570,3,32927,henri prudhon fils — pulignymontrachet les enseigneres
257114,prudhon puligny montrachet les enseigneres,A,0.638,4,262464,chateau de puligny montrachet — saintromain les sous roches
257077,prudhon saint aubin 1er cru blanc les castets,A,0.522,5,423098,henri prudhon fils — saintaubin 1er cru les castets
256885,prudhon saint aubin 1er cru rouge le sentier vieilles vignes,A,0.537,6,329128,henri prudhon fils — vieilles vignes saintaubin 1er cru sur le sentier du clou
2300255,prudhon saint aubon rouge 1er cru les frionnes,A,0.572,4,569016,bernard prudhon — saintaubin 1er cru les frionnes
1772087,prudhon st aubin rouge les frionnes 1er cru,A,0.619,5,569016,bernard prudhon — saintaubin 1er cru les frionnes
1271594,prudhon st aubin sur gamay 2017,A,0.475,5,53839,henri prudhon fils — saintaubin 1er cru sur gamay
2252869,pruductos para un arcon navideno,D,0,0,0,""
1963452,prueba,D,0,0,0,""
122227,prueba,D,0,0,0,""
2265730,prueba,D,0,0,0,""
2044185,prueba,D,0,0,0,""
1946789,prueba,D,0,0,0,""
201266,prueba 1,A,0.725,2,1583249,piloto de prueba — blanco
1989472,prueba 1euro,C2,0.375,2,0,""
157239,prueba credito,A,0.463,3,554400,credito valtellinese — centenaria
2278441,prueba de azucar residual para vino,C2,0.403,2,0,""
1372992,prueba pedido argentina mendoza 1109,B,0.258,3,0,""
2083760,pruebalote 12000,D,0,0,0,""
1644381,pruebas e,D,0,0,0,""
1784385,pruet wines cabernet sauvignon reserve 2013,A,0.847,6,622128,pruet — reserve cabernet sauvignon
1135360,prugikott seotav 16tk lohnastatud vanilje latte,D,0,0,0,""
1135212,prugikott seotav 24tk lohnastatud vanilje latte,D,0,0,0,""
789330,prugna,D,0,0,0,""
2804192,prugna,D,0,0,0,""
1893855,prugna 0 roner,D,0,0,0,""
3743826,prugna elisir liquore,D,0,0,0,""
3743876,prugna of,D,0,0,0,""
1009203,prugna pflaumenlikor psenner,C2,0,1,0,""
3676970,prugnanello,C2,0.470,1,0,""
3844997,prugne con birbet rera d minot,D,0,0,0,""
2313300,prugneto romagna doc,C2,0.289,1,0,""
3671595,prugneto romagna doc sangiovese superiour 135 abv,B,0.362,3,0,""
1517347,prugneto sangiovese 1 romagna 2018,C2,0.363,2,0,""
1517348,prugneto sangiovese 37 romag2020,C2,0.158,2,0,""
1517354,prugneto sangiovese 372021,C2,0.167,2,0,""
1517357,prugneto sangiovese romagna,C2,0.388,1,0,""
283269,prugneto sangiovese romagna superiore,C2,0.400,2,0,""
1057301,prugneto sangiovese superiore nespoli,A,0.400,1,1602771,poderi dal nespoli — prugneto sangiovese superiore edizione limitata
3795478,prugnolo 2021 rainoldi valtellina superiore docg,A,0.534,6,7041,aldo rainoldi — prugnolo valtellina superiore
1391361,prugnolo boscarelli 2024 rosso di montepulciano,A,0.863,5,56548,boscarelli — rosso di montepulciano prugnolo
3765238,prugnolo nebbiolo rainoldi,B,0.414,4,0,""
1800616,prugnolo rosso di montepulciano boscarelli tuscany italy,A,0.486,4,598313,il prugnolo di capalbio — colline di maremma rosso
1887963,prugnolo rosso di montepulciano doc poderi boscarelli,A,0.486,5,598313,il prugnolo di capalbio — colline di maremma rosso
3764996,prugnolo rosso di montepulciano doc poderi boscarelli 2024,A,0.480,6,598313,il prugnolo di capalbio — colline di maremma rosso
701576,prugnolo valtellia superiore docg 2018,B,0,3,0,""
3305133,prugnolo valtelline superiore docg 2022,B,0,3,0,""
2496775,pruh sauvignon blanc domaine ciringa 2015,A,0.513,4,1366706,domaine ciringa — pruh sauvignon blanc
479355,pruh sauvignon blanc domaine ciringa 2020,A,0.513,5,1366706,domaine ciringa — pruh sauvignon blanc
3704943,pruim belle de louvain blend 17 season 21,D,0,0,0,""
3312996,pruim belle de louvain fruit lambic 3 fonteinen,D,0,0,0,""
3312995,pruim mirabelle fruit lambic 3 fonteinen,C2,0.373,2,0,""
3704941,pruim opal blend 22 season 22,D,0,0,0,""
3704942,pruim vroege tolse blend season 22,D,0,0,0,""
4045998,pruimen,D,0,0,0,""
4008963,pruimen zonder pit,D,0,0,0,""
3699403,prulke 13,D,0,0,0,""
3696422,prulke 16,D,0,0,0,""
2429386,prulke 2021,C2,0.450,1,0,""
3779692,prulke 2022,C2,0.450,1,0,""
1883503,prulke 2022,C2,0.450,1,0,""
140899,prulke 2022 zidarich,A,0.767,3,56219,zidarich — prulke
1883491,prulke 2022 zidarich,A,0.767,3,56219,zidarich — prulke
1091882,prulke zidarich,A,0.800,2,56219,zidarich — prulke
4025594,prullenbakje,D,0,0,0,""
4096922,prum essence riesling 2023 750ml,A,0.471,6,500759,riesling 57 — mosel
2468742,prum jj 1989 wehlener sonnenuhr riesling kabinett,A,0.689,5,1114906,weingut alfred prum — wehlener sonnenuhr riesling kabinett feinherb
2516371,prum jj 1990 graacher himmelreich riesling auslese,A,0.835,5,22475,sa prum — graacher himmelreich riesling auslese
2516366,prum jj 1990 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2563667,prum jj 2001 graacher himmelreich riesling spatlese,A,0.815,5,22471,sa prum — graacher himmelreich riesling spatlese
2482304,prum jj 2001 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2482303,prum jj 2001 wehlener sonnenuhr riesling spatlese,A,0.689,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2506520,prum jj 2002 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2499466,prum jj 2003 graacher himmelreich riesling auslese goldkapsel,A,0.688,4,22475,sa prum — graacher himmelreich riesling auslese
2501066,prum jj 2004 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2501067,prum jj 2004 wehlener sonnenuhr riesling spatlese,A,0.689,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
844162,prum jj 2005 bernkasteler badstube riesling spatlese,A,0.553,7,1171537,sa prum — bernkasteler lay riesling eiswein
2521136,prum jj 2005 graacher himmelreich riesling auslese,A,0.835,5,22475,sa prum — graacher himmelreich riesling auslese
2517811,prum jj 2005 graacher himmelreich riesling auslese,A,0.835,5,22475,sa prum — graacher himmelreich riesling auslese
2482277,prum jj 2005 graacher himmelreich riesling auslese goldkapsel,A,0.768,5,22475,sa prum — graacher himmelreich riesling auslese
2517792,prum jj 2005 wehlner sonnenuhr riesling auslese,A,0.495,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2501001,prum jj 2005 zeltinger sonnenuhr riesling auslese,A,0.682,7,1634334,joh jos prum — zeltinger sonnenuhr riesling auslese lange goldkapsel
2486409,prum jj 2007 graacher himmelreich riesling auslese,A,0.835,5,22475,sa prum — graacher himmelreich riesling auslese
2501103,prum jj 2007 graacher himmelreich riesling spatlese,A,0.815,5,22471,sa prum — graacher himmelreich riesling spatlese
2501791,prum jj 2008 graacher himmelreich riesling spatlese,A,0.815,5,22471,sa prum — graacher himmelreich riesling spatlese
2505336,prum jj 2008 wehlener sonnenuhr riesling kabinett,A,0.689,5,1114906,weingut alfred prum — wehlener sonnenuhr riesling kabinett feinherb
2563666,prum jj 2009 graacher himmelreich riesling auslese,A,0.835,5,22475,sa prum — graacher himmelreich riesling auslese
2521190,prum jj 2009 graacher himmelreich riesling kabinett,A,0.734,5,22475,sa prum — graacher himmelreich riesling auslese
2503461,prum jj 2009 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2501102,prum jj 2009 wehlener sonnenuhr riesling auslese goldkapsel,A,0.705,5,213891,joh jos prum — wehlener sonnenuhr riesling auslese goldkapsel
2501094,prum jj 2010 bernkasteler badstube riesling auslese,A,0.553,7,1171537,sa prum — bernkasteler lay riesling eiswein
2501101,prum jj 2010 graacher himmelreich riesling auslese,A,0.755,4,22475,sa prum — graacher himmelreich riesling auslese
762945,prum jj 2010 wehlener sonnenuhr riesling spatlese,A,0.689,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2521345,prum jj 2011 graacher himmelreich riesling kabinett,A,0.734,5,22475,sa prum — graacher himmelreich riesling auslese
2482134,prum jj 2011 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2482135,prum jj 2011 wehlener sonnenuhr riesling spatlese,A,0.689,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2501065,prum jj 2012 bernkasteler badstube riesling spatlese,A,0.553,7,1171537,sa prum — bernkasteler lay riesling eiswein
2518092,prum jj 2012 graacher himmelreich riesling auslese,A,0.755,4,22475,sa prum — graacher himmelreich riesling auslese
920465,prum jj 2012 graacher himmelreich riesling kabinett,A,0.734,5,22475,sa prum — graacher himmelreich riesling auslese
2467956,prum jj 2012 graacher himmelreich riesling spatlese,A,0.735,4,22471,sa prum — graacher himmelreich riesling spatlese
2501064,prum jj 2012 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2501063,prum jj 2012 wehlener sonnenuhr riesling auslese goldkapsel,A,0.705,5,213891,joh jos prum — wehlener sonnenuhr riesling auslese goldkapsel
2501062,prum jj 2012 wehlener sonnenuhr riesling spatlese,A,0.689,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2501060,prum jj 2012 zeltinger sonnenuhr riesling auslese goldkapsel,A,0.705,7,872449,joh jos prum — zeltinger sonnenuhr riesling auslese goldkapsel
2501253,prum jj 2013 bernkasteler badstube riesling auslese,A,0.553,7,1171537,sa prum — bernkasteler lay riesling eiswein
2482139,prum jj 2013 wehlener sonnenuhr riesling auslese goldkapsel,A,0.705,5,213891,joh jos prum — wehlener sonnenuhr riesling auslese goldkapsel
2501252,prum jj 2013 zeltlinger sonnenuhr riesling auslese,A,0.714,5,22469,sa prum — wehlener sonnenuhr riesling auslese
2518088,prum jj 2015 graacher himmelreich riesling auslese,A,0.755,4,22475,sa prum — graacher himmelreich riesling auslese
919273,prum jj 2015 graacher himmelreich riesling kabinett,A,0.734,5,22475,sa prum — graacher himmelreich riesling auslese
919272,prum jj 2015 graacher himmelreich riesling spatlese,A,0.815,5,22471,sa prum — graacher himmelreich riesling spatlese
2482276,prum jj 2015 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
919267,prum jj 2015 wehlener sonnenuhr riesling auslese,A,0.592,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
2517844,prum jj 2015 wehlener sonnenuhr riesling auslese goldkapsel,A,0.705,5,213891,joh jos prum — wehlener sonnenuhr riesling auslese goldkapsel
2482275,prum jj 2015 wehlener sonnenuhr riesling kabinett,A,0.689,5,1114906,weingut alfred prum — wehlener sonnenuhr riesling kabinett feinherb
919265,prum jj 2015 wehlener sonnenuhr riesling kabinett,A,0.689,5,1114906,weingut alfred prum — wehlener sonnenuhr riesling kabinett feinherb
2482274,prum jj 2015 wehlener sonnenuhr riesling spatlese,A,0.689,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
919264,prum jj 2015 wehlener sonnenuhr riesling spatlese,A,0.689,5,1207932,weingut alfred prum — wehlener sonnenuhr riesling spatlese feinherb
919262,prum jj 2016 graacher himmelreich riesling spatlese,A,0.815,5,22471,sa prum — graacher himmelreich riesling spatlese
